# gpu=3 cmd=/usr/bin/python3 -u baselines/run_nsreg.py --dataset photo --seed 2 --method nsreg --tag N201_nsreg --epochs 201 --rotations 0
/nas/home/jahin/.local/lib/python3.10/site-packages/requests/__init__.py:113: RequestsDependencyWarning: urllib3 (1.26.5) or chardet (7.2.0)/charset_normalizer (3.4.4) doesn't match a supported version!
  warnings.warn(
[0.04823529 0.22039216 0.09189542 0.11960784 0.11529412 0.1075817
 0.25372549 0.04326797]
[photo] NSReg, rotations [np.int64(0)] of [np.int64(0), np.int64(7)]
[photo] n_epochs=201 eval_every=1 input_dim=745 wd=0.0 lr=0.001
Normal classes: [1, 2, 3, 4, 5, 6] in photo
using idx from: split_50.pkl - num known anomalies 50
num known anomalies: 50
Building multi-layer GraphSage
GRAPHSAGE used as the encoder
building the dataloader ...
/nas/home/jahin/.local/lib/python3.10/site-packages/torch/functional.py:554: UserWarning: torch.meshgrid: in an upcoming release, it will be required to pass the indexing argument. (Triggered internally at /pytorch/aten/src/ATen/native/TensorShape.cpp:4314.)
  return _VF.meshgrid(tensors, **kwargs)  # type: ignore[attr-defined]
num train pos edges: 486  num train neg edges: 4050
NSReg Training ...
Batch mode: enabled original propertion
Epoch  0 loss=1.4702, clf_loss=0.7784, lbl_loss=0.6918
Epoch  1 loss=1.2716, clf_loss=0.5920, lbl_loss=0.6796
Epoch  2 loss=1.1415, clf_loss=0.4717, lbl_loss=0.6697
Epoch  3 loss=1.0642, clf_loss=0.3974, lbl_loss=0.6668
Epoch  4 loss=1.0378, clf_loss=0.3511, lbl_loss=0.6866
Epoch  5 loss=1.0180, clf_loss=0.3432, lbl_loss=0.6748
Epoch  6 loss=1.0424, clf_loss=0.3592, lbl_loss=0.6832
Epoch  7 loss=1.0479, clf_loss=0.3767, lbl_loss=0.6712
Epoch  8 loss=1.0478, clf_loss=0.3832, lbl_loss=0.6646
Epoch  9 loss=1.0441, clf_loss=0.3736, lbl_loss=0.6705
Epoch 10 loss=1.0401, clf_loss=0.3594, lbl_loss=0.6807
Epoch 11 loss=1.0084, clf_loss=0.3421, lbl_loss=0.6663
Epoch 12 loss=1.0031, clf_loss=0.3355, lbl_loss=0.6676
Epoch 13 loss=1.0083, clf_loss=0.3313, lbl_loss=0.6770
Epoch 14 loss=0.9938, clf_loss=0.3288, lbl_loss=0.6650
Epoch 15 loss=1.0073, clf_loss=0.3338, lbl_loss=0.6734
Epoch 16 loss=1.0081, clf_loss=0.3349, lbl_loss=0.6732
Epoch 17 loss=1.0020, clf_loss=0.3333, lbl_loss=0.6687
Epoch 18 loss=0.9869, clf_loss=0.3222, lbl_loss=0.6646
Epoch 19 loss=0.9979, clf_loss=0.3193, lbl_loss=0.6786
Epoch 20 loss=0.9862, clf_loss=0.3137, lbl_loss=0.6726
Epoch 21 loss=0.9917, clf_loss=0.3160, lbl_loss=0.6756
Epoch 22 loss=0.9872, clf_loss=0.3126, lbl_loss=0.6745
Epoch 23 loss=0.9881, clf_loss=0.3112, lbl_loss=0.6769
Epoch 24 loss=0.9730, clf_loss=0.3142, lbl_loss=0.6589
Epoch 25 loss=0.9749, clf_loss=0.3029, lbl_loss=0.6720
Epoch 26 loss=0.9734, clf_loss=0.2991, lbl_loss=0.6742
Epoch 27 loss=0.9794, clf_loss=0.2966, lbl_loss=0.6828
Epoch 28 loss=0.9698, clf_loss=0.2965, lbl_loss=0.6733
Epoch 29 loss=0.9584, clf_loss=0.2865, lbl_loss=0.6719
Epoch 30 loss=0.9752, clf_loss=0.2878, lbl_loss=0.6873
Epoch 31 loss=0.9547, clf_loss=0.2847, lbl_loss=0.6700
Epoch 32 loss=0.9520, clf_loss=0.2819, lbl_loss=0.6700
Epoch 33 loss=0.9526, clf_loss=0.2842, lbl_loss=0.6684
Epoch 34 loss=0.9539, clf_loss=0.2774, lbl_loss=0.6764
Epoch 35 loss=0.9482, clf_loss=0.2776, lbl_loss=0.6706
Epoch 36 loss=0.9449, clf_loss=0.2696, lbl_loss=0.6753
Epoch 37 loss=0.9274, clf_loss=0.2679, lbl_loss=0.6595
Epoch 38 loss=0.9410, clf_loss=0.2648, lbl_loss=0.6762
Epoch 39 loss=0.9358, clf_loss=0.2596, lbl_loss=0.6762
Epoch 40 loss=0.9229, clf_loss=0.2576, lbl_loss=0.6653
Epoch 41 loss=0.9301, clf_loss=0.2544, lbl_loss=0.6757
Epoch 42 loss=0.9287, clf_loss=0.2540, lbl_loss=0.6747
Epoch 43 loss=0.9195, clf_loss=0.2509, lbl_loss=0.6686
Epoch 44 loss=0.9165, clf_loss=0.2450, lbl_loss=0.6715
Epoch 45 loss=0.9081, clf_loss=0.2410, lbl_loss=0.6671
Epoch 46 loss=0.9087, clf_loss=0.2458, lbl_loss=0.6629
Epoch 47 loss=0.9106, clf_loss=0.2364, lbl_loss=0.6743
Epoch 48 loss=0.9187, clf_loss=0.2432, lbl_loss=0.6755
Epoch 49 loss=0.9042, clf_loss=0.2314, lbl_loss=0.6728
Epoch 50 loss=0.8939, clf_loss=0.2288, lbl_loss=0.6651
Epoch 51 loss=0.8898, clf_loss=0.2315, lbl_loss=0.6583
Epoch 52 loss=0.8781, clf_loss=0.2195, lbl_loss=0.6586
Epoch 53 loss=0.8917, clf_loss=0.2228, lbl_loss=0.6689
Epoch 54 loss=0.8894, clf_loss=0.2178, lbl_loss=0.6716
Epoch 55 loss=0.9013, clf_loss=0.2191, lbl_loss=0.6821
Epoch 56 loss=0.8836, clf_loss=0.2171, lbl_loss=0.6665
Epoch 57 loss=0.8739, clf_loss=0.2084, lbl_loss=0.6654
Epoch 58 loss=0.8800, clf_loss=0.2088, lbl_loss=0.6712
Epoch 59 loss=0.8725, clf_loss=0.2065, lbl_loss=0.6660
Epoch 60 loss=0.8687, clf_loss=0.2001, lbl_loss=0.6686
Epoch 61 loss=0.8701, clf_loss=0.1938, lbl_loss=0.6763
Epoch 62 loss=0.8611, clf_loss=0.1923, lbl_loss=0.6689
Epoch 63 loss=0.8748, clf_loss=0.1940, lbl_loss=0.6808
Epoch 64 loss=0.8553, clf_loss=0.1943, lbl_loss=0.6610
Epoch 65 loss=0.8679, clf_loss=0.1949, lbl_loss=0.6730
Epoch 66 loss=0.8508, clf_loss=0.1820, lbl_loss=0.6689
Epoch 67 loss=0.8284, clf_loss=0.1691, lbl_loss=0.6593
Epoch 68 loss=0.8320, clf_loss=0.1737, lbl_loss=0.6583
Epoch 69 loss=0.8389, clf_loss=0.1639, lbl_loss=0.6750
Epoch 70 loss=0.8220, clf_loss=0.1574, lbl_loss=0.6646
Epoch 71 loss=0.8219, clf_loss=0.1540, lbl_loss=0.6678
Epoch 72 loss=0.8270, clf_loss=0.1501, lbl_loss=0.6769
Epoch 73 loss=0.8032, clf_loss=0.1406, lbl_loss=0.6626
Epoch 74 loss=0.8124, clf_loss=0.1333, lbl_loss=0.6791
Epoch 75 loss=0.7950, clf_loss=0.1372, lbl_loss=0.6578
Epoch 76 loss=0.7784, clf_loss=0.1188, lbl_loss=0.6595
Epoch 77 loss=0.7901, clf_loss=0.1134, lbl_loss=0.6767
Epoch 78 loss=0.7886, clf_loss=0.1100, lbl_loss=0.6786
Epoch 79 loss=0.7680, clf_loss=0.1124, lbl_loss=0.6556
Epoch 80 loss=0.7505, clf_loss=0.0975, lbl_loss=0.6529
Epoch 81 loss=0.7425, clf_loss=0.0744, lbl_loss=0.6681
Epoch 82 loss=0.7379, clf_loss=0.0736, lbl_loss=0.6644
Epoch 83 loss=0.7600, clf_loss=0.0858, lbl_loss=0.6742
Epoch 84 loss=0.7497, clf_loss=0.0751, lbl_loss=0.6746
Epoch 85 loss=0.6983, clf_loss=0.0485, lbl_loss=0.6497
Epoch 86 loss=0.7148, clf_loss=0.0537, lbl_loss=0.6611
Epoch 87 loss=0.7113, clf_loss=0.0517, lbl_loss=0.6596
Epoch 88 loss=0.7272, clf_loss=0.0612, lbl_loss=0.6660
Epoch 89 loss=0.7044, clf_loss=0.0460, lbl_loss=0.6584
Epoch 90 loss=0.7135, clf_loss=0.0488, lbl_loss=0.6647
Epoch 91 loss=0.7083, clf_loss=0.0441, lbl_loss=0.6642
Epoch 92 loss=0.7075, clf_loss=0.0559, lbl_loss=0.6516
Epoch 93 loss=0.6889, clf_loss=0.0209, lbl_loss=0.6680
Epoch 94 loss=0.6937, clf_loss=0.0373, lbl_loss=0.6563
Epoch 95 loss=0.6823, clf_loss=0.0298, lbl_loss=0.6524
Epoch 96 loss=0.7302, clf_loss=0.0676, lbl_loss=0.6626
Epoch 97 loss=0.6916, clf_loss=0.0309, lbl_loss=0.6606
Epoch 98 loss=0.6951, clf_loss=0.0356, lbl_loss=0.6595
Epoch 99 loss=0.6762, clf_loss=0.0217, lbl_loss=0.6545
Epoch 100 loss=0.6872, clf_loss=0.0188, lbl_loss=0.6684
