# gpu=5 cmd=/usr/bin/python3 -u baselines/run_nsreg.py --dataset photo --seed 1 --method nsreg --tag E400_nsreg --epochs 400 --rotations 0
/nas/home/jahin/.local/lib/python3.10/site-packages/requests/__init__.py:113: RequestsDependencyWarning: urllib3 (1.26.5) or chardet (7.2.0)/charset_normalizer (3.4.4) doesn't match a supported version!
  warnings.warn(
[0.04823529 0.22039216 0.09189542 0.11960784 0.11529412 0.1075817
 0.25372549 0.04326797]
[photo] NSReg, rotations [np.int64(0)] of [np.int64(0), np.int64(7)]
[photo] n_epochs=400 eval_every=1 input_dim=745 wd=0.0 lr=0.001
Normal classes: [1, 2, 3, 4, 5, 6] in photo
using idx from: split_50.pkl - num known anomalies 50
num known anomalies: 50
Building multi-layer GraphSage
GRAPHSAGE used as the encoder
building the dataloader ...
/nas/home/jahin/.local/lib/python3.10/site-packages/torch/functional.py:554: UserWarning: torch.meshgrid: in an upcoming release, it will be required to pass the indexing argument. (Triggered internally at /pytorch/aten/src/ATen/native/TensorShape.cpp:4314.)
  return _VF.meshgrid(tensors, **kwargs)  # type: ignore[attr-defined]
num train pos edges: 764  num train neg edges: 3868
NSReg Training ...
Batch mode: enabled original propertion
Epoch 68 loss=0.8234, clf_loss=0.1569, lbl_loss=0.6665
Epoch 69 loss=0.8216, clf_loss=0.1628, lbl_loss=0.6588
Epoch 70 loss=0.8103, clf_loss=0.1470, lbl_loss=0.6633
Epoch 71 loss=0.7989, clf_loss=0.1348, lbl_loss=0.6641
Epoch 72 loss=0.7863, clf_loss=0.1328, lbl_loss=0.6535
Epoch 73 loss=0.7825, clf_loss=0.1302, lbl_loss=0.6523
Epoch 74 loss=0.7846, clf_loss=0.1208, lbl_loss=0.6638
Epoch 75 loss=0.7930, clf_loss=0.1362, lbl_loss=0.6568
Epoch 76 loss=0.7698, clf_loss=0.1147, lbl_loss=0.6551
Epoch 77 loss=0.8014, clf_loss=0.1223, lbl_loss=0.6792
Epoch 78 loss=0.7879, clf_loss=0.1135, lbl_loss=0.6744
Epoch 79 loss=0.7690, clf_loss=0.1067, lbl_loss=0.6623
Epoch 80 loss=0.7719, clf_loss=0.1020, lbl_loss=0.6699
Epoch 81 loss=0.7534, clf_loss=0.0942, lbl_loss=0.6592
Epoch 82 loss=0.7467, clf_loss=0.0938, lbl_loss=0.6529
Epoch 83 loss=0.7323, clf_loss=0.0790, lbl_loss=0.6533
Epoch 84 loss=0.7494, clf_loss=0.0951, lbl_loss=0.6543
Epoch 85 loss=0.7529, clf_loss=0.0840, lbl_loss=0.6689
Epoch 86 loss=0.7649, clf_loss=0.0891, lbl_loss=0.6758
Epoch 87 loss=0.7386, clf_loss=0.0899, lbl_loss=0.6486
Epoch 88 loss=0.7330, clf_loss=0.0757, lbl_loss=0.6573
Epoch 89 loss=0.7153, clf_loss=0.0568, lbl_loss=0.6585
Epoch 90 loss=0.7235, clf_loss=0.0728, lbl_loss=0.6507
Epoch 91 loss=0.7106, clf_loss=0.0699, lbl_loss=0.6408
Epoch 92 loss=0.7247, clf_loss=0.0743, lbl_loss=0.6504
Epoch 93 loss=0.7180, clf_loss=0.0620, lbl_loss=0.6559
Epoch 94 loss=0.6978, clf_loss=0.0572, lbl_loss=0.6405
Epoch 95 loss=0.6989, clf_loss=0.0537, lbl_loss=0.6452
Epoch 96 loss=0.7096, clf_loss=0.0578, lbl_loss=0.6518
Epoch 97 loss=0.6938, clf_loss=0.0589, lbl_loss=0.6348
Epoch 98 loss=0.7139, clf_loss=0.0526, lbl_loss=0.6613
Epoch 99 loss=0.7025, clf_loss=0.0521, lbl_loss=0.6504
Epoch 100 loss=0.7085, clf_loss=0.0584, lbl_loss=0.6500
Epoch 101 loss=0.6841, clf_loss=0.0536, lbl_loss=0.6306
Epoch 102 loss=0.7034, clf_loss=0.0538, lbl_loss=0.6497
Epoch 103 loss=0.6954, clf_loss=0.0565, lbl_loss=0.6390
Epoch 104 loss=0.7114, clf_loss=0.0587, lbl_loss=0.6527
Epoch 105 loss=0.7030, clf_loss=0.0517, lbl_loss=0.6513
Epoch 106 loss=0.6854, clf_loss=0.0456, lbl_loss=0.6398
Epoch 107 loss=0.6644, clf_loss=0.0321, lbl_loss=0.6323
Epoch 108 loss=0.6732, clf_loss=0.0440, lbl_loss=0.6292
Epoch 109 loss=0.6554, clf_loss=0.0317, lbl_loss=0.6237
Epoch 110 loss=0.6623, clf_loss=0.0324, lbl_loss=0.6298
Epoch 111 loss=0.6513, clf_loss=0.0346, lbl_loss=0.6167
