# gpu=5 cmd=/usr/bin/python3 -u baselines/run_nsreg.py --dataset photo --seed 5 --method nsreg --tag E400_nsreg --epochs 400 --rotations 0
/nas/home/jahin/.local/lib/python3.10/site-packages/requests/__init__.py:113: RequestsDependencyWarning: urllib3 (1.26.5) or chardet (7.2.0)/charset_normalizer (3.4.4) doesn't match a supported version!
  warnings.warn(
[0.04823529 0.22039216 0.09189542 0.11960784 0.11529412 0.1075817
 0.25372549 0.04326797]
[photo] NSReg, rotations [np.int64(0)] of [np.int64(0), np.int64(7)]
[photo] n_epochs=400 eval_every=1 input_dim=745 wd=0.0 lr=0.001
Normal classes: [1, 2, 3, 4, 5, 6] in photo
using idx from: split_50.pkl - num known anomalies 50
num known anomalies: 50
Building multi-layer GraphSage
GRAPHSAGE used as the encoder
building the dataloader ...
/nas/home/jahin/.local/lib/python3.10/site-packages/torch/functional.py:554: UserWarning: torch.meshgrid: in an upcoming release, it will be required to pass the indexing argument. (Triggered internally at /pytorch/aten/src/ATen/native/TensorShape.cpp:4314.)
  return _VF.meshgrid(tensors, **kwargs)  # type: ignore[attr-defined]
num train pos edges: 534  num train neg edges: 3538
NSReg Training ...
Batch mode: enabled original propertion
Epoch  0 loss=1.3880, clf_loss=0.6944, lbl_loss=0.6936
Epoch  1 loss=1.2731, clf_loss=0.5870, lbl_loss=0.6861
Epoch  2 loss=1.1759, clf_loss=0.4955, lbl_loss=0.6803
Epoch  3 loss=1.0767, clf_loss=0.4055, lbl_loss=0.6712
Epoch  4 loss=1.0188, clf_loss=0.3405, lbl_loss=0.6783
Epoch  5 loss=0.9996, clf_loss=0.3206, lbl_loss=0.6790
Epoch  6 loss=1.0188, clf_loss=0.3501, lbl_loss=0.6687
Epoch  7 loss=1.0438, clf_loss=0.3745, lbl_loss=0.6693
Epoch  8 loss=1.0487, clf_loss=0.3710, lbl_loss=0.6777
Epoch  9 loss=1.0398, clf_loss=0.3692, lbl_loss=0.6706
Epoch 10 loss=1.0079, clf_loss=0.3368, lbl_loss=0.6711
Epoch 11 loss=1.0035, clf_loss=0.3249, lbl_loss=0.6787
Epoch 12 loss=0.9759, clf_loss=0.3082, lbl_loss=0.6677
Epoch 13 loss=0.9892, clf_loss=0.3086, lbl_loss=0.6807
Epoch 14 loss=0.9839, clf_loss=0.3100, lbl_loss=0.6739
Epoch 15 loss=0.9918, clf_loss=0.3169, lbl_loss=0.6748
Epoch 16 loss=0.9960, clf_loss=0.3142, lbl_loss=0.6818
Epoch 17 loss=0.9896, clf_loss=0.3177, lbl_loss=0.6718
Epoch 18 loss=0.9940, clf_loss=0.3125, lbl_loss=0.6815
Epoch 19 loss=0.9665, clf_loss=0.2972, lbl_loss=0.6693
Epoch 20 loss=0.9691, clf_loss=0.2922, lbl_loss=0.6769
Epoch 21 loss=0.9667, clf_loss=0.2876, lbl_loss=0.6791
Epoch 22 loss=0.9589, clf_loss=0.2834, lbl_loss=0.6755
Epoch 23 loss=0.9607, clf_loss=0.2932, lbl_loss=0.6675
Epoch 24 loss=0.9589, clf_loss=0.2897, lbl_loss=0.6692
Epoch 25 loss=0.9522, clf_loss=0.2854, lbl_loss=0.6668
Epoch 26 loss=0.9582, clf_loss=0.2842, lbl_loss=0.6739
Epoch 27 loss=0.9513, clf_loss=0.2705, lbl_loss=0.6808
Epoch 28 loss=0.9365, clf_loss=0.2747, lbl_loss=0.6618
Epoch 29 loss=0.9355, clf_loss=0.2655, lbl_loss=0.6699
Epoch 30 loss=0.9349, clf_loss=0.2649, lbl_loss=0.6699
Epoch 31 loss=0.9414, clf_loss=0.2674, lbl_loss=0.6739
Epoch 32 loss=0.9361, clf_loss=0.2625, lbl_loss=0.6736
Epoch 33 loss=0.9384, clf_loss=0.2598, lbl_loss=0.6787
Epoch 34 loss=0.9281, clf_loss=0.2514, lbl_loss=0.6768
Epoch 35 loss=0.9285, clf_loss=0.2566, lbl_loss=0.6718
Epoch 36 loss=0.9201, clf_loss=0.2509, lbl_loss=0.6693
Epoch 37 loss=0.9159, clf_loss=0.2453, lbl_loss=0.6706
Epoch 38 loss=0.9040, clf_loss=0.2371, lbl_loss=0.6668
Epoch 39 loss=0.9115, clf_loss=0.2440, lbl_loss=0.6676
Epoch 40 loss=0.9171, clf_loss=0.2383, lbl_loss=0.6789
Epoch 41 loss=0.9156, clf_loss=0.2367, lbl_loss=0.6789
Epoch 42 loss=0.9017, clf_loss=0.2342, lbl_loss=0.6676
Epoch 43 loss=0.9015, clf_loss=0.2303, lbl_loss=0.6712
Epoch 44 loss=0.8778, clf_loss=0.2239, lbl_loss=0.6539
Epoch 45 loss=0.9067, clf_loss=0.2282, lbl_loss=0.6785
Epoch 46 loss=0.8817, clf_loss=0.2154, lbl_loss=0.6663
Epoch 47 loss=0.8724, clf_loss=0.2167, lbl_loss=0.6557
Epoch 48 loss=0.8790, clf_loss=0.2156, lbl_loss=0.6634
Epoch 49 loss=0.8844, clf_loss=0.2145, lbl_loss=0.6699
Epoch 50 loss=0.8865, clf_loss=0.2172, lbl_loss=0.6692
Epoch 51 loss=0.8746, clf_loss=0.2092, lbl_loss=0.6655
Epoch 52 loss=0.8700, clf_loss=0.2078, lbl_loss=0.6622
Epoch 53 loss=0.8587, clf_loss=0.2037, lbl_loss=0.6550
Epoch 54 loss=0.8820, clf_loss=0.2022, lbl_loss=0.6797
Epoch 55 loss=0.8640, clf_loss=0.1997, lbl_loss=0.6642
Epoch 56 loss=0.8722, clf_loss=0.2004, lbl_loss=0.6718
Epoch 57 loss=0.8669, clf_loss=0.1998, lbl_loss=0.6671
Epoch 58 loss=0.8709, clf_loss=0.1904, lbl_loss=0.6805
Epoch 59 loss=0.8614, clf_loss=0.1947, lbl_loss=0.6667
Epoch 60 loss=0.8626, clf_loss=0.1902, lbl_loss=0.6724
Epoch 61 loss=0.8610, clf_loss=0.1905, lbl_loss=0.6705
Epoch 62 loss=0.8592, clf_loss=0.1920, lbl_loss=0.6672
Epoch 63 loss=0.8580, clf_loss=0.1898, lbl_loss=0.6683
Epoch 64 loss=0.8325, clf_loss=0.1764, lbl_loss=0.6561
Epoch 65 loss=0.8580, clf_loss=0.1751, lbl_loss=0.6829
Epoch 66 loss=0.8495, clf_loss=0.1771, lbl_loss=0.6724
Epoch 67 loss=0.8384, clf_loss=0.1701, lbl_loss=0.6684
Epoch 68 loss=0.8243, clf_loss=0.1598, lbl_loss=0.6645
Epoch 69 loss=0.8267, clf_loss=0.1605, lbl_loss=0.6662
Epoch 70 loss=0.8228, clf_loss=0.1523, lbl_loss=0.6705
