dataset,method,tag,n_seeds,seeds,epochs,best_auroc,best_aupr,valsel_auroc,valsel_aupr,config_sha8,rotation_files
tfinance,outpost,C_nogate,10,0 1 2 3 4 5 6 7 8 42,400,0.9087 +- 0.0140,0.6783 +- 0.0438,0.8980,0.6502,822c68a8,10
tfinance,outpost,C_nopl_sim0.0,10,0 1 2 3 4 5 6 7 8 42,400,0.9183 +- 0.0153,0.7156 +- 0.0522,0.9084,0.6917,f52fe274,10
tfinance,outpost,C_nopl_sim1.0,10,0 1 2 3 4 5 6 7 8 42,400,0.9224 +- 0.0041,0.7580 +- 0.0073,0.9127,0.7175,93b26b58,10
tfinance,nsreg,E400_nsreg,10,0 1 2 3 4 5 6 7 8 42,400,0.9238 +- 0.0093,0.7257 +- 0.0336,0.9156,0.6682,7bee5e00,10
yelp,outpost,A_main,10,0 1 2 3 4 5 6 7 8 42,400,0.7448 +- 0.0156,0.3824 +- 0.0340,0.7425,0.3706,bb3beb04,10
yelp,demo,B_demo,10,0 1 2 3 4 5 6 7 8 42,400,0.7314 +- 0.0110,0.3516 +- 0.0218,0.7271,0.3434,86172e68,10
yelp,demo,B_demo_mix,10,0 1 2 3 4 5 6 7 8 42,400,0.7310 +- 0.0111,0.3504 +- 0.0222,0.7246,0.3372,b3e19142,10
yelp,outpost,C_fview,5,0 1 2 3 42,400,0.7472 +- 0.0191,0.3906 +- 0.0294,0.7421,0.3695,68b4690e,5
yelp,outpost,C_hopmix,5,0 1 2 3 42,400,0.7426 +- 0.0293,0.3755 +- 0.0363,0.7386,0.3566,ae0df167,5
yelp,outpost,C_noconformal,5,0 1 2 3 42,400,0.7436 +- 0.0210,0.3843 +- 0.0340,0.7392,0.3642,8293bb2f,5
yelp,outpost,C_nogate,10,0 1 2 3 4 5 6 7 8 42,400,0.7454 +- 0.0164,0.3835 +- 0.0335,0.7418,0.3694,ad6dea6e,10
yelp,outpost,C_nopl,10,0 1 2 3 4 5 6 7 8 42,400,0.7507 +- 0.0109,0.3863 +- 0.0271,0.7491,0.3813,5c6e662e,10
yelp,outpost,C_nosim,10,0 1 2 3 4 5 6 7 8 42,400,0.7185 +- 0.0148,0.3320 +- 0.0300,0.7160,0.3281,7e0074c6,10
yelp,outpost,C_simplacebo,10,0 1 2 3 4 5 6 7 8 42,400,0.7157 +- 0.0159,0.3269 +- 0.0272,0.7137,0.3235,35ce802f,10
yelp,outpost,C_synth,5,0 1 2 3 42,400,0.7421 +- 0.0187,0.3553 +- 0.0480,0.7350,0.3311,7dfb0234,5
yelp,demo,DT_lr0.001_wd0.0,3,0 1 42,200,0.6760 +- 0.0070,0.2655 +- 0.0078,0.6705,0.2600,ccee7c9d,3
yelp,demo,DT_lr0.003_wd0.0,3,0 1 42,200,0.6972 +- 0.0251,0.2873 +- 0.0267,0.6510,0.2395,1c4d1581,3
yelp,demo,DT_lr0.003_wd0.0001,3,0 1 42,200,0.7255 +- 0.0119,0.3276 +- 0.0286,0.7072,0.2952,523da0a1,3
yelp,outpost,D_alpha0.01,5,0 1 2 3 42,400,0.7435 +- 0.0201,0.3870 +- 0.0321,0.7412,0.3694,04f3215d,5
yelp,outpost,D_alpha0.1,5,0 1 2 3 42,400,0.7435 +- 0.0202,0.3871 +- 0.0323,0.7412,0.3694,ea5fc137,5
yelp,outpost,D_hidden16,5,0 1 2 3 42,400,0.7371 +- 0.0149,0.3526 +- 0.0307,0.7046,0.3089,6bd4234a,5
yelp,outpost,D_hidden64,5,0 1 2 3 42,400,0.7427 +- 0.0172,0.3875 +- 0.0256,0.7351,0.3627,b02f36ee,5
yelp,outpost,D_sim0.25,5,0 1 2 3 42,400,0.7281 +- 0.0208,0.3525 +- 0.0406,0.7240,0.3378,4073c523,5
yelp,outpost,D_sim0.5,5,0 1 2 3 42,400,0.7346 +- 0.0238,0.3632 +- 0.0401,0.7304,0.3497,265c258f,5
yelp,outpost,D_sim0.75,5,0 1 2 3 42,400,0.7384 +- 0.0202,0.3696 +- 0.0392,0.7344,0.3569,739bbbae,5
yelp,demo,E400_DT_lr0.001_wd0.0,3,0 1 42,400,0.7336 +- 0.0165,0.3470 +- 0.0421,0.7294,0.3342,fe3fe86c,3
yelp,demo,E400_DT_lr0.003_wd0.0,3,0 1 42,400,0.7378 +- 0.0136,0.3628 +- 0.0269,0.7337,0.3509,130077f0,3
yelp,demo,E400_DT_lr0.003_wd0.0001,3,0 1 42,400,0.7394 +- 0.0151,0.3609 +- 0.0369,0.7306,0.3306,3f472b17,3
yelp,nsreg,E400_nsreg,10,0 1 2 3 4 5 6 7 8 42,400,0.7388 +- 0.0137,0.3610 +- 0.0196,0.7247,0.3377,bd8f5f94,10
yelp,outpost,F_b100_sim0.0,5,0 1 2 3 42,400,0.7226 +- 0.0199,0.3407 +- 0.0340,0.7191,0.3320,07f5a08b,5
yelp,outpost,F_b100_sim1.0,5,0 1 2 3 42,400,0.7346 +- 0.0214,0.3676 +- 0.0345,0.7316,0.3547,19f7b2df,5
yelp,outpost,F_b200_sim0.0,5,0 1 2 3 42,400,0.7232 +- 0.0192,0.3407 +- 0.0313,0.7205,0.3328,793086b5,5
yelp,outpost,F_b200_sim1.0,5,0 1 2 3 42,400,0.7336 +- 0.0215,0.3624 +- 0.0352,0.7290,0.3427,e88020c5,5
yelp,outpost,F_b50_sim0.0,5,0 1 2 3 42,400,0.7226 +- 0.0205,0.3422 +- 0.0350,0.7191,0.3348,f1e9f69a,5
yelp,outpost,F_b50_sim1.0,5,0 1 2 3 42,400,0.7394 +- 0.0206,0.3816 +- 0.0336,0.7345,0.3635,d3e23b36,5
yelp,outpost,L_lean,10,0 1 2 3 4 5 6 7 8 42,400,0.7507 +- 0.0111,0.3865 +- 0.0276,0.7492,0.3818,760245d4,10
yelp,nsreg,N201_nsreg,5,0 1 2 3 42,201,0.7085 +- 0.0243,0.3000 +- 0.0321,0.6982,0.2858,2bce922b,5
yelp,nsreg,NT_lr0.001_wd0.0001,3,0 1 42,400,0.7477 +- 0.0123,0.3745 +- 0.0319,0.7195,0.3182,b359c198,3
yelp,nsreg,NT_lr0.003_wd0.0,3,0 1 42,400,0.7462 +- 0.0132,0.3710 +- 0.0354,0.6931,0.2955,8007da88,3
yelp,nsreg,NT_lr0.003_wd0.0001,3,0 1 42,400,0.7456 +- 0.0133,0.3687 +- 0.0392,0.6915,0.2885,1d27ed00,3
yelp,outpost,T_Kp2,3,0 1 42,400,0.7569 +- 0.0105,0.4036 +- 0.0317,0.7554,0.3912,cc1a9bcd,3
yelp,outpost,T_Kp6,3,0 1 42,400,0.7563 +- 0.0111,0.3973 +- 0.0342,0.7534,0.3828,7b664e90,3
yelp,outpost,T_alpha0.01,3,0 1 42,400,0.7567 +- 0.0103,0.4016 +- 0.0314,0.7550,0.3875,04f3215d,3
yelp,outpost,T_alpha0.10,3,0 1 42,400,0.7568 +- 0.0104,0.4018 +- 0.0317,0.7550,0.3875,ea5fc137,3
yelp,outpost,T_drop0.1,3,0 1 42,400,0.7569 +- 0.0098,0.4016 +- 0.0295,0.7539,0.3919,c36cfd1e,3
yelp,outpost,T_drop0.4,3,0 1 42,400,0.7618 +- 0.0074,0.4011 +- 0.0256,0.7606,0.3937,0e8e973e,3
yelp,outpost,T_hidden16,3,0 1 42,400,0.7471 +- 0.0081,0.3634 +- 0.0351,0.6946,0.2905,6bd4234a,3
yelp,outpost,T_hidden64,3,0 1 42,400,0.7520 +- 0.0162,0.3941 +- 0.0337,0.7481,0.3769,b02f36ee,3
yelp,outpost,T_lr0.003,3,0 1 42,400,0.7591 +- 0.0080,0.4086 +- 0.0271,0.7580,0.3962,08c4cc52,3
yelp,outpost,T_synth,3,0 1 42,400,0.7476 +- 0.0188,0.3586 +- 0.0603,0.7407,0.3459,7dfb0234,3
yelp,outpost,T_warmup20,3,0 1 42,400,0.7569 +- 0.0121,0.3980 +- 0.0328,0.7554,0.3883,1b56cb48,3
yelp,outpost,T_warmup5,3,0 1 42,400,0.7569 +- 0.0104,0.3982 +- 0.0348,0.7543,0.3949,99e62eff,3
