dataset,method,tag,n_seeds,seeds,epochs,best_auroc,best_aupr,valsel_auroc,valsel_aupr,config_sha8,rotation_files
amazon,outpost,T_synth,3,0 1 42,400,0.9345 +- 0.0108,0.8091 +- 0.0110,0.9240,0.7918,8401e9ba,3
amazon,outpost,T_warmup20,3,0 1 42,400,0.9501 +- 0.0071,0.8261 +- 0.0009,0.9361,0.8062,f0738abf,3
amazon,outpost,T_warmup5,3,0 1 42,400,0.9487 +- 0.0013,0.8280 +- 0.0051,0.9367,0.8167,b056a8ab,3
computers,outpost,A_main,5,0 1 2 3 42,200,0.8214 +- 0.0185,0.5949 +- 0.0252,0.7650,0.5058,44de9a97,25
computers,demo,B_demo,5,0 1 2 3 42,200,0.7691 +- 0.0164,0.5079 +- 0.0254,0.7350,0.4584,79660d7a,25
computers,demo,B_demo_mix,5,0 1 2 3 42,200,0.7685 +- 0.0116,0.5069 +- 0.0251,0.7337,0.4515,6c4dc96c,25
computers,outpost,C_noconformal,5,0 1 2 3 42,200,0.7848 +- 0.0111,0.5301 +- 0.0171,0.7381,0.4706,a668bb6d,25
computers,outpost,C_nogate,5,0 1 2 3 42,200,0.8202 +- 0.0180,0.5959 +- 0.0211,0.7554,0.4984,82237876,25
computers,outpost,C_nopl,5,0 1 2 3 42,200,0.7569 +- 0.0093,0.4946 +- 0.0172,0.7285,0.4567,24260721,25
computers,outpost,C_sim,5,0 1 2 3 42,200,0.8267 +- 0.0117,0.5817 +- 0.0191,0.7637,0.4926,c05f091c,25
computers,demo,DT_lr0.001_wd0.0,3,0 1 42,200,0.7640 +- 0.0079,0.5026 +- 0.0210,0.7354,0.4538,05f9e5c0,15
computers,demo,DT_lr0.003_wd0.0,3,0 1 42,200,0.7811 +- 0.0121,0.5118 +- 0.0218,0.7462,0.4795,eb516406,15
computers,demo,DT_lr0.003_wd0.0001,3,0 1 42,200,0.7768 +- 0.0059,0.5215 +- 0.0188,0.7384,0.4790,b5e7bc12,15
computers,demo,E400_DT_lr0.001_wd0.0,3,0 1 42,400,0.7788 +- 0.0140,0.5327 +- 0.0307,0.7308,0.4696,0b705c96,15
computers,demo,E400_DT_lr0.003_wd0.0,3,0 1 42,400,0.7954 +- 0.0200,0.5346 +- 0.0443,0.7405,0.4891,a4108b98,15
computers,demo,E400_DT_lr0.003_wd0.0001,3,0 1 42,400,0.7950 +- 0.0184,0.5486 +- 0.0369,0.7476,0.4926,456726c3,15
computers,outpost,E400_T_Kp12,3,0 1 42,400,0.8483 +- 0.0109,0.6409 +- 0.0130,0.7838,0.5382,6bd941a0,15
computers,outpost,E400_T_Kp4,3,0 1 42,400,0.8516 +- 0.0150,0.6490 +- 0.0136,0.7664,0.5141,27f2c232,15
computers,outpost,E400_T_drop0.3,3,0 1 42,400,0.8431 +- 0.0125,0.6466 +- 0.0129,0.7583,0.5274,9fd620d1,15
computers,outpost,E400_T_hidden128,3,0 1 42,400,0.8492 +- 0.0145,0.6566 +- 0.0139,0.7709,0.5239,bf0f7a32,15
computers,outpost,E400_T_hidden32,3,0 1 42,400,0.8455 +- 0.0122,0.6394 +- 0.0195,0.7876,0.5393,13e51792,15
computers,outpost,E400_T_lambda_un0.5,3,0 1 42,400,0.8437 +- 0.0154,0.6414 +- 0.0197,0.7725,0.5281,fb75b37a,15
computers,outpost,E400_T_lambda_un1.5,3,0 1 42,400,0.8527 +- 0.0141,0.6524 +- 0.0100,0.7726,0.5291,d7e64be8,15
