dataset,region_q,proxy,auc_in_C,caught_at_10,contamination,v1_rho
computers,30,dirichlet,0.29209100758396533,0.07692307692307693,0.05356277266117305,0.12306005256487357
computers,30,feat_dissim,0.2895104895104895,0.03619909502262444,0.05356277266117305,0.13759324593335942
computers,30,hop_dis,0.25275172218005687,0.013574660633484163,0.05356277266117305,-0.25749796322455487
computers,30,s0,0.29551624845742497,0.03619909502262444,0.05356277266117305,0.15107910358653331
computers,30,deg_inv,0.5727574000150637,0.12217194570135746,0.05356277266117305,0.14122266175343295
computers,50,dirichlet,0.3240117030237214,0.08668076109936575,0.06878999418266434,0.12306005256487357
computers,50,feat_dissim,0.3297776973597537,0.0507399577167019,0.06878999418266434,0.13759324593335942
computers,50,hop_dis,0.30024674612422364,0.023255813953488372,0.06878999418266434,-0.25749796322455487
computers,50,s0,0.33589170509727373,0.05919661733615222,0.06878999418266434,0.15107910358653331
computers,50,deg_inv,0.511914671340304,0.09725158562367865,0.06878999418266434,0.14122266175343295
