dataset,class,n,med_same_frac,med_feat_dissim,med_dirichlet,auc_hop0,auc_hop1,auc_hop2,auc_hop3,smoothing_gain,p2_spearman,p2_p
ogbn-arxiv,4,3490,0.8208556175231934,0.11133599281311035,0.6496873497962952,0.607729269539504,0.7185892891430368,0.7340374694381961,0.7337744978606865,0.12604522832118248,0.21914188518268002,3.2498971449076976e-39
ogbn-arxiv,8,3790,0.75,0.09023827314376831,0.5600591897964478,0.4921820873016374,0.6543134545551228,0.6841382949480368,0.6841454024558229,0.19196331515418547,0.10953555953627629,1.3660466546572352e-11
ogbn-arxiv,10,4971,0.4615384638309479,0.11191409826278687,0.7806044220924377,0.5506306053532968,0.6174330219525153,0.6163632570779608,0.6166821375287288,0.06605153217543203,0.1759438714688394,7.513817990182181e-36
ogbn-arxiv,34,5615,0.7368420958518982,0.10366332530975342,0.8689115643501282,0.5596388071643925,0.6134259633576201,0.6463779038918412,0.6646783801612164,0.10503957299682387,-0.034611859588512955,0.009492702661408068
