dataset,region_q,proxy,auc_in_C,caught_at_10,contamination,v1_rho
photo,30,dirichlet,0.5102123703710388,0.07920792079207921,0.04400871459694989,0.2126031359133993
photo,30,feat_dissim,0.48276577885682825,0.0594059405940594,0.04400871459694989,0.25221220874434613
photo,30,hop_dis,0.4231319440057041,0.0297029702970297,0.04400871459694989,-0.304176321765845
photo,30,s0,0.46303149002229305,0.0594059405940594,0.04400871459694989,0.3304053892706782
photo,30,deg_inv,0.4742705127395146,0.13861386138613863,0.04400871459694989,0.13678143686642658
photo,50,dirichlet,0.559309040474089,0.09090909090909091,0.05751633986928104,0.2126031359133993
photo,50,feat_dissim,0.5587441684529063,0.10909090909090909,0.05751633986928104,0.25221220874434613
photo,50,hop_dis,0.47932795359979824,0.031818181818181815,0.05751633986928104,-0.304176321765845
photo,50,s0,0.5415924851847181,0.1,0.05751633986928104,0.3304053892706782
photo,50,deg_inv,0.5197982599924347,0.1409090909090909,0.05751633986928104,0.13678143686642658
