dataset,class,n,med_same_frac,med_feat_dissim,med_dirichlet,auc_hop0,auc_hop1,auc_hop2,auc_hop3,smoothing_gain,p2_spearman,p2_p
ogbn-mag,2,187,0.0,0.06450468301773071,0.8822715878486633,0.40315385455870434,0.5166129481669206,0.5560511755314006,0.5798208276756356,0.17666697311693125,0.20715230286109954,0.0044454126052425194
ogbn-mag,39,184,0.1428571492433548,0.08971363306045532,0.7060152888298035,0.4937229807726631,0.557412400454152,0.6050531262018345,0.6288701555875827,0.13514717481491967,0.20402795569957222,0.005469597310573902
ogbn-mag,143,151,1.0,0.11324489116668701,0.3768519163131714,0.7947838002414601,0.8741410170977496,0.8681834400254895,0.8707195587582861,0.07593575851682599,0.08329585050353343,0.30923944342644605
ogbn-mag,151,129,0.0,0.09726971387863159,0.32718706130981445,0.46203726732974476,0.5732617469420528,0.5911312012337573,0.5732675826685097,0.11123031533876498,0.21324421937446583,0.015249800382929403
ogbn-mag,176,199,0.10000000149011612,0.1378667950630188,0.8723218441009521,0.8112908093999882,0.6300428907980676,0.6769326150811226,0.7065466239406193,-0.10474418545936892,-0.2175636168674196,0.0020229686374283948
ogbn-mag,195,192,0.0,0.0882592499256134,0.4606614112854004,0.40187827705906365,0.5616343985451608,0.5822987611841645,0.576839704704418,0.17496142764535438,0.09229943914740252,0.20290915905004994
ogbn-mag,206,162,0.09090909361839294,0.06960862874984741,0.5093557834625244,0.4901090983344427,0.6127940162348203,0.6193419341964502,0.6324556508419581,0.14234655250751538,0.22222068932407166,0.004481309845047379
ogbn-mag,215,191,0.0,0.07243800163269043,1.7017978429794312,0.5009711319507762,0.37784923910212065,0.27250606159102286,0.3390513186455093,-0.16191981330526695,0.0517475578196793,0.47711680881411156
ogbn-mag,216,190,0.0,0.10411182045936584,0.5357845425605774,0.6256916178826809,0.5465173014650053,0.48137264275336195,0.39702245419947096,-0.22866916368320994,0.06745293730668668,0.35512577403726076
ogbn-mag,231,195,0.0,0.06293565034866333,0.5370880961418152,0.33162872934575516,0.45121519439900243,0.52836853049767,0.5428951020085879,0.21126637266283277,0.25753147154578165,0.00027840162019345416
ogbn-mag,263,165,0.0,0.1558246612548828,0.6450892090797424,0.8538848458895264,0.7848837035345394,0.6856623786821237,0.6664380592908772,-0.18744678659864922,-0.13031725529482904,0.0952459127344131
ogbn-mag,282,184,0.0,0.08607521653175354,0.5682190656661987,0.4940351575781143,0.5613068373246545,0.5675450368879826,0.6049109443183637,0.1108757867402494,-0.008490632462387578,0.9089288597314608
ogbn-mag,321,149,0.0,0.06135070323944092,0.27520081400871277,0.2470452386157773,0.43266417674507546,0.48738696679870835,0.488595151193568,0.2415499125777907,0.2135309924251978,0.008929140175473436
ogbn-mag,327,183,0.0,0.11046212911605835,0.5378448367118835,0.6240555666074217,0.571528166512082,0.4898639369943165,0.4556403687546467,-0.16841519785277498,0.059028104791386385,0.4273478310975698
ogbn-mag,341,181,0.0,0.08833926916122437,0.9936241507530212,0.6282894298143081,0.3279502183312539,0.2741712236262465,0.22654112742010798,-0.4017483023942001,0.07509152665155218,0.31505420744866325
