dataset,region_q,proxy,auc_in_C,caught_at_10,contamination,v1_rho
yelp,30,dirichlet,0.5675544816217941,0.14355528405620036,0.11870920957215374,0.010015138290220217
yelp,30,feat_dissim,0.5791122715010978,0.16432498472816126,0.11870920957215374,-0.05345635105091804
yelp,30,hop_dis,0.6135551498479903,0.18509468540012217,0.11870920957215374,-0.2530549874528406
yelp,30,s0,0.6272973919725697,0.21319486866218693,0.11870920957215374,-0.019157362835339413
yelp,30,deg_inv,0.5299663308294705,0.14844227244960292,0.11870920957215374,0.17031242902757662
yelp,50,dirichlet,0.5788023418525031,0.15095652173913043,0.12511967969361998,0.010015138290220217
yelp,50,feat_dissim,0.5869595236704883,0.1631304347826087,0.12511967969361998,-0.05345635105091804
yelp,50,hop_dis,0.6064645337382047,0.15965217391304348,0.12511967969361998,-0.2530549874528406
yelp,50,s0,0.6298727899145488,0.21634782608695652,0.12511967969361998,-0.019157362835339413
yelp,50,deg_inv,0.5330263490848218,0.1391304347826087,0.12511967969361998,0.17031242902757662
