run,dataset,config,seed,group,scope,rotation,n_epochs,best_roc,best_pr,best_uroc,best_upr,atbestval_roc,atbestval_pr,atbestval_epoch,max_val_auc
G2_photo_full_stream42,photo,full (corrected cfg),42,photo full/lean,rotation1,1,200,0.944,0.6785,0.9271,0.365,0.8992,0.5719,148,0.9937
G2_photo_full_stream42,photo,full (corrected cfg),42,photo full/lean,AGGREGATE,-1,400,0.9089,0.6416999999999999,0.8476,0.2356,0.8645,0.5680000000000001,-1,0.99565
G2_photo_full_t0,photo,full (corrected cfg),42/t0,photo full/lean,rotation0,0,200,0.8641,0.5914,0.7491,0.0931,0.8357,0.5715,138,0.9976
G2_photo_full_t0,photo,full (corrected cfg),42/t0,photo full/lean,rotation1,1,200,0.8173,0.4738,0.8587,0.1832,0.7711,0.4416,116,0.9928
G2_photo_full_t0,photo,full (corrected cfg),42/t0,photo full/lean,AGGREGATE,-1,400,0.8407,0.5326,0.8039000000000001,0.13815,0.8034,0.5065500000000001,-1,0.9952000000000001
G2_photo_full_t1,photo,full (corrected cfg),42/t1,photo full/lean,rotation0,0,200,0.8809,0.612,0.7818,0.1079,0.8191,0.552,87,0.9971
G2_photo_full_t1,photo,full (corrected cfg),42/t1,photo full/lean,rotation1,1,200,0.8039,0.4631,0.8716,0.2252,0.7108,0.3899,62,1.0
G2_photo_full_t1,photo,full (corrected cfg),42/t1,photo full/lean,AGGREGATE,-1,400,0.8424,0.53755,0.8267,0.16655,0.76495,0.47095000000000004,-1,0.99855
G3_photo_lean_stream42,photo,lean (synth OFF),42,photo full/lean,rotation0,0,200,0.8674,0.5898,0.7564,0.0979,0.846,0.5694,131,0.9976
G3_photo_lean_stream42,photo,lean (synth OFF),42,photo full/lean,rotation1,1,200,0.8576,0.4813,0.848,0.1788,0.7731,0.4369,104,1.0
G3_photo_lean_stream42,photo,lean (synth OFF),42,photo full/lean,AGGREGATE,-1,400,0.8625,0.53555,0.8022,0.13835,0.80955,0.50315,-1,0.9988
G3_photo_lean_t0,photo,lean (synth OFF),42/t0,photo full/lean,rotation0,0,200,0.8707,0.6,0.7628,0.1005,0.8071,0.5497,88,0.9971
G3_photo_lean_t0,photo,lean (synth OFF),42/t0,photo full/lean,rotation1,1,200,0.8263,0.467,0.8675,0.1958,0.6989,0.3868,80,0.9961
G3_photo_lean_t0,photo,lean (synth OFF),42/t0,photo full/lean,AGGREGATE,-1,400,0.8485,0.5335,0.81515,0.14815,0.753,0.46824999999999994,-1,0.9965999999999999
G3_photo_lean_t1,photo,lean (synth OFF),42/t1,photo full/lean,rotation0,0,200,0.8745,0.6152,0.7701,0.1111,0.8488,0.5783,102,0.9981
G3_photo_lean_t1,photo,lean (synth OFF),42/t1,photo full/lean,rotation1,1,200,0.8795,0.5241,0.8627,0.1865,0.751,0.4372,88,0.9884
G3_photo_lean_t1,photo,lean (synth OFF),42/t1,photo full/lean,AGGREGATE,-1,400,0.877,0.56965,0.8164,0.1488,0.7999,0.50775,-1,0.99325
HM_yelp_h32_s0,?,?,?,unmapped,rotation0,0,400,0.7573,0.3708,0.5,0.0,0.7411,0.3282,293,0.7248
HM_yelp_h32_s0,?,?,?,unmapped,AGGREGATE,-1,400,0.7573,0.3708,0.5,0.0,0.7411,0.3282,-1,0.7248
HM_yelp_h32_s1,?,?,?,unmapped,rotation0,0,400,0.7271,0.335,0.5,0.0,0.7255,0.3329,360,0.724
HM_yelp_h32_s1,?,?,?,unmapped,AGGREGATE,-1,400,0.7271,0.335,0.5,0.0,0.7255,0.3329,-1,0.724
HM_yelp_h32_s42,?,?,?,unmapped,rotation0,0,400,0.7188,0.2876,0.5,0.0,0.718,0.2872,397,0.793
HM_yelp_h32_s42,?,?,?,unmapped,AGGREGATE,-1,400,0.7188,0.2876,0.5,0.0,0.718,0.2872,-1,0.793
