run,config,seed,best_roc,best_pr,atbestval_roc,atbestval_pr
A5-lean-nogate,"lean, gate OFF",42,0.7228,0.316,0.7142,0.3128
A6-lean-s0,"lean, gate ON",0,0.7546,0.4079,0.7467,0.3586
A7-lean-s1,"lean, gate ON",1,0.7311,0.3426,0.7307,0.3426
A8-lean-nogate-s0,"lean, gate OFF",0,0.7511,0.4016,0.6505,0.2258
A9-lean-nogate-s1,"lean, gate OFF",1,0.7294,0.3379,0.7281,0.3321
