# gpu=4 cmd=/usr/bin/python3 -u baselines/run_nsreg.py --dataset computers --seed 1 --method nsreg --tag NT_lr0.001_wd0.0001 --rotations 6 --set lr=0.001 lbl_lr=0.001 clf_lr=0.001 weight_decay=0.0001 n_epochs=400
/nas/home/jahin/.local/lib/python3.10/site-packages/requests/__init__.py:113: RequestsDependencyWarning: urllib3 (1.26.5) or chardet (7.2.0)/charset_normalizer (3.4.4) doesn't match a supported version!
  warnings.warn(
[0.03170448 0.15575916 0.10282141 0.03941245 0.37507272 0.02239674
 0.03541303 0.05948226 0.1567772  0.02116056]
[computers] NSReg, rotations [np.int64(6)] of [np.int64(0), np.int64(3), np.int64(5), np.int64(6), np.int64(9)]
[computers] n_epochs=400 eval_every=1 input_dim=767 wd=0.0001 lr=0.001
Normal classes: [1, 2, 4, 7, 8] in computers
using idx from: split_50.pkl - num known anomalies 50
num known anomalies: 50
Building multi-layer GraphSage
GRAPHSAGE used as the encoder
building the dataloader ...
/nas/home/jahin/.local/lib/python3.10/site-packages/torch/functional.py:554: UserWarning: torch.meshgrid: in an upcoming release, it will be required to pass the indexing argument. (Triggered internally at /pytorch/aten/src/ATen/native/TensorShape.cpp:4314.)
  return _VF.meshgrid(tensors, **kwargs)  # type: ignore[attr-defined]
num train pos edges: 848  num train neg edges: 3192
NSReg Training ...
Batch mode: enabled original propertion
Epoch  0 loss=1.5001, clf_loss=0.8295, lbl_loss=0.6707
Epoch  1 loss=1.3523, clf_loss=0.6764, lbl_loss=0.6759
Epoch  2 loss=1.2566, clf_loss=0.5844, lbl_loss=0.6723
Epoch  3 loss=1.1867, clf_loss=0.4994, lbl_loss=0.6873
Epoch  4 loss=1.0855, clf_loss=0.4150, lbl_loss=0.6706
Epoch  5 loss=1.0352, clf_loss=0.3650, lbl_loss=0.6702
Epoch  6 loss=1.0360, clf_loss=0.3570, lbl_loss=0.6790
Epoch  7 loss=1.0469, clf_loss=0.3730, lbl_loss=0.6740
Epoch  8 loss=1.0672, clf_loss=0.3933, lbl_loss=0.6738
Epoch  9 loss=1.0483, clf_loss=0.3741, lbl_loss=0.6742
Epoch 10 loss=1.0572, clf_loss=0.3831, lbl_loss=0.6741
Epoch 11 loss=1.0177, clf_loss=0.3539, lbl_loss=0.6638
Epoch 12 loss=1.0203, clf_loss=0.3390, lbl_loss=0.6813
Epoch 13 loss=1.0030, clf_loss=0.3449, lbl_loss=0.6580
Epoch 14 loss=1.0161, clf_loss=0.3433, lbl_loss=0.6728
Epoch 15 loss=1.0222, clf_loss=0.3472, lbl_loss=0.6750
Epoch 16 loss=1.0232, clf_loss=0.3463, lbl_loss=0.6769
Epoch 17 loss=1.0174, clf_loss=0.3419, lbl_loss=0.6755
Epoch 18 loss=0.9964, clf_loss=0.3334, lbl_loss=0.6631
Epoch 19 loss=0.9994, clf_loss=0.3268, lbl_loss=0.6726
Epoch 20 loss=0.9763, clf_loss=0.3222, lbl_loss=0.6541
Epoch 21 loss=0.9945, clf_loss=0.3206, lbl_loss=0.6739
Epoch 22 loss=0.9995, clf_loss=0.3233, lbl_loss=0.6762
Epoch 23 loss=0.9954, clf_loss=0.3179, lbl_loss=0.6775
Epoch 24 loss=0.9836, clf_loss=0.3100, lbl_loss=0.6735
Epoch 25 loss=0.9849, clf_loss=0.3097, lbl_loss=0.6752
Epoch 26 loss=0.9719, clf_loss=0.3057, lbl_loss=0.6661
Epoch 27 loss=0.9714, clf_loss=0.3010, lbl_loss=0.6704
Epoch 28 loss=0.9690, clf_loss=0.2970, lbl_loss=0.6720
Epoch 29 loss=0.9608, clf_loss=0.2946, lbl_loss=0.6662
Epoch 30 loss=0.9624, clf_loss=0.2912, lbl_loss=0.6712
Epoch 31 loss=0.9599, clf_loss=0.2901, lbl_loss=0.6698
Epoch 32 loss=0.9690, clf_loss=0.2877, lbl_loss=0.6813
Epoch 33 loss=0.9641, clf_loss=0.2858, lbl_loss=0.6783
Epoch 34 loss=0.9642, clf_loss=0.2839, lbl_loss=0.6803
Epoch 35 loss=0.9584, clf_loss=0.2803, lbl_loss=0.6781
Epoch 36 loss=0.9515, clf_loss=0.2789, lbl_loss=0.6726
Epoch 37 loss=0.9573, clf_loss=0.2751, lbl_loss=0.6822
Epoch 38 loss=0.9523, clf_loss=0.2750, lbl_loss=0.6773
Epoch 39 loss=0.9451, clf_loss=0.2729, lbl_loss=0.6723
Epoch 40 loss=0.9498, clf_loss=0.2707, lbl_loss=0.6791
Epoch 41 loss=0.9354, clf_loss=0.2681, lbl_loss=0.6673
Epoch 42 loss=0.9443, clf_loss=0.2647, lbl_loss=0.6796
Epoch 43 loss=0.9379, clf_loss=0.2635, lbl_loss=0.6744
Epoch 44 loss=0.9291, clf_loss=0.2584, lbl_loss=0.6707
Epoch 45 loss=0.9316, clf_loss=0.2570, lbl_loss=0.6746
Epoch 46 loss=0.9162, clf_loss=0.2512, lbl_loss=0.6650
Epoch 47 loss=0.9223, clf_loss=0.2484, lbl_loss=0.6739
Epoch 48 loss=0.9292, clf_loss=0.2466, lbl_loss=0.6826
Epoch 49 loss=0.9126, clf_loss=0.2426, lbl_loss=0.6700
Epoch 50 loss=0.9150, clf_loss=0.2409, lbl_loss=0.6741
Epoch 51 loss=0.9087, clf_loss=0.2364, lbl_loss=0.6723
Epoch 52 loss=0.8858, clf_loss=0.2317, lbl_loss=0.6541
Epoch 53 loss=0.8966, clf_loss=0.2331, lbl_loss=0.6634
Epoch 54 loss=0.8922, clf_loss=0.2249, lbl_loss=0.6674
Epoch 55 loss=0.8939, clf_loss=0.2228, lbl_loss=0.6710
Epoch 56 loss=0.8878, clf_loss=0.2191, lbl_loss=0.6687
Epoch 57 loss=0.8860, clf_loss=0.2159, lbl_loss=0.6701
Epoch 58 loss=0.8870, clf_loss=0.2142, lbl_loss=0.6727
Epoch 59 loss=0.8824, clf_loss=0.2119, lbl_loss=0.6705
Epoch 60 loss=0.8708, clf_loss=0.2090, lbl_loss=0.6618
Epoch 61 loss=0.8725, clf_loss=0.2052, lbl_loss=0.6673
Epoch 62 loss=0.8640, clf_loss=0.2018, lbl_loss=0.6623
Epoch 63 loss=0.8782, clf_loss=0.2018, lbl_loss=0.6764
Epoch 64 loss=0.8768, clf_loss=0.1991, lbl_loss=0.6778
Epoch 65 loss=0.8715, clf_loss=0.1966, lbl_loss=0.6748
Epoch 66 loss=0.8715, clf_loss=0.1924, lbl_loss=0.6791
Epoch 67 loss=0.8574, clf_loss=0.1899, lbl_loss=0.6674
Epoch 68 loss=0.8526, clf_loss=0.1863, lbl_loss=0.6663
Epoch 69 loss=0.8524, clf_loss=0.1850, lbl_loss=0.6674
Epoch 70 loss=0.8461, clf_loss=0.1831, lbl_loss=0.6630
Epoch 71 loss=0.8460, clf_loss=0.1808, lbl_loss=0.6652
Epoch 72 loss=0.8422, clf_loss=0.1777, lbl_loss=0.6644
Epoch 73 loss=0.8457, clf_loss=0.1796, lbl_loss=0.6661
Epoch 74 loss=0.8417, clf_loss=0.1746, lbl_loss=0.6670
Epoch 75 loss=0.8305, clf_loss=0.1731, lbl_loss=0.6574
Epoch 76 loss=0.8339, clf_loss=0.1682, lbl_loss=0.6657
Epoch 77 loss=0.8333, clf_loss=0.1682, lbl_loss=0.6650
Epoch 78 loss=0.8172, clf_loss=0.1667, lbl_loss=0.6505
Epoch 79 loss=0.8230, clf_loss=0.1647, lbl_loss=0.6583
Epoch 80 loss=0.8396, clf_loss=0.1629, lbl_loss=0.6767
Epoch 81 loss=0.8263, clf_loss=0.1587, lbl_loss=0.6676
Epoch 82 loss=0.8273, clf_loss=0.1540, lbl_loss=0.6733
Epoch 83 loss=0.8150, clf_loss=0.1539, lbl_loss=0.6611
Epoch 84 loss=0.8241, clf_loss=0.1533, lbl_loss=0.6708
Epoch 85 loss=0.8071, clf_loss=0.1448, lbl_loss=0.6623
Epoch 86 loss=0.8140, clf_loss=0.1421, lbl_loss=0.6719
Epoch 87 loss=0.8075, clf_loss=0.1392, lbl_loss=0.6683
Epoch 88 loss=0.8010, clf_loss=0.1335, lbl_loss=0.6675
Epoch 89 loss=0.8022, clf_loss=0.1318, lbl_loss=0.6704
Epoch 90 loss=0.7953, clf_loss=0.1275, lbl_loss=0.6678
Epoch 91 loss=0.8008, clf_loss=0.1235, lbl_loss=0.6772
Epoch 92 loss=0.8025, clf_loss=0.1235, lbl_loss=0.6790
Epoch 93 loss=0.7700, clf_loss=0.1067, lbl_loss=0.6633
Epoch 94 loss=0.7814, clf_loss=0.1138, lbl_loss=0.6676
Epoch 95 loss=0.7792, clf_loss=0.1060, lbl_loss=0.6731
Epoch 96 loss=0.7982, clf_loss=0.1108, lbl_loss=0.6875
Epoch 97 loss=0.7714, clf_loss=0.1013, lbl_loss=0.6701
Epoch 98 loss=0.7771, clf_loss=0.0982, lbl_loss=0.6789
Epoch 99 loss=0.7573, clf_loss=0.0939, lbl_loss=0.6634
Epoch 100 loss=0.7653, clf_loss=0.1003, lbl_loss=0.6649
Epoch 101 loss=0.7630, clf_loss=0.0988, lbl_loss=0.6641
Epoch 102 loss=0.7694, clf_loss=0.1014, lbl_loss=0.6681
Epoch 103 loss=0.7825, clf_loss=0.1145, lbl_loss=0.6680
Epoch 104 loss=0.7556, clf_loss=0.0959, lbl_loss=0.6597
Epoch 105 loss=0.7427, clf_loss=0.0894, lbl_loss=0.6534
Epoch 106 loss=0.7598, clf_loss=0.0954, lbl_loss=0.6643
Epoch 107 loss=0.7445, clf_loss=0.0928, lbl_loss=0.6517
Epoch 108 loss=0.7460, clf_loss=0.0905, lbl_loss=0.6555
Epoch 109 loss=0.7421, clf_loss=0.0879, lbl_loss=0.6542
Epoch 110 loss=0.7380, clf_loss=0.0714, lbl_loss=0.6666
Epoch 111 loss=0.7536, clf_loss=0.0865, lbl_loss=0.6671
Epoch 112 loss=0.7499, clf_loss=0.0847, lbl_loss=0.6652
Epoch 113 loss=0.7622, clf_loss=0.0885, lbl_loss=0.6737
Epoch 114 loss=0.7508, clf_loss=0.0808, lbl_loss=0.6700
Epoch 115 loss=0.7414, clf_loss=0.0724, lbl_loss=0.6690
Epoch 116 loss=0.7600, clf_loss=0.0902, lbl_loss=0.6698
Epoch 117 loss=0.7309, clf_loss=0.0695, lbl_loss=0.6614
Epoch 118 loss=0.7356, clf_loss=0.0843, lbl_loss=0.6513
Epoch 119 loss=0.7538, clf_loss=0.0826, lbl_loss=0.6713
Epoch 120 loss=0.7556, clf_loss=0.0769, lbl_loss=0.6787
Epoch 121 loss=0.7511, clf_loss=0.0862, lbl_loss=0.6648
Epoch 122 loss=0.7091, clf_loss=0.0566, lbl_loss=0.6525
Epoch 123 loss=0.7446, clf_loss=0.0768, lbl_loss=0.6678
Epoch 124 loss=0.7327, clf_loss=0.0752, lbl_loss=0.6575
Epoch 125 loss=0.7329, clf_loss=0.0687, lbl_loss=0.6642
Epoch 126 loss=0.7443, clf_loss=0.0808, lbl_loss=0.6635
Epoch 127 loss=0.7338, clf_loss=0.0722, lbl_loss=0.6615
Epoch 128 loss=0.7182, clf_loss=0.0670, lbl_loss=0.6512
Epoch 129 loss=0.7387, clf_loss=0.0762, lbl_loss=0.6626
Epoch 130 loss=0.7075, clf_loss=0.0528, lbl_loss=0.6548
Epoch 131 loss=0.7378, clf_loss=0.0659, lbl_loss=0.6719
Epoch 132 loss=0.7020, clf_loss=0.0654, lbl_loss=0.6366
Epoch 133 loss=0.7108, clf_loss=0.0655, lbl_loss=0.6453
Epoch 134 loss=0.7279, clf_loss=0.0597, lbl_loss=0.6683
Epoch 135 loss=0.7110, clf_loss=0.0635, lbl_loss=0.6475
Epoch 136 loss=0.7063, clf_loss=0.0494, lbl_loss=0.6570
Epoch 137 loss=0.7160, clf_loss=0.0527, lbl_loss=0.6633
Epoch 138 loss=0.7275, clf_loss=0.0691, lbl_loss=0.6584
Epoch 139 loss=0.7094, clf_loss=0.0577, lbl_loss=0.6517
Epoch 140 loss=0.7089, clf_loss=0.0501, lbl_loss=0.6588
Epoch 141 loss=0.7205, clf_loss=0.0575, lbl_loss=0.6630
Epoch 142 loss=0.7095, clf_loss=0.0571, lbl_loss=0.6524
Epoch 143 loss=0.6916, clf_loss=0.0535, lbl_loss=0.6381
Epoch 144 loss=0.7127, clf_loss=0.0490, lbl_loss=0.6636
Epoch 145 loss=0.6964, clf_loss=0.0537, lbl_loss=0.6427
Epoch 146 loss=0.7033, clf_loss=0.0588, lbl_loss=0.6446
Epoch 147 loss=0.7048, clf_loss=0.0482, lbl_loss=0.6566
Epoch 148 loss=0.7005, clf_loss=0.0484, lbl_loss=0.6521
Epoch 149 loss=0.7187, clf_loss=0.0564, lbl_loss=0.6623
Epoch 150 loss=0.6842, clf_loss=0.0375, lbl_loss=0.6467
Epoch 151 loss=0.6941, clf_loss=0.0482, lbl_loss=0.6460
Epoch 152 loss=0.6935, clf_loss=0.0506, lbl_loss=0.6429
Epoch 153 loss=0.7130, clf_loss=0.0469, lbl_loss=0.6661
Epoch 154 loss=0.7129, clf_loss=0.0493, lbl_loss=0.6635
Epoch 155 loss=0.7113, clf_loss=0.0525, lbl_loss=0.6588
Epoch 156 loss=0.6883, clf_loss=0.0430, lbl_loss=0.6453
Epoch 157 loss=0.7005, clf_loss=0.0517, lbl_loss=0.6488
