# gpu=4 cmd=/usr/bin/python3 -u baselines/run_nsreg.py --dataset photo --seed 42 --method nsreg --tag NT_lr0.003_wd0.0 --rotations 0 --set lr=0.003 lbl_lr=0.003 clf_lr=0.003 weight_decay=0.0 n_epochs=400
/nas/home/jahin/.local/lib/python3.10/site-packages/requests/__init__.py:113: RequestsDependencyWarning: urllib3 (1.26.5) or chardet (7.2.0)/charset_normalizer (3.4.4) doesn't match a supported version!
  warnings.warn(
[0.04823529 0.22039216 0.09189542 0.11960784 0.11529412 0.1075817
 0.25372549 0.04326797]
[photo] NSReg, rotations [np.int64(0)] of [np.int64(0), np.int64(7)]
[photo] n_epochs=400 eval_every=1 input_dim=745 wd=0.0 lr=0.003
Normal classes: [1, 2, 3, 4, 5, 6] in photo
using idx from: split_50.pkl - num known anomalies 50
num known anomalies: 50
Building multi-layer GraphSage
GRAPHSAGE used as the encoder
building the dataloader ...
/nas/home/jahin/.local/lib/python3.10/site-packages/torch/functional.py:554: UserWarning: torch.meshgrid: in an upcoming release, it will be required to pass the indexing argument. (Triggered internally at /pytorch/aten/src/ATen/native/TensorShape.cpp:4314.)
  return _VF.meshgrid(tensors, **kwargs)  # type: ignore[attr-defined]
num train pos edges: 477  num train neg edges: 3188
NSReg Training ...
Batch mode: enabled original propertion
Epoch 66 loss=0.7356, clf_loss=0.0868, lbl_loss=0.6488
Epoch 67 loss=0.7172, clf_loss=0.0745, lbl_loss=0.6427
Epoch 68 loss=0.7144, clf_loss=0.0725, lbl_loss=0.6419
Epoch 69 loss=0.7320, clf_loss=0.0767, lbl_loss=0.6553
Epoch 70 loss=0.7107, clf_loss=0.0566, lbl_loss=0.6541
Epoch 71 loss=0.7009, clf_loss=0.0435, lbl_loss=0.6575
Epoch 72 loss=0.6907, clf_loss=0.0457, lbl_loss=0.6450
Epoch 73 loss=0.6751, clf_loss=0.0341, lbl_loss=0.6410
Epoch 74 loss=0.6681, clf_loss=0.0316, lbl_loss=0.6365
Epoch 75 loss=0.6857, clf_loss=0.0324, lbl_loss=0.6532
Epoch 76 loss=0.7049, clf_loss=0.0304, lbl_loss=0.6744
Epoch 77 loss=0.6932, clf_loss=0.0278, lbl_loss=0.6654
Epoch 78 loss=0.6686, clf_loss=0.0160, lbl_loss=0.6527
Epoch 79 loss=0.6854, clf_loss=0.0181, lbl_loss=0.6673
Epoch 80 loss=0.6808, clf_loss=0.0281, lbl_loss=0.6526
Epoch 81 loss=0.6637, clf_loss=0.0207, lbl_loss=0.6431
Epoch 82 loss=0.6973, clf_loss=0.0471, lbl_loss=0.6502
Epoch 83 loss=0.6530, clf_loss=0.0103, lbl_loss=0.6427
Epoch 84 loss=0.6396, clf_loss=0.0085, lbl_loss=0.6312
Epoch 85 loss=0.6698, clf_loss=0.0249, lbl_loss=0.6449
Epoch 86 loss=0.6749, clf_loss=0.0156, lbl_loss=0.6593
Epoch 87 loss=0.6532, clf_loss=0.0128, lbl_loss=0.6404
Epoch 88 loss=0.6762, clf_loss=0.0186, lbl_loss=0.6576
Epoch 89 loss=0.6540, clf_loss=0.0107, lbl_loss=0.6433
Epoch 90 loss=0.6589, clf_loss=0.0110, lbl_loss=0.6480
Epoch 91 loss=0.6296, clf_loss=0.0112, lbl_loss=0.6184
Epoch 92 loss=0.6646, clf_loss=0.0270, lbl_loss=0.6376
Epoch 93 loss=0.6393, clf_loss=0.0033, lbl_loss=0.6361
Epoch 94 loss=0.6546, clf_loss=0.0058, lbl_loss=0.6488
Epoch 95 loss=0.6533, clf_loss=0.0071, lbl_loss=0.6463
Epoch 96 loss=0.6208, clf_loss=0.0109, lbl_loss=0.6099
Epoch 97 loss=0.6520, clf_loss=0.0124, lbl_loss=0.6397
Epoch 98 loss=0.6536, clf_loss=0.0120, lbl_loss=0.6415
Epoch 99 loss=0.6198, clf_loss=0.0055, lbl_loss=0.6143
Epoch 100 loss=0.6228, clf_loss=0.0051, lbl_loss=0.6177
Epoch 101 loss=0.6374, clf_loss=0.0038, lbl_loss=0.6336
Epoch 102 loss=0.6271, clf_loss=0.0044, lbl_loss=0.6227
Epoch 103 loss=0.6263, clf_loss=0.0030, lbl_loss=0.6233
Epoch 104 loss=0.6006, clf_loss=0.0063, lbl_loss=0.5942
Epoch 105 loss=0.6476, clf_loss=0.0022, lbl_loss=0.6454
Epoch 106 loss=0.6443, clf_loss=0.0152, lbl_loss=0.6291
Epoch 107 loss=0.6232, clf_loss=0.0027, lbl_loss=0.6205
Epoch 108 loss=0.6143, clf_loss=0.0030, lbl_loss=0.6113
Epoch 109 loss=0.6269, clf_loss=0.0052, lbl_loss=0.6217
Epoch 110 loss=0.6186, clf_loss=0.0026, lbl_loss=0.6160
Epoch 111 loss=0.6019, clf_loss=0.0013, lbl_loss=0.6006
Epoch 112 loss=0.6096, clf_loss=0.0014, lbl_loss=0.6082
Epoch 113 loss=0.6095, clf_loss=0.0066, lbl_loss=0.6029
Epoch 114 loss=0.6157, clf_loss=0.0019, lbl_loss=0.6138
Epoch 115 loss=0.6132, clf_loss=0.0023, lbl_loss=0.6109
Epoch 116 loss=0.6285, clf_loss=0.0062, lbl_loss=0.6223
Epoch 117 loss=0.6049, clf_loss=0.0070, lbl_loss=0.5979
Epoch 118 loss=0.5781, clf_loss=0.0019, lbl_loss=0.5762
Epoch 119 loss=0.5865, clf_loss=0.0020, lbl_loss=0.5844
Epoch 120 loss=0.5823, clf_loss=0.0017, lbl_loss=0.5805
Epoch 121 loss=0.5772, clf_loss=0.0008, lbl_loss=0.5764
Epoch 122 loss=0.6201, clf_loss=0.0006, lbl_loss=0.6196
Epoch 123 loss=0.6061, clf_loss=0.0026, lbl_loss=0.6035
Epoch 124 loss=0.6261, clf_loss=0.0100, lbl_loss=0.6161
Epoch 125 loss=0.5740, clf_loss=0.0015, lbl_loss=0.5725
Epoch 126 loss=0.5944, clf_loss=0.0027, lbl_loss=0.5917
