/nas/home/jahin/.local/lib/python3.10/site-packages/requests/__init__.py:113: RequestsDependencyWarning: urllib3 (1.26.5) or chardet (7.2.0)/charset_normalizer (3.4.4) doesn't match a supported version!
  warnings.warn(
[0.04823529 0.22039216 0.09189542 0.11960784 0.11529412 0.1075817
 0.25372549 0.04326797]
[photo] NSReg, rotations [np.int64(0)] of [np.int64(0), np.int64(7)]
[photo] n_epochs=400 eval_every=1 input_dim=745 wd=0.0 lr=0.003
Normal classes: [1, 2, 3, 4, 5, 6] in photo
using idx from: split_50.pkl - num known anomalies 50
num known anomalies: 50
Building multi-layer GraphSage
GRAPHSAGE used as the encoder
building the dataloader ...
/nas/home/jahin/.local/lib/python3.10/site-packages/torch/functional.py:554: UserWarning: torch.meshgrid: in an upcoming release, it will be required to pass the indexing argument. (Triggered internally at /pytorch/aten/src/ATen/native/TensorShape.cpp:4314.)
  return _VF.meshgrid(tensors, **kwargs)  # type: ignore[attr-defined]
num train pos edges: 464  num train neg edges: 3544
NSReg Training ...
Batch mode: enabled original propertion
Epoch  0 loss=1.6174, clf_loss=0.9450, lbl_loss=0.6724
Epoch  1 loss=1.2177, clf_loss=0.5411, lbl_loss=0.6766
Epoch  2 loss=0.9932, clf_loss=0.3331, lbl_loss=0.6602
Epoch  3 loss=1.1497, clf_loss=0.4496, lbl_loss=0.7001
Epoch  4 loss=1.0799, clf_loss=0.4044, lbl_loss=0.6755
Epoch  5 loss=1.0044, clf_loss=0.3344, lbl_loss=0.6700
Epoch  6 loss=0.9852, clf_loss=0.3167, lbl_loss=0.6685
Epoch  7 loss=1.0105, clf_loss=0.3365, lbl_loss=0.6740
Epoch  8 loss=1.0088, clf_loss=0.3399, lbl_loss=0.6689
Epoch  9 loss=0.9876, clf_loss=0.3181, lbl_loss=0.6694
Epoch 10 loss=0.9566, clf_loss=0.2921, lbl_loss=0.6646
Epoch 11 loss=0.9653, clf_loss=0.2890, lbl_loss=0.6763
Epoch 12 loss=0.9695, clf_loss=0.3097, lbl_loss=0.6599
Epoch 13 loss=0.9787, clf_loss=0.3012, lbl_loss=0.6775
Epoch 14 loss=0.9592, clf_loss=0.2866, lbl_loss=0.6726
Epoch 15 loss=0.9388, clf_loss=0.2749, lbl_loss=0.6638
Epoch 16 loss=0.9411, clf_loss=0.2667, lbl_loss=0.6744
Epoch 17 loss=0.9372, clf_loss=0.2658, lbl_loss=0.6714
Epoch 18 loss=0.9209, clf_loss=0.2639, lbl_loss=0.6570
Epoch 19 loss=0.9204, clf_loss=0.2566, lbl_loss=0.6638
Epoch 20 loss=0.9060, clf_loss=0.2429, lbl_loss=0.6631
Epoch 21 loss=0.9074, clf_loss=0.2427, lbl_loss=0.6647
Epoch 22 loss=0.9087, clf_loss=0.2322, lbl_loss=0.6766
Epoch 23 loss=0.8978, clf_loss=0.2285, lbl_loss=0.6693
Epoch 24 loss=0.9005, clf_loss=0.2240, lbl_loss=0.6765
Epoch 25 loss=0.8832, clf_loss=0.2169, lbl_loss=0.6663
Epoch 26 loss=0.8706, clf_loss=0.2098, lbl_loss=0.6609
Epoch 27 loss=0.8653, clf_loss=0.2033, lbl_loss=0.6621
