/nas/home/jahin/.local/lib/python3.10/site-packages/requests/__init__.py:113: RequestsDependencyWarning: urllib3 (1.26.5) or chardet (7.2.0)/charset_normalizer (3.4.4) doesn't match a supported version!
  warnings.warn(
[0.04823529 0.22039216 0.09189542 0.11960784 0.11529412 0.1075817
 0.25372549 0.04326797]
[photo] NSReg, rotations [np.int64(7)] of [np.int64(0), np.int64(7)]
[photo] n_epochs=400 eval_every=1 input_dim=745 wd=0.0 lr=0.003
Normal classes: [1, 2, 3, 4, 5, 6] in photo
using idx from: split_50.pkl - num known anomalies 50
num known anomalies: 50
Building multi-layer GraphSage
GRAPHSAGE used as the encoder
building the dataloader ...
/nas/home/jahin/.local/lib/python3.10/site-packages/torch/functional.py:554: UserWarning: torch.meshgrid: in an upcoming release, it will be required to pass the indexing argument. (Triggered internally at /pytorch/aten/src/ATen/native/TensorShape.cpp:4314.)
  return _VF.meshgrid(tensors, **kwargs)  # type: ignore[attr-defined]
num train pos edges: 714  num train neg edges: 2790
NSReg Training ...
Batch mode: enabled original propertion
Epoch 70 loss=0.6812, clf_loss=0.0213, lbl_loss=0.6599
Epoch 71 loss=0.6845, clf_loss=0.0462, lbl_loss=0.6383
Epoch 72 loss=0.6691, clf_loss=0.0246, lbl_loss=0.6446
Epoch 73 loss=0.6828, clf_loss=0.0321, lbl_loss=0.6507
Epoch 74 loss=0.6524, clf_loss=0.0100, lbl_loss=0.6424
Epoch 75 loss=0.6634, clf_loss=0.0283, lbl_loss=0.6350
Epoch 76 loss=0.6859, clf_loss=0.0311, lbl_loss=0.6548
Epoch 77 loss=0.6663, clf_loss=0.0398, lbl_loss=0.6265
Epoch 78 loss=0.6663, clf_loss=0.0276, lbl_loss=0.6387
Epoch 79 loss=0.6667, clf_loss=0.0176, lbl_loss=0.6491
Epoch 80 loss=0.6610, clf_loss=0.0276, lbl_loss=0.6334
Epoch 81 loss=0.6847, clf_loss=0.0243, lbl_loss=0.6603
Epoch 82 loss=0.6618, clf_loss=0.0181, lbl_loss=0.6437
Epoch 83 loss=0.6553, clf_loss=0.0146, lbl_loss=0.6407
Epoch 84 loss=0.6690, clf_loss=0.0427, lbl_loss=0.6263
Epoch 85 loss=0.6646, clf_loss=0.0137, lbl_loss=0.6510
Epoch 86 loss=0.6697, clf_loss=0.0403, lbl_loss=0.6294
Epoch 87 loss=0.6847, clf_loss=0.0203, lbl_loss=0.6644
Epoch 88 loss=0.6679, clf_loss=0.0157, lbl_loss=0.6522
Epoch 89 loss=0.6878, clf_loss=0.0691, lbl_loss=0.6187
Epoch 90 loss=0.6736, clf_loss=0.0395, lbl_loss=0.6341
Epoch 91 loss=0.6918, clf_loss=0.0453, lbl_loss=0.6465
Epoch 92 loss=0.6393, clf_loss=0.0320, lbl_loss=0.6072
Epoch 93 loss=0.6531, clf_loss=0.0203, lbl_loss=0.6328
Epoch 94 loss=0.6235, clf_loss=0.0138, lbl_loss=0.6097
Epoch 95 loss=0.6416, clf_loss=0.0266, lbl_loss=0.6150
Epoch 96 loss=0.6781, clf_loss=0.0637, lbl_loss=0.6144
Epoch 97 loss=0.6586, clf_loss=0.0352, lbl_loss=0.6234
Epoch 98 loss=0.6737, clf_loss=0.0483, lbl_loss=0.6254
Epoch 99 loss=0.6627, clf_loss=0.0222, lbl_loss=0.6405
Epoch 100 loss=0.6590, clf_loss=0.0109, lbl_loss=0.6481
Epoch 101 loss=0.6446, clf_loss=0.0202, lbl_loss=0.6244
Epoch 102 loss=0.6542, clf_loss=0.0136, lbl_loss=0.6406
Epoch 103 loss=0.6811, clf_loss=0.0453, lbl_loss=0.6358
Epoch 104 loss=0.6392, clf_loss=0.0217, lbl_loss=0.6175
Epoch 105 loss=0.6645, clf_loss=0.0201, lbl_loss=0.6444
Epoch 106 loss=0.6355, clf_loss=0.0077, lbl_loss=0.6278
Epoch 107 loss=0.6340, clf_loss=0.0101, lbl_loss=0.6239
