38/38 job(s) to run on gpu 6
[22:27:12] === run_small sel_final on gpu 6: 38 job(s) ===
[23:03:02] [ok  ] 3/38 T_hidden16__amazon_outpost_s4_rot  35.8 min
[23:33:02] [ok  ] 6/38 T_hidden16__amazon_outpost_s7_rot  30.0 min
[23:38:26] [ok  ] 10/38 C_nopl_hidden16__amazon_outpost_s2_rot  5.4 min
[23:49:29] [ok  ] 13/38 C_nopl_hidden16__amazon_outpost_s5_rot  11.1 min
[00:03:07] [ok  ] 16/38 C_nopl_hidden16__amazon_outpost_s8_rot  13.6 min
[00:15:56] [ok  ] 20/38 NT_lr0.003_wd0.0__amazon_nsreg_s4_rot  12.8 min
[00:23:57] [ok  ] 26/38 NT_lr0.003_wd0.0__photo_nsreg_s2_rot7  8.0 min
[00:31:08] [ok  ] 29/38 NT_lr0.003_wd0.0__photo_nsreg_s4_rot0  7.2 min
[00:36:30] [ok  ] 34/38 NT_lr0.003_wd0.0__photo_nsreg_s6_rot7  5.4 min
[00:43:51] [ok  ] 36/38 NT_lr0.003_wd0.0__photo_nsreg_s7_rot7  7.4 min
[00:43:51] === sel_final done: 10 ok, 0 failed ===
