38/38 job(s) to run on gpu 3
[22:27:12] === run_small sel_final on gpu 3: 38 job(s) ===
[23:17:32] [ok  ] 2/38 T_hidden16__amazon_outpost_s3_rot  50.3 min
[23:36:27] [ok  ] 7/38 T_hidden16__amazon_outpost_s8_rot  18.9 min
[23:44:17] [ok  ] 12/38 C_nopl_hidden16__amazon_outpost_s4_rot  7.8 min
[23:58:15] [ok  ] 15/38 C_nopl_hidden16__amazon_outpost_s7_rot  14.0 min
[00:02:00] [ok  ] 18/38 NT_lr0.003_wd0.0__amazon_nsreg_s2_rot  3.7 min
[00:15:22] [ok  ] 19/38 NT_lr0.003_wd0.0__amazon_nsreg_s3_rot  13.4 min
[00:24:20] [ok  ] 25/38 NT_lr0.003_wd0.0__photo_nsreg_s2_rot0  8.5 min
[00:29:47] [ok  ] 30/38 NT_lr0.003_wd0.0__photo_nsreg_s4_rot7  5.4 min
[00:38:06] [ok  ] 32/38 NT_lr0.003_wd0.0__photo_nsreg_s5_rot7  7.8 min
[00:44:56] [ok  ] 38/38 NT_lr0.003_wd0.0__photo_nsreg_s8_rot7  6.8 min
[00:44:56] === sel_final done: 10 ok, 0 failed ===
