2026-09-02 14:31:12,853 INFO cli={'dataset': 'cs', 'method': 'outpost', 'seed': 2, 'train_seed': None, 'epochs': None, 'set': ['use_atlas_gate=false'], 'tag': 'C_nogate', 'rotations': [1]}
2026-09-02 14:32:57,098 INFO [OUTPOST-v4] epoch 11 cur={'auroc_all': 0.8896532783345069, 'aupr_all': 0.7837876757733333, 'auroc_unknown': 0.8858974240561156, 'aupr_unknown': 0.7627623218413524, 'val_auc': 0.8936170212765957} best={'auroc_all': 0.8896532783345069, 'aupr_all': 0.7837876757733333, 'auroc_unknown': 0.8858974240561156, 'aupr_unknown': 0.7627623218413524}
2026-09-02 14:33:08,600 INFO [OUTPOST-v4] epoch 12 cur={'auroc_all': 0.8964048963551471, 'aupr_all': 0.7972869698621472, 'auroc_unknown': 0.8921892046743443, 'aupr_unknown': 0.7757488346400936, 'val_auc': 0.9153664302600473} best={'auroc_all': 0.8964048963551471, 'aupr_all': 0.7972869698621472, 'auroc_unknown': 0.8921892046743443, 'aupr_unknown': 0.7757488346400936}
2026-09-02 14:33:20,119 INFO [OUTPOST-v4] epoch 13 cur={'auroc_all': 0.9012066287445833, 'aupr_all': 0.8061816661692531, 'auroc_unknown': 0.8968729678391435, 'aupr_unknown': 0.784634566525751, 'val_auc': 0.9148936170212767} best={'auroc_all': 0.9012066287445833, 'aupr_all': 0.8061816661692531, 'auroc_unknown': 0.8968729678391435, 'aupr_unknown': 0.784634566525751}
2026-09-02 14:33:31,607 INFO [OUTPOST-v4] epoch 14 cur={'auroc_all': 0.9035882410571328, 'aupr_all': 0.8115513451258847, 'auroc_unknown': 0.8992404266732167, 'aupr_unknown': 0.7888331537518896, 'val_auc': 0.909692671394799} best={'auroc_all': 0.9035882410571328, 'aupr_all': 0.8115513451258847, 'auroc_unknown': 0.8992404266732167, 'aupr_unknown': 0.7888331537518896}
2026-09-02 14:33:43,114 INFO [OUTPOST-v4] epoch 15 cur={'auroc_all': 0.9066225903324907, 'aupr_all': 0.8138226407478739, 'auroc_unknown': 0.9021974614577715, 'aupr_unknown': 0.790769301129916, 'val_auc': 0.9345153664302601} best={'auroc_all': 0.9066225903324907, 'aupr_all': 0.8138226407478739, 'auroc_unknown': 0.9021974614577715, 'aupr_unknown': 0.790769301129916}
2026-09-02 14:33:54,725 INFO [OUTPOST-v4] epoch 16 cur={'auroc_all': 0.9069268531861587, 'aupr_all': 0.8157657575947115, 'auroc_unknown': 0.9023962839907211, 'aupr_unknown': 0.792659607226035, 'val_auc': 0.939952718676123} best={'auroc_all': 0.9069268531861587, 'aupr_all': 0.8157657575947115, 'auroc_unknown': 0.9023962839907211, 'aupr_unknown': 0.792659607226035}
2026-09-02 14:34:06,295 INFO [OUTPOST-v4] epoch 17 cur={'auroc_all': 0.9074808829556228, 'aupr_all': 0.8160592026869464, 'auroc_unknown': 0.9034420281948601, 'aupr_unknown': 0.793818897778949, 'val_auc': 0.9423167848699763} best={'auroc_all': 0.9074808829556228, 'aupr_all': 0.8160592026869464, 'auroc_unknown': 0.9034420281948601, 'aupr_unknown': 0.793818897778949}
2026-09-02 14:34:17,916 INFO [OUTPOST-v4] epoch 18 cur={'auroc_all': 0.910151165513013, 'aupr_all': 0.8162874305971888, 'auroc_unknown': 0.90578214372893, 'aupr_unknown': 0.7922008382093729, 'val_auc': 0.9278959810874705} best={'auroc_all': 0.910151165513013, 'aupr_all': 0.8162874305971888, 'auroc_unknown': 0.90578214372893, 'aupr_unknown': 0.793818897778949}
2026-09-02 14:34:29,492 INFO [OUTPOST-v4] epoch 19 cur={'auroc_all': 0.9114069914682211, 'aupr_all': 0.8192903555287951, 'auroc_unknown': 0.9068931606733516, 'aupr_unknown': 0.795423805515305, 'val_auc': 0.9524822695035461} best={'auroc_all': 0.9114069914682211, 'aupr_all': 0.8192903555287951, 'auroc_unknown': 0.9068931606733516, 'aupr_unknown': 0.795423805515305}
2026-09-02 14:34:41,042 INFO [OUTPOST-v4] epoch 20 cur={'auroc_all': 0.9107878867047483, 'aupr_all': 0.8170725210990663, 'auroc_unknown': 0.9064069289992748, 'aupr_unknown': 0.7929169919698591, 'val_auc': 0.9354609929078014} best={'auroc_all': 0.9114069914682211, 'aupr_all': 0.8192903555287951, 'auroc_unknown': 0.9068931606733516, 'aupr_unknown': 0.795423805515305}
