2026-08-09 19:41:45,293 INFO cli={'dataset': 'yelp', 'method': 'outpost', 'seed': 1, 'train_seed': None, 'epochs': None, 'set': ['use_hybrid=true'], 'tag': 'C_hopmix', 'rotations': None}
2026-08-09 19:41:45,293 INFO config={'alpha_plus': 0.05, 'alpha_r': 0.1, 'atlas_gate_q': 0.9, 'batch_size': 512, 'hidden_dim': 32, 'lambda_halo': 0.2, 'lambda_mixup': 0.2, 'lambda_un': 1.0, 'lr': 0.001, 'margin': 0.1, 'n_layers': 2, 'optimiser': 'adam', 'sampling_sizes': [25, 10], 'tau_minus': 0.05, 'tau_mu': 0.05, 'tau_plus': 0.95, 'use_atlas_gate': True, 'use_conformal': True, 'use_pl': True, 'version': 4, 'weight_decay': 0.0005, 'K_p': 3, 'alpha_f': 0.2, 'drop_out': 0.2, 'input_dim': 32, 'lambda_f': 1.0, 'num_epochs': 400, 'use_atlas_loss': False, 'use_fview_gate': False, 'use_halo': False, 'use_mixup': False, 'warmup_epochs': 10, 'use_hybrid': True, 'sim_topk_frac': 1.0}
2026-08-09 19:42:00,141 INFO [OUTPOST-v4] epoch 0 cur={'auroc_all': 0.6064776383715214, 'aupr_all': 0.22035178302664232, 'auroc_unknown': 0.5, 'aupr_unknown': 0.0, 'val_auc': 0.6704081632653062} best={'auroc_all': 0.6064776383715214, 'aupr_all': 0.22035178302664232, 'auroc_unknown': 0.5, 'aupr_unknown': 0.0}
2026-08-09 19:42:01,729 INFO [OUTPOST-v4] epoch 1 cur={'auroc_all': 0.6059568509558766, 'aupr_all': 0.21921896929432313, 'auroc_unknown': 0.5, 'aupr_unknown': 0.0, 'val_auc': 0.6681122448979592} best={'auroc_all': 0.6064776383715214, 'aupr_all': 0.22035178302664232, 'auroc_unknown': 0.5, 'aupr_unknown': 0.0}
2026-08-09 19:42:03,315 INFO [OUTPOST-v4] epoch 2 cur={'auroc_all': 0.6081280332565608, 'aupr_all': 0.21865435448038856, 'auroc_unknown': 0.5, 'aupr_unknown': 0.0, 'val_auc': 0.6631802721088436} best={'auroc_all': 0.6081280332565608, 'aupr_all': 0.22035178302664232, 'auroc_unknown': 0.5, 'aupr_unknown': 0.0}
2026-08-09 19:42:04,925 INFO [OUTPOST-v4] epoch 3 cur={'auroc_all': 0.6148227178062537, 'aupr_all': 0.22610501529101573, 'auroc_unknown': 0.5, 'aupr_unknown': 0.0, 'val_auc': 0.6676020408163265} best={'auroc_all': 0.6148227178062537, 'aupr_all': 0.22610501529101573, 'auroc_unknown': 0.5, 'aupr_unknown': 0.0}
2026-08-09 19:42:06,484 INFO [OUTPOST-v4] epoch 4 cur={'auroc_all': 0.6141768844262202, 'aupr_all': 0.22319710816557992, 'auroc_unknown': 0.5, 'aupr_unknown': 0.0, 'val_auc': 0.6591836734693878} best={'auroc_all': 0.6148227178062537, 'aupr_all': 0.22610501529101573, 'auroc_unknown': 0.5, 'aupr_unknown': 0.0}
2026-08-09 19:42:07,949 INFO [OUTPOST-v4] epoch 5 cur={'auroc_all': 0.6118282081279516, 'aupr_all': 0.21758955568076505, 'auroc_unknown': 0.5, 'aupr_unknown': 0.0, 'val_auc': 0.6501700680272109} best={'auroc_all': 0.6148227178062537, 'aupr_all': 0.22610501529101573, 'auroc_unknown': 0.5, 'aupr_unknown': 0.0}
2026-08-09 19:42:09,389 INFO [OUTPOST-v4] epoch 6 cur={'auroc_all': 0.6099538385871811, 'aupr_all': 0.21248247041948037, 'auroc_unknown': 0.5, 'aupr_unknown': 0.0, 'val_auc': 0.6407312925170068} best={'auroc_all': 0.6148227178062537, 'aupr_all': 0.22610501529101573, 'auroc_unknown': 0.5, 'aupr_unknown': 0.0}
2026-08-09 19:42:10,907 INFO [OUTPOST-v4] epoch 7 cur={'auroc_all': 0.6106419034109303, 'aupr_all': 0.20885129835326272, 'auroc_unknown': 0.5, 'aupr_unknown': 0.0, 'val_auc': 0.6424319727891157} best={'auroc_all': 0.6148227178062537, 'aupr_all': 0.22610501529101573, 'auroc_unknown': 0.5, 'aupr_unknown': 0.0}
2026-08-09 19:42:12,335 INFO [OUTPOST-v4] epoch 8 cur={'auroc_all': 0.6085995174682413, 'aupr_all': 0.20537084629839222, 'auroc_unknown': 0.5, 'aupr_unknown': 0.0, 'val_auc': 0.6363095238095238} best={'auroc_all': 0.6148227178062537, 'aupr_all': 0.22610501529101573, 'auroc_unknown': 0.5, 'aupr_unknown': 0.0}
