2026-08-09 21:09:09,431 INFO cli={'dataset': 'yelp', 'method': 'outpost', 'seed': 3, 'train_seed': None, 'epochs': None, 'set': ['use_hybrid=true'], 'tag': 'C_hopmix', 'rotations': None}
2026-08-09 21:39:30,325 INFO [OUTPOST-v4] epoch 282 cur={'auroc_all': 0.705758470529793, 'aupr_all': 0.31763884253964825, 'auroc_unknown': 0.5, 'aupr_unknown': 0.0, 'val_auc': 0.7409013605442176} best={'auroc_all': 0.7193618009187286, 'aupr_all': 0.31815663461004073, 'auroc_unknown': 0.5, 'aupr_unknown': 0.0}
2026-08-09 21:39:36,920 INFO [OUTPOST-v4] epoch 283 cur={'auroc_all': 0.7066938108947838, 'aupr_all': 0.31896402131249924, 'auroc_unknown': 0.5, 'aupr_unknown': 0.0, 'val_auc': 0.7400510204081633} best={'auroc_all': 0.7193618009187286, 'aupr_all': 0.31896402131249924, 'auroc_unknown': 0.5, 'aupr_unknown': 0.0}
2026-08-09 21:39:43,426 INFO [OUTPOST-v4] epoch 284 cur={'auroc_all': 0.7074740590385606, 'aupr_all': 0.3202278294633481, 'auroc_unknown': 0.5, 'aupr_unknown': 0.0, 'val_auc': 0.7395408163265307} best={'auroc_all': 0.7193618009187286, 'aupr_all': 0.3202278294633481, 'auroc_unknown': 0.5, 'aupr_unknown': 0.0}
2026-08-09 21:39:49,882 INFO [OUTPOST-v4] epoch 285 cur={'auroc_all': 0.707975129688693, 'aupr_all': 0.32104143302006705, 'auroc_unknown': 0.5, 'aupr_unknown': 0.0, 'val_auc': 0.7397959183673469} best={'auroc_all': 0.7193618009187286, 'aupr_all': 0.32104143302006705, 'auroc_unknown': 0.5, 'aupr_unknown': 0.0}
2026-08-09 21:39:56,299 INFO [OUTPOST-v4] epoch 286 cur={'auroc_all': 0.7072527755519695, 'aupr_all': 0.3209570710053118, 'auroc_unknown': 0.5, 'aupr_unknown': 0.0, 'val_auc': 0.7400510204081633} best={'auroc_all': 0.7193618009187286, 'aupr_all': 0.32104143302006705, 'auroc_unknown': 0.5, 'aupr_unknown': 0.0}
2026-08-09 21:40:03,074 INFO [OUTPOST-v4] epoch 287 cur={'auroc_all': 0.7059104343438605, 'aupr_all': 0.3204279238977653, 'auroc_unknown': 0.5, 'aupr_unknown': 0.0, 'val_auc': 0.7399659863945578} best={'auroc_all': 0.7193618009187286, 'aupr_all': 0.32104143302006705, 'auroc_unknown': 0.5, 'aupr_unknown': 0.0}
2026-08-09 21:40:09,474 INFO [OUTPOST-v4] epoch 288 cur={'auroc_all': 0.7041361820428165, 'aupr_all': 0.31937858894262894, 'auroc_unknown': 0.5, 'aupr_unknown': 0.0, 'val_auc': 0.7398809523809524} best={'auroc_all': 0.7193618009187286, 'aupr_all': 0.32104143302006705, 'auroc_unknown': 0.5, 'aupr_unknown': 0.0}
2026-08-09 21:40:15,990 INFO [OUTPOST-v4] epoch 289 cur={'auroc_all': 0.7020939397933694, 'aupr_all': 0.3183809808399192, 'auroc_unknown': 0.5, 'aupr_unknown': 0.0, 'val_auc': 0.739030612244898} best={'auroc_all': 0.7193618009187286, 'aupr_all': 0.32104143302006705, 'auroc_unknown': 0.5, 'aupr_unknown': 0.0}
2026-08-09 21:40:22,582 INFO [OUTPOST-v4] epoch 290 cur={'auroc_all': 0.6994680751264724, 'aupr_all': 0.3167588105203296, 'auroc_unknown': 0.5, 'aupr_unknown': 0.0, 'val_auc': 0.7371598639455782} best={'auroc_all': 0.7193618009187286, 'aupr_all': 0.32104143302006705, 'auroc_unknown': 0.5, 'aupr_unknown': 0.0}
2026-08-09 21:40:28,870 INFO [OUTPOST-v4] epoch 291 cur={'auroc_all': 0.6979604292131907, 'aupr_all': 0.31591826240891574, 'auroc_unknown': 0.5, 'aupr_unknown': 0.0, 'val_auc': 0.7368197278911564} best={'auroc_all': 0.7193618009187286, 'aupr_all': 0.32104143302006705, 'auroc_unknown': 0.5, 'aupr_unknown': 0.0}
