2026-08-10 04:33:29,256 INFO cli={'dataset': 'yelp', 'method': 'outpost', 'seed': 8, 'train_seed': None, 'epochs': None, 'set': ['sim_topk_frac=0.0'], 'tag': 'C_nosim', 'rotations': None}
2026-08-10 04:33:29,256 INFO config={'alpha_plus': 0.05, 'alpha_r': 0.1, 'atlas_gate_q': 0.9, 'batch_size': 512, 'hidden_dim': 32, 'lambda_halo': 0.2, 'lambda_mixup': 0.2, 'lambda_un': 1.0, 'lr': 0.001, 'margin': 0.1, 'n_layers': 2, 'optimiser': 'adam', 'sampling_sizes': [25, 10], 'tau_minus': 0.05, 'tau_mu': 0.05, 'tau_plus': 0.95, 'use_atlas_gate': True, 'use_conformal': True, 'use_pl': True, 'version': 4, 'weight_decay': 0.0005, 'K_p': 3, 'alpha_f': 0.2, 'drop_out': 0.2, 'input_dim': 32, 'lambda_f': 1.0, 'num_epochs': 400, 'use_atlas_loss': False, 'use_fview_gate': False, 'use_halo': False, 'use_mixup': False, 'warmup_epochs': 10, 'use_hybrid': False, 'sim_topk_frac': 0.0}
2026-08-10 04:33:34,962 INFO [OUTPOST-v4] epoch 0 cur={'auroc_all': 0.5780463704166916, 'aupr_all': 0.20003655116824065, 'auroc_unknown': 0.5, 'aupr_unknown': 0.0, 'val_auc': 0.5761054421768708} best={'auroc_all': 0.5780463704166916, 'aupr_all': 0.20003655116824065, 'auroc_unknown': 0.5, 'aupr_unknown': 0.0}
2026-08-10 04:33:36,575 INFO [OUTPOST-v4] epoch 1 cur={'auroc_all': 0.5799969220086538, 'aupr_all': 0.20210070358506507, 'auroc_unknown': 0.5, 'aupr_unknown': 0.0, 'val_auc': 0.5459183673469388} best={'auroc_all': 0.5799969220086538, 'aupr_all': 0.20210070358506507, 'auroc_unknown': 0.5, 'aupr_unknown': 0.0}
2026-08-10 04:33:38,238 INFO [OUTPOST-v4] epoch 2 cur={'auroc_all': 0.5657256027945856, 'aupr_all': 0.19190907149588268, 'auroc_unknown': 0.5, 'aupr_unknown': 0.0, 'val_auc': 0.5214285714285715} best={'auroc_all': 0.5799969220086538, 'aupr_all': 0.20210070358506507, 'auroc_unknown': 0.5, 'aupr_unknown': 0.0}
2026-08-10 04:33:40,040 INFO [OUTPOST-v4] epoch 3 cur={'auroc_all': 0.5397811886119378, 'aupr_all': 0.17342866649467664, 'auroc_unknown': 0.5, 'aupr_unknown': 0.0, 'val_auc': 0.5164115646258504} best={'auroc_all': 0.5799969220086538, 'aupr_all': 0.20210070358506507, 'auroc_unknown': 0.5, 'aupr_unknown': 0.0}
2026-08-10 04:33:41,892 INFO [OUTPOST-v4] epoch 4 cur={'auroc_all': 0.4590996976308277, 'aupr_all': 0.13596824533789617, 'auroc_unknown': 0.5, 'aupr_unknown': 0.0, 'val_auc': 0.5136054421768708} best={'auroc_all': 0.5799969220086538, 'aupr_all': 0.20210070358506507, 'auroc_unknown': 0.5, 'aupr_unknown': 0.0}
2026-08-10 04:33:43,625 INFO [OUTPOST-v4] epoch 5 cur={'auroc_all': 0.4395216063603785, 'aupr_all': 0.12945065302930703, 'auroc_unknown': 0.5, 'aupr_unknown': 0.0, 'val_auc': 0.504124149659864} best={'auroc_all': 0.5799969220086538, 'aupr_all': 0.20210070358506507, 'auroc_unknown': 0.5, 'aupr_unknown': 0.0}
2026-08-10 04:33:45,383 INFO [OUTPOST-v4] epoch 6 cur={'auroc_all': 0.44881115068094546, 'aupr_all': 0.13309767438685915, 'auroc_unknown': 0.5, 'aupr_unknown': 0.0, 'val_auc': 0.48920068027210883} best={'auroc_all': 0.5799969220086538, 'aupr_all': 0.20210070358506507, 'auroc_unknown': 0.5, 'aupr_unknown': 0.0}
2026-08-10 04:33:47,138 INFO [OUTPOST-v4] epoch 7 cur={'auroc_all': 0.4626823930133817, 'aupr_all': 0.13803971599574594, 'auroc_unknown': 0.5, 'aupr_unknown': 0.0, 'val_auc': 0.5060374149659864} best={'auroc_all': 0.5799969220086538, 'aupr_all': 0.20210070358506507, 'auroc_unknown': 0.5, 'aupr_unknown': 0.0}
2026-08-10 04:33:48,862 INFO [OUTPOST-v4] epoch 8 cur={'auroc_all': 0.4994953944961235, 'aupr_all': 0.15190996429043846, 'auroc_unknown': 0.5, 'aupr_unknown': 0.0, 'val_auc': 0.5557397959183674} best={'auroc_all': 0.5799969220086538, 'aupr_all': 0.20210070358506507, 'auroc_unknown': 0.5, 'aupr_unknown': 0.0}
