2026-08-19 00:25:37,686 INFO cli={'dataset': 'cs', 'method': 'outpost', 'seed': 3, 'train_seed': None, 'epochs': None, 'set': ['sim_topk_frac=1.0'], 'tag': 'C_sim', 'rotations': [1]}
2026-08-19 00:28:27,369 INFO [OUTPOST-v4] epoch 10 cur={'auroc_all': 0.9006253510061832, 'aupr_all': 0.805201503678544, 'auroc_unknown': 0.8955757139935477, 'aupr_unknown': 0.7822407610962396, 'val_auc': 0.9397163120567376} best={'auroc_all': 0.9006253510061832, 'aupr_all': 0.805201503678544, 'auroc_unknown': 0.8955757139935477, 'aupr_unknown': 0.7822407610962396}
2026-08-19 00:28:47,226 INFO [OUTPOST-v4] epoch 11 cur={'auroc_all': 0.9076727686355823, 'aupr_all': 0.8195074843707673, 'auroc_unknown': 0.9023166291212236, 'aupr_unknown': 0.7953425168886508, 'val_auc': 0.9491725768321513} best={'auroc_all': 0.9076727686355823, 'aupr_all': 0.8195074843707673, 'auroc_unknown': 0.9023166291212236, 'aupr_unknown': 0.7953425168886508}
2026-08-19 00:29:07,244 INFO [OUTPOST-v4] epoch 12 cur={'auroc_all': 0.9097283988322561, 'aupr_all': 0.8187053413730425, 'auroc_unknown': 0.904067919782837, 'aupr_unknown': 0.7919315421451505, 'val_auc': 0.9548463356973995} best={'auroc_all': 0.9097283988322561, 'aupr_all': 0.8195074843707673, 'auroc_unknown': 0.904067919782837, 'aupr_unknown': 0.7953425168886508}
2026-08-19 00:29:26,986 INFO [OUTPOST-v4] epoch 13 cur={'auroc_all': 0.9089995754578776, 'aupr_all': 0.8095652765927647, 'auroc_unknown': 0.9031339542583333, 'aupr_unknown': 0.7797425927649351, 'val_auc': 0.9576832151300236} best={'auroc_all': 0.9097283988322561, 'aupr_all': 0.8195074843707673, 'auroc_unknown': 0.904067919782837, 'aupr_unknown': 0.7953425168886508}
2026-08-19 00:29:47,053 INFO [OUTPOST-v4] epoch 14 cur={'auroc_all': 0.9086863250060828, 'aupr_all': 0.8042132763749328, 'auroc_unknown': 0.9027686765954445, 'aupr_unknown': 0.7727664608541815, 'val_auc': 0.9579196217494089} best={'auroc_all': 0.9097283988322561, 'aupr_all': 0.8195074843707673, 'auroc_unknown': 0.904067919782837, 'aupr_unknown': 0.7953425168886508}
2026-08-19 00:30:07,131 INFO [OUTPOST-v4] epoch 15 cur={'auroc_all': 0.9095333026387385, 'aupr_all': 0.8082003019646214, 'auroc_unknown': 0.9036663873806713, 'aupr_unknown': 0.7776530042235741, 'val_auc': 0.9583924349881796} best={'auroc_all': 0.9097283988322561, 'aupr_all': 0.8195074843707673, 'auroc_unknown': 0.904067919782837, 'aupr_unknown': 0.7953425168886508}
2026-08-19 00:30:27,250 INFO [OUTPOST-v4] epoch 16 cur={'auroc_all': 0.9104969810593497, 'aupr_all': 0.8136602035546716, 'auroc_unknown': 0.9046867268780884, 'aupr_unknown': 0.7847339651127687, 'val_auc': 0.958628841607565} best={'auroc_all': 0.9104969810593497, 'aupr_all': 0.8195074843707673, 'auroc_unknown': 0.9046867268780884, 'aupr_unknown': 0.7953425168886508}
2026-08-19 00:30:47,129 INFO [OUTPOST-v4] epoch 17 cur={'auroc_all': 0.9117372328040894, 'aupr_all': 0.8182626861361528, 'auroc_unknown': 0.9060212910320776, 'aupr_unknown': 0.7903379531209717, 'val_auc': 0.9591016548463357} best={'auroc_all': 0.9117372328040894, 'aupr_all': 0.8195074843707673, 'auroc_unknown': 0.9060212910320776, 'aupr_unknown': 0.7953425168886508}
2026-08-19 00:31:07,690 INFO [OUTPOST-v4] epoch 18 cur={'auroc_all': 0.9131460871061083, 'aupr_all': 0.8224374369531118, 'auroc_unknown': 0.907539676457916, 'aupr_unknown': 0.795362787663872, 'val_auc': 0.9598108747044918} best={'auroc_all': 0.9131460871061083, 'aupr_all': 0.8224374369531118, 'auroc_unknown': 0.907539676457916, 'aupr_unknown': 0.795362787663872}
2026-08-19 00:31:27,831 INFO [OUTPOST-v4] epoch 19 cur={'auroc_all': 0.9144870238677305, 'aupr_all': 0.825647583133817, 'auroc_unknown': 0.9089682471615086, 'aupr_unknown': 0.7990751941676434, 'val_auc': 0.9602836879432624} best={'auroc_all': 0.9144870238677305, 'aupr_all': 0.825647583133817, 'auroc_unknown': 0.9089682471615086, 'aupr_unknown': 0.7990751941676434}
