2026-08-21 21:24:01,500 INFO cli={'dataset': 'yelp', 'method': 'outpost', 'seed': 0, 'train_seed': None, 'epochs': None, 'set': ['lr=0.003'], 'tag': 'T_lr0.003', 'rotations': None}
2026-08-21 21:24:01,500 INFO config={'alpha_plus': 0.05, 'alpha_r': 0.1, 'atlas_gate_q': 0.9, 'batch_size': 512, 'hidden_dim': 32, 'lambda_halo': 0.2, 'lambda_mixup': 0.2, 'lambda_un': 1.0, 'lr': 0.003, 'margin': 0.1, 'n_layers': 2, 'optimiser': 'adam', 'sampling_sizes': [25, 10], 'tau_minus': 0.05, 'tau_mu': 0.05, 'tau_plus': 0.95, 'use_atlas_gate': True, 'use_conformal': True, 'use_pl': True, 'version': 4, 'weight_decay': 0.0005, 'K_p': 3, 'alpha_f': 0.2, 'drop_out': 0.2, 'input_dim': 32, 'lambda_f': 1.0, 'num_epochs': 400, 'use_atlas_loss': False, 'use_fview_gate': False, 'use_halo': False, 'use_mixup': False, 'warmup_epochs': 10, 'use_hybrid': False, 'sim_topk_frac': 1.0}
2026-08-21 21:24:11,798 INFO [OUTPOST-v4] epoch 0 cur={'auroc_all': 0.5971175078251438, 'aupr_all': 0.18771474721602485, 'auroc_unknown': 0.5, 'aupr_unknown': 0.0, 'val_auc': 0.4998299319727891} best={'auroc_all': 0.5971175078251438, 'aupr_all': 0.18771474721602485, 'auroc_unknown': 0.5, 'aupr_unknown': 0.0}
2026-08-21 21:24:12,637 INFO [OUTPOST-v4] epoch 1 cur={'auroc_all': 0.5771257688727709, 'aupr_all': 0.17858472105165885, 'auroc_unknown': 0.5, 'aupr_unknown': 0.0, 'val_auc': 0.4979591836734694} best={'auroc_all': 0.5971175078251438, 'aupr_all': 0.18771474721602485, 'auroc_unknown': 0.5, 'aupr_unknown': 0.0}
2026-08-21 21:24:13,529 INFO [OUTPOST-v4] epoch 2 cur={'auroc_all': 0.5669785709119208, 'aupr_all': 0.17433582246695473, 'auroc_unknown': 0.5, 'aupr_unknown': 0.0, 'val_auc': 0.5235544217687075} best={'auroc_all': 0.5971175078251438, 'aupr_all': 0.18771474721602485, 'auroc_unknown': 0.5, 'aupr_unknown': 0.0}
2026-08-21 21:24:14,336 INFO [OUTPOST-v4] epoch 3 cur={'auroc_all': 0.5639307859379035, 'aupr_all': 0.17168673000961351, 'auroc_unknown': 0.5, 'aupr_unknown': 0.0, 'val_auc': 0.5422619047619048} best={'auroc_all': 0.5971175078251438, 'aupr_all': 0.18771474721602485, 'auroc_unknown': 0.5, 'aupr_unknown': 0.0}
2026-08-21 21:24:15,133 INFO [OUTPOST-v4] epoch 4 cur={'auroc_all': 0.5660105793369102, 'aupr_all': 0.1718170393436809, 'auroc_unknown': 0.5, 'aupr_unknown': 0.0, 'val_auc': 0.5522108843537414} best={'auroc_all': 0.5971175078251438, 'aupr_all': 0.18771474721602485, 'auroc_unknown': 0.5, 'aupr_unknown': 0.0}
2026-08-21 21:24:16,026 INFO [OUTPOST-v4] epoch 5 cur={'auroc_all': 0.5704516242455889, 'aupr_all': 0.17301463891946822, 'auroc_unknown': 0.5, 'aupr_unknown': 0.0, 'val_auc': 0.5582482993197279} best={'auroc_all': 0.5971175078251438, 'aupr_all': 0.18771474721602485, 'auroc_unknown': 0.5, 'aupr_unknown': 0.0}
2026-08-21 21:24:16,870 INFO [OUTPOST-v4] epoch 6 cur={'auroc_all': 0.5747504087395314, 'aupr_all': 0.17440621863357875, 'auroc_unknown': 0.5, 'aupr_unknown': 0.0, 'val_auc': 0.5625} best={'auroc_all': 0.5971175078251438, 'aupr_all': 0.18771474721602485, 'auroc_unknown': 0.5, 'aupr_unknown': 0.0}
2026-08-21 21:24:17,711 INFO [OUTPOST-v4] epoch 7 cur={'auroc_all': 0.5778682893295771, 'aupr_all': 0.17546205053396635, 'auroc_unknown': 0.5, 'aupr_unknown': 0.0, 'val_auc': 0.5662414965986394} best={'auroc_all': 0.5971175078251438, 'aupr_all': 0.18771474721602485, 'auroc_unknown': 0.5, 'aupr_unknown': 0.0}
2026-08-21 21:24:18,581 INFO [OUTPOST-v4] epoch 8 cur={'auroc_all': 0.5803455567097817, 'aupr_all': 0.176261636136789, 'auroc_unknown': 0.5, 'aupr_unknown': 0.0, 'val_auc': 0.566921768707483} best={'auroc_all': 0.5971175078251438, 'aupr_all': 0.18771474721602485, 'auroc_unknown': 0.5, 'aupr_unknown': 0.0}
2026-08-21 21:24:19,696 INFO [OUTPOST-v4] epoch 9 cur={'auroc_all': 0.58284627277426, 'aupr_all': 0.1770425588483016, 'auroc_unknown': 0.5, 'aupr_unknown': 0.0, 'val_auc': 0.5646258503401361} best={'auroc_all': 0.5971175078251438, 'aupr_all': 0.18771474721602485, 'auroc_unknown': 0.5, 'aupr_unknown': 0.0}
2026-08-21 21:24:24,431 INFO [OUTPOST-v4] epoch 10 cur={'auroc_all': 0.5855637829379088, 'aupr_all': 0.17792425474949788, 'auroc_unknown': 0.5, 'aupr_unknown': 0.0, 'val_auc': 0.5623299319727891} best={'auroc_all': 0.5971175078251438, 'aupr_all': 0.18771474721602485, 'auroc_unknown': 0.5, 'aupr_unknown': 0.0}
2026-08-21 21:24:28,977 INFO [OUTPOST-v4] epoch 11 cur={'auroc_all': 0.5876657974703536, 'aupr_all': 0.17861866320225345, 'auroc_unknown': 0.5, 'aupr_unknown': 0.0, 'val_auc': 0.5619897959183673} best={'auroc_all': 0.5971175078251438, 'aupr_all': 0.18771474721602485, 'auroc_unknown': 0.5, 'aupr_unknown': 0.0}
2026-08-21 21:24:33,686 INFO [OUTPOST-v4] epoch 12 cur={'auroc_all': 0.5912227060743165, 'aupr_all': 0.17991162801040003, 'auroc_unknown': 0.5, 'aupr_unknown': 0.0, 'val_auc': 0.5581632653061224} best={'auroc_all': 0.5971175078251438, 'aupr_all': 0.18771474721602485, 'auroc_unknown': 0.5, 'aupr_unknown': 0.0}
2026-08-21 21:24:38,437 INFO [OUTPOST-v4] epoch 13 cur={'auroc_all': 0.5949829488262303, 'aupr_all': 0.18121625620670148, 'auroc_unknown': 0.5, 'aupr_unknown': 0.0, 'val_auc': 0.5556972789115646} best={'auroc_all': 0.5971175078251438, 'aupr_all': 0.18771474721602485, 'auroc_unknown': 0.5, 'aupr_unknown': 0.0}
2026-08-21 21:24:43,248 INFO [OUTPOST-v4] epoch 14 cur={'auroc_all': 0.6002357373844909, 'aupr_all': 0.18309683458929402, 'auroc_unknown': 0.5, 'aupr_unknown': 0.0, 'val_auc': 0.5535714285714286} best={'auroc_all': 0.6002357373844909, 'aupr_all': 0.18771474721602485, 'auroc_unknown': 0.5, 'aupr_unknown': 0.0}
2026-08-21 21:24:47,913 INFO [OUTPOST-v4] epoch 15 cur={'auroc_all': 0.6072545281989653, 'aupr_all': 0.18576733360350606, 'auroc_unknown': 0.5, 'aupr_unknown': 0.0, 'val_auc': 0.5524659863945578} best={'auroc_all': 0.6072545281989653, 'aupr_all': 0.18771474721602485, 'auroc_unknown': 0.5, 'aupr_unknown': 0.0}
2026-08-21 21:24:52,650 INFO [OUTPOST-v4] epoch 16 cur={'auroc_all': 0.616219984729596, 'aupr_all': 0.18961114646568067, 'auroc_unknown': 0.5, 'aupr_unknown': 0.0, 'val_auc': 0.5533163265306122} best={'auroc_all': 0.616219984729596, 'aupr_all': 0.18961114646568067, 'auroc_unknown': 0.5, 'aupr_unknown': 0.0}
