2026-08-09 11:11:46,156 INFO cli={'dataset': 'yelp', 'method': 'outpost', 'seed': 42, 'train_seed': None, 'epochs': None, 'set': ['use_conformal=false'], 'tag': 'C_noconformal', 'rotations': None}
2026-08-09 11:11:46,157 INFO config={'alpha_plus': 0.05, 'alpha_r': 0.1, 'atlas_gate_q': 0.9, 'batch_size': 512, 'hidden_dim': 32, 'lambda_halo': 0.2, 'lambda_mixup': 0.2, 'lambda_un': 1.0, 'lr': 0.001, 'margin': 0.1, 'n_layers': 2, 'optimiser': 'adam', 'sampling_sizes': [25, 10], 'tau_minus': 0.05, 'tau_mu': 0.05, 'tau_plus': 0.95, 'use_atlas_gate': True, 'use_conformal': False, 'use_pl': True, 'version': 4, 'weight_decay': 0.0005, 'K_p': 3, 'alpha_f': 0.2, 'drop_out': 0.2, 'input_dim': 32, 'lambda_f': 1.0, 'num_epochs': 400, 'use_atlas_loss': False, 'use_fview_gate': False, 'use_halo': False, 'use_mixup': False, 'warmup_epochs': 10, 'use_hybrid': False, 'sim_topk_frac': 1.0}
2026-08-09 11:12:01,007 INFO [OUTPOST-v4] epoch 0 cur={'auroc_all': 0.4977105622669742, 'aupr_all': 0.1566824329507241, 'auroc_unknown': 0.5, 'aupr_unknown': 0.0, 'val_auc': 0.5648384353741497} best={'auroc_all': 0.4977105622669742, 'aupr_all': 0.1566824329507241, 'auroc_unknown': 0.5, 'aupr_unknown': 0.0}
2026-08-09 11:12:02,493 INFO [OUTPOST-v4] epoch 1 cur={'auroc_all': 0.49729173752283046, 'aupr_all': 0.15620901318609137, 'auroc_unknown': 0.5, 'aupr_unknown': 0.0, 'val_auc': 0.5286989795918368} best={'auroc_all': 0.4977105622669742, 'aupr_all': 0.1566824329507241, 'auroc_unknown': 0.5, 'aupr_unknown': 0.0}
2026-08-09 11:12:04,004 INFO [OUTPOST-v4] epoch 2 cur={'auroc_all': 0.4987466644385183, 'aupr_all': 0.1554778244786382, 'auroc_unknown': 0.5, 'aupr_unknown': 0.0, 'val_auc': 0.5090986394557824} best={'auroc_all': 0.4987466644385183, 'aupr_all': 0.1566824329507241, 'auroc_unknown': 0.5, 'aupr_unknown': 0.0}
2026-08-09 11:12:05,427 INFO [OUTPOST-v4] epoch 3 cur={'auroc_all': 0.5020880968156125, 'aupr_all': 0.1561992228908689, 'auroc_unknown': 0.5, 'aupr_unknown': 0.0, 'val_auc': 0.5015306122448979} best={'auroc_all': 0.5020880968156125, 'aupr_all': 0.1566824329507241, 'auroc_unknown': 0.5, 'aupr_unknown': 0.0}
2026-08-09 11:12:06,857 INFO [OUTPOST-v4] epoch 4 cur={'auroc_all': 0.5044621883428044, 'aupr_all': 0.15651687518671803, 'auroc_unknown': 0.5, 'aupr_unknown': 0.0, 'val_auc': 0.4929421768707483} best={'auroc_all': 0.5044621883428044, 'aupr_all': 0.1566824329507241, 'auroc_unknown': 0.5, 'aupr_unknown': 0.0}
2026-08-09 11:12:08,431 INFO [OUTPOST-v4] epoch 5 cur={'auroc_all': 0.5097788711273368, 'aupr_all': 0.15804618281965366, 'auroc_unknown': 0.5, 'aupr_unknown': 0.0, 'val_auc': 0.4844387755102041} best={'auroc_all': 0.5097788711273368, 'aupr_all': 0.15804618281965366, 'auroc_unknown': 0.5, 'aupr_unknown': 0.0}
2026-08-09 11:12:09,910 INFO [OUTPOST-v4] epoch 6 cur={'auroc_all': 0.5095148306903179, 'aupr_all': 0.15740103442977654, 'auroc_unknown': 0.5, 'aupr_unknown': 0.0, 'val_auc': 0.4770408163265306} best={'auroc_all': 0.5097788711273368, 'aupr_all': 0.15804618281965366, 'auroc_unknown': 0.5, 'aupr_unknown': 0.0}
2026-08-09 11:12:11,464 INFO [OUTPOST-v4] epoch 7 cur={'auroc_all': 0.5093062394224839, 'aupr_all': 0.15688289509962983, 'auroc_unknown': 0.5, 'aupr_unknown': 0.0, 'val_auc': 0.4737244897959183} best={'auroc_all': 0.5097788711273368, 'aupr_all': 0.15804618281965366, 'auroc_unknown': 0.5, 'aupr_unknown': 0.0}
2026-08-09 11:12:12,885 INFO [OUTPOST-v4] epoch 8 cur={'auroc_all': 0.509041398408833, 'aupr_all': 0.1563696429491481, 'auroc_unknown': 0.5, 'aupr_unknown': 0.0, 'val_auc': 0.4721938775510204} best={'auroc_all': 0.5097788711273368, 'aupr_all': 0.15804618281965366, 'auroc_unknown': 0.5, 'aupr_unknown': 0.0}
2026-08-09 11:12:14,518 INFO [OUTPOST-v4] epoch 9 cur={'auroc_all': 0.5089288886533962, 'aupr_all': 0.15596639969008885, 'auroc_unknown': 0.5, 'aupr_unknown': 0.0, 'val_auc': 0.4686224489795918} best={'auroc_all': 0.5097788711273368, 'aupr_all': 0.15804618281965366, 'auroc_unknown': 0.5, 'aupr_unknown': 0.0}
2026-08-09 11:12:21,254 INFO [OUTPOST-v4] epoch 10 cur={'auroc_all': 0.5087871455343298, 'aupr_all': 0.1557684037445276, 'auroc_unknown': 0.5, 'aupr_unknown': 0.0, 'val_auc': 0.4637755102040816} best={'auroc_all': 0.5097788711273368, 'aupr_all': 0.15804618281965366, 'auroc_unknown': 0.5, 'aupr_unknown': 0.0}
2026-08-09 11:12:27,370 INFO [OUTPOST-v4] epoch 11 cur={'auroc_all': 0.5093366284903283, 'aupr_all': 0.155863693984997, 'auroc_unknown': 0.5, 'aupr_unknown': 0.0, 'val_auc': 0.46122448979591835} best={'auroc_all': 0.5097788711273368, 'aupr_all': 0.15804618281965366, 'auroc_unknown': 0.5, 'aupr_unknown': 0.0}
2026-08-09 11:12:33,483 INFO [OUTPOST-v4] epoch 12 cur={'auroc_all': 0.509437716685816, 'aupr_all': 0.1556565512809068, 'auroc_unknown': 0.5, 'aupr_unknown': 0.0, 'val_auc': 0.4593537414965987} best={'auroc_all': 0.5097788711273368, 'aupr_all': 0.15804618281965366, 'auroc_unknown': 0.5, 'aupr_unknown': 0.0}
2026-08-09 11:12:39,543 INFO [OUTPOST-v4] epoch 13 cur={'auroc_all': 0.5095996138084016, 'aupr_all': 0.15548799558601273, 'auroc_unknown': 0.5, 'aupr_unknown': 0.0, 'val_auc': 0.45952380952380956} best={'auroc_all': 0.5097788711273368, 'aupr_all': 0.15804618281965366, 'auroc_unknown': 0.5, 'aupr_unknown': 0.0}
2026-08-09 11:12:45,911 INFO [OUTPOST-v4] epoch 14 cur={'auroc_all': 0.5097167217475705, 'aupr_all': 0.155318433066026, 'auroc_unknown': 0.5, 'aupr_unknown': 0.0, 'val_auc': 0.4590136054421769} best={'auroc_all': 0.5097788711273368, 'aupr_all': 0.15804618281965366, 'auroc_unknown': 0.5, 'aupr_unknown': 0.0}
2026-08-09 11:12:52,426 INFO [OUTPOST-v4] epoch 15 cur={'auroc_all': 0.5100007417034581, 'aupr_all': 0.15506297342230932, 'auroc_unknown': 0.5, 'aupr_unknown': 0.0, 'val_auc': 0.4610544217687075} best={'auroc_all': 0.5100007417034581, 'aupr_all': 0.15804618281965366, 'auroc_unknown': 0.5, 'aupr_unknown': 0.0}
2026-08-09 11:12:58,556 INFO [OUTPOST-v4] epoch 16 cur={'auroc_all': 0.5104734041997199, 'aupr_all': 0.15508864123308516, 'auroc_unknown': 0.5, 'aupr_unknown': 0.0, 'val_auc': 0.46224489795918366} best={'auroc_all': 0.5104734041997199, 'aupr_all': 0.15804618281965366, 'auroc_unknown': 0.5, 'aupr_unknown': 0.0}
2026-08-09 11:13:04,842 INFO [OUTPOST-v4] epoch 17 cur={'auroc_all': 0.5109179028206219, 'aupr_all': 0.15512623464950093, 'auroc_unknown': 0.5, 'aupr_unknown': 0.0, 'val_auc': 0.4639455782312925} best={'auroc_all': 0.5109179028206219, 'aupr_all': 0.15804618281965366, 'auroc_unknown': 0.5, 'aupr_unknown': 0.0}
2026-08-09 11:13:11,059 INFO [OUTPOST-v4] epoch 18 cur={'auroc_all': 0.5114036968264083, 'aupr_all': 0.155183974504799, 'auroc_unknown': 0.5, 'aupr_unknown': 0.0, 'val_auc': 0.4658163265306123} best={'auroc_all': 0.5114036968264083, 'aupr_all': 0.15804618281965366, 'auroc_unknown': 0.5, 'aupr_unknown': 0.0}
2026-08-09 11:13:17,547 INFO [OUTPOST-v4] epoch 19 cur={'auroc_all': 0.5119975276222954, 'aupr_all': 0.1552935568775236, 'auroc_unknown': 0.5, 'aupr_unknown': 0.0, 'val_auc': 0.4681122448979592} best={'auroc_all': 0.5119975276222954, 'aupr_all': 0.15804618281965366, 'auroc_unknown': 0.5, 'aupr_unknown': 0.0}
2026-08-09 11:13:24,272 INFO [OUTPOST-v4] epoch 20 cur={'auroc_all': 0.5127106094394127, 'aupr_all': 0.15548277548614506, 'auroc_unknown': 0.5, 'aupr_unknown': 0.0, 'val_auc': 0.46955782312925176} best={'auroc_all': 0.5127106094394127, 'aupr_all': 0.15804618281965366, 'auroc_unknown': 0.5, 'aupr_unknown': 0.0}
2026-08-09 11:13:30,560 INFO [OUTPOST-v4] epoch 21 cur={'auroc_all': 0.5135511204759692, 'aupr_all': 0.15571697896815975, 'auroc_unknown': 0.5, 'aupr_unknown': 0.0, 'val_auc': 0.4701530612244898} best={'auroc_all': 0.5135511204759692, 'aupr_all': 0.15804618281965366, 'auroc_unknown': 0.5, 'aupr_unknown': 0.0}
2026-08-09 11:13:36,769 INFO [OUTPOST-v4] epoch 22 cur={'auroc_all': 0.5144487413650318, 'aupr_all': 0.15599678774111764, 'auroc_unknown': 0.5, 'aupr_unknown': 0.0, 'val_auc': 0.4709183673469387} best={'auroc_all': 0.5144487413650318, 'aupr_all': 0.15804618281965366, 'auroc_unknown': 0.5, 'aupr_unknown': 0.0}
2026-08-09 11:13:42,825 INFO [OUTPOST-v4] epoch 23 cur={'auroc_all': 0.5153426672850239, 'aupr_all': 0.15629800285572418, 'auroc_unknown': 0.5, 'aupr_unknown': 0.0, 'val_auc': 0.47185374149659864} best={'auroc_all': 0.5153426672850239, 'aupr_all': 0.15804618281965366, 'auroc_unknown': 0.5, 'aupr_unknown': 0.0}
2026-08-09 11:13:49,098 INFO [OUTPOST-v4] epoch 24 cur={'auroc_all': 0.5161892360180954, 'aupr_all': 0.15660215549642353, 'auroc_unknown': 0.5, 'aupr_unknown': 0.0, 'val_auc': 0.47210884353741495} best={'auroc_all': 0.5161892360180954, 'aupr_all': 0.15804618281965366, 'auroc_unknown': 0.5, 'aupr_unknown': 0.0}
2026-08-09 11:13:55,278 INFO [OUTPOST-v4] epoch 25 cur={'auroc_all': 0.516948470051664, 'aupr_all': 0.15688058657235462, 'auroc_unknown': 0.5, 'aupr_unknown': 0.0, 'val_auc': 0.4728741496598639} best={'auroc_all': 0.516948470051664, 'aupr_all': 0.15804618281965366, 'auroc_unknown': 0.5, 'aupr_unknown': 0.0}
2026-08-09 11:14:01,504 INFO [OUTPOST-v4] epoch 26 cur={'auroc_all': 0.5176623113902011, 'aupr_all': 0.15719286564863186, 'auroc_unknown': 0.5, 'aupr_unknown': 0.0, 'val_auc': 0.47304421768707483} best={'auroc_all': 0.5176623113902011, 'aupr_all': 0.15804618281965366, 'auroc_unknown': 0.5, 'aupr_unknown': 0.0}
2026-08-09 11:14:07,953 INFO [OUTPOST-v4] epoch 27 cur={'auroc_all': 0.5183043594796981, 'aupr_all': 0.1574819512868417, 'auroc_unknown': 0.5, 'aupr_unknown': 0.0, 'val_auc': 0.47312925170068026} best={'auroc_all': 0.5183043594796981, 'aupr_all': 0.15804618281965366, 'auroc_unknown': 0.5, 'aupr_unknown': 0.0}
