2026-08-09 06:48:59,873 INFO cli={'dataset': 'yelp', 'method': 'outpost', 'seed': 42, 'train_seed': None, 'epochs': None, 'set': ['use_atlas_gate=false'], 'tag': 'C_nogate', 'rotations': None}
2026-08-09 06:48:59,873 INFO config={'alpha_plus': 0.05, 'alpha_r': 0.1, 'atlas_gate_q': 0.9, 'batch_size': 512, 'hidden_dim': 32, 'lambda_halo': 0.2, 'lambda_mixup': 0.2, 'lambda_un': 1.0, 'lr': 0.001, 'margin': 0.1, 'n_layers': 2, 'optimiser': 'adam', 'sampling_sizes': [25, 10], 'tau_minus': 0.05, 'tau_mu': 0.05, 'tau_plus': 0.95, 'use_atlas_gate': False, 'use_conformal': True, 'use_pl': True, 'version': 4, 'weight_decay': 0.0005, 'K_p': 3, 'alpha_f': 0.2, 'drop_out': 0.2, 'input_dim': 32, 'lambda_f': 1.0, 'num_epochs': 400, 'use_atlas_loss': False, 'use_fview_gate': False, 'use_halo': False, 'use_mixup': False, 'warmup_epochs': 10, 'use_hybrid': False, 'sim_topk_frac': 1.0}
2026-08-09 06:49:14,987 INFO [OUTPOST-v4] epoch 0 cur={'auroc_all': 0.4977105622669742, 'aupr_all': 0.1566824329507241, 'auroc_unknown': 0.5, 'aupr_unknown': 0.0, 'val_auc': 0.5648384353741497} best={'auroc_all': 0.4977105622669742, 'aupr_all': 0.1566824329507241, 'auroc_unknown': 0.5, 'aupr_unknown': 0.0}
2026-08-09 06:49:16,411 INFO [OUTPOST-v4] epoch 1 cur={'auroc_all': 0.49729173752283046, 'aupr_all': 0.15620901318609137, 'auroc_unknown': 0.5, 'aupr_unknown': 0.0, 'val_auc': 0.5286989795918368} best={'auroc_all': 0.4977105622669742, 'aupr_all': 0.1566824329507241, 'auroc_unknown': 0.5, 'aupr_unknown': 0.0}
2026-08-09 06:49:17,885 INFO [OUTPOST-v4] epoch 2 cur={'auroc_all': 0.4987466644385183, 'aupr_all': 0.1554778244786382, 'auroc_unknown': 0.5, 'aupr_unknown': 0.0, 'val_auc': 0.5090986394557824} best={'auroc_all': 0.4987466644385183, 'aupr_all': 0.1566824329507241, 'auroc_unknown': 0.5, 'aupr_unknown': 0.0}
2026-08-09 06:49:19,279 INFO [OUTPOST-v4] epoch 3 cur={'auroc_all': 0.5020880968156125, 'aupr_all': 0.1561992228908689, 'auroc_unknown': 0.5, 'aupr_unknown': 0.0, 'val_auc': 0.5015306122448979} best={'auroc_all': 0.5020880968156125, 'aupr_all': 0.1566824329507241, 'auroc_unknown': 0.5, 'aupr_unknown': 0.0}
2026-08-09 06:49:20,808 INFO [OUTPOST-v4] epoch 4 cur={'auroc_all': 0.5044621883428044, 'aupr_all': 0.15651687518671803, 'auroc_unknown': 0.5, 'aupr_unknown': 0.0, 'val_auc': 0.4929421768707483} best={'auroc_all': 0.5044621883428044, 'aupr_all': 0.1566824329507241, 'auroc_unknown': 0.5, 'aupr_unknown': 0.0}
2026-08-09 06:49:22,439 INFO [OUTPOST-v4] epoch 5 cur={'auroc_all': 0.5097788711273368, 'aupr_all': 0.15804618281965366, 'auroc_unknown': 0.5, 'aupr_unknown': 0.0, 'val_auc': 0.4844387755102041} best={'auroc_all': 0.5097788711273368, 'aupr_all': 0.15804618281965366, 'auroc_unknown': 0.5, 'aupr_unknown': 0.0}
2026-08-09 06:49:23,891 INFO [OUTPOST-v4] epoch 6 cur={'auroc_all': 0.5095148306903179, 'aupr_all': 0.15740103442977654, 'auroc_unknown': 0.5, 'aupr_unknown': 0.0, 'val_auc': 0.4770408163265306} best={'auroc_all': 0.5097788711273368, 'aupr_all': 0.15804618281965366, 'auroc_unknown': 0.5, 'aupr_unknown': 0.0}
2026-08-09 06:49:25,495 INFO [OUTPOST-v4] epoch 7 cur={'auroc_all': 0.5093062394224839, 'aupr_all': 0.15688289509962983, 'auroc_unknown': 0.5, 'aupr_unknown': 0.0, 'val_auc': 0.4737244897959183} best={'auroc_all': 0.5097788711273368, 'aupr_all': 0.15804618281965366, 'auroc_unknown': 0.5, 'aupr_unknown': 0.0}
2026-08-09 06:49:27,063 INFO [OUTPOST-v4] epoch 8 cur={'auroc_all': 0.509041398408833, 'aupr_all': 0.1563696429491481, 'auroc_unknown': 0.5, 'aupr_unknown': 0.0, 'val_auc': 0.4721938775510204} best={'auroc_all': 0.5097788711273368, 'aupr_all': 0.15804618281965366, 'auroc_unknown': 0.5, 'aupr_unknown': 0.0}
2026-08-09 06:49:28,529 INFO [OUTPOST-v4] epoch 9 cur={'auroc_all': 0.5089288886533962, 'aupr_all': 0.15596639969008885, 'auroc_unknown': 0.5, 'aupr_unknown': 0.0, 'val_auc': 0.4686224489795918} best={'auroc_all': 0.5097788711273368, 'aupr_all': 0.15804618281965366, 'auroc_unknown': 0.5, 'aupr_unknown': 0.0}
2026-08-09 06:49:35,288 INFO [OUTPOST-v4] epoch 10 cur={'auroc_all': 0.5087871455343298, 'aupr_all': 0.1557684037445276, 'auroc_unknown': 0.5, 'aupr_unknown': 0.0, 'val_auc': 0.4637755102040816} best={'auroc_all': 0.5097788711273368, 'aupr_all': 0.15804618281965366, 'auroc_unknown': 0.5, 'aupr_unknown': 0.0}
2026-08-09 06:49:41,607 INFO [OUTPOST-v4] epoch 11 cur={'auroc_all': 0.5093366284903283, 'aupr_all': 0.155863693984997, 'auroc_unknown': 0.5, 'aupr_unknown': 0.0, 'val_auc': 0.46122448979591835} best={'auroc_all': 0.5097788711273368, 'aupr_all': 0.15804618281965366, 'auroc_unknown': 0.5, 'aupr_unknown': 0.0}
2026-08-09 06:49:47,631 INFO [OUTPOST-v4] epoch 12 cur={'auroc_all': 0.509437716685816, 'aupr_all': 0.1556565512809068, 'auroc_unknown': 0.5, 'aupr_unknown': 0.0, 'val_auc': 0.4593537414965987} best={'auroc_all': 0.5097788711273368, 'aupr_all': 0.15804618281965366, 'auroc_unknown': 0.5, 'aupr_unknown': 0.0}
2026-08-09 06:49:53,768 INFO [OUTPOST-v4] epoch 13 cur={'auroc_all': 0.5095996138084016, 'aupr_all': 0.15548799558601273, 'auroc_unknown': 0.5, 'aupr_unknown': 0.0, 'val_auc': 0.45952380952380956} best={'auroc_all': 0.5097788711273368, 'aupr_all': 0.15804618281965366, 'auroc_unknown': 0.5, 'aupr_unknown': 0.0}
2026-08-09 06:50:00,250 INFO [OUTPOST-v4] epoch 14 cur={'auroc_all': 0.5097167217475705, 'aupr_all': 0.155318433066026, 'auroc_unknown': 0.5, 'aupr_unknown': 0.0, 'val_auc': 0.4590136054421769} best={'auroc_all': 0.5097788711273368, 'aupr_all': 0.15804618281965366, 'auroc_unknown': 0.5, 'aupr_unknown': 0.0}
2026-08-09 06:50:06,470 INFO [OUTPOST-v4] epoch 15 cur={'auroc_all': 0.5100031865413264, 'aupr_all': 0.15506239359039284, 'auroc_unknown': 0.5, 'aupr_unknown': 0.0, 'val_auc': 0.4610544217687075} best={'auroc_all': 0.5100031865413264, 'aupr_all': 0.15804618281965366, 'auroc_unknown': 0.5, 'aupr_unknown': 0.0}
2026-08-09 06:50:12,770 INFO [OUTPOST-v4] epoch 16 cur={'auroc_all': 0.5104805416483078, 'aupr_all': 0.15509268768416795, 'auroc_unknown': 0.5, 'aupr_unknown': 0.0, 'val_auc': 0.46241496598639453} best={'auroc_all': 0.5104805416483078, 'aupr_all': 0.15804618281965366, 'auroc_unknown': 0.5, 'aupr_unknown': 0.0}
