2026-09-03 08:34:00,702 INFO cli={'dataset': 'amazon', 'method': 'outpost', 'seed': 2, 'train_seed': None, 'epochs': None, 'set': ['sim_topk_frac=1.0'], 'tag': '_probe', 'rotations': None}
2026-09-03 08:34:00,702 INFO config={'alpha_plus': 0.05, 'alpha_r': 0.1, 'atlas_gate_q': 0.9, 'batch_size': 512, 'hidden_dim': 32, 'lambda_halo': 0.2, 'lambda_mixup': 0.2, 'lambda_un': 1.0, 'lr': 0.001, 'margin': 0.1, 'n_layers': 2, 'optimiser': 'adam', 'sampling_sizes': [25, 10], 'tau_minus': 0.05, 'tau_mu': 0.05, 'tau_plus': 0.95, 'use_atlas_gate': True, 'use_conformal': True, 'use_pl': True, 'version': 4, 'weight_decay': 0.0005, 'K_p': 3, 'alpha_f': 0.2, 'drop_out': 0.2, 'input_dim': 25, 'lambda_f': 1.0, 'num_epochs': 400, 'use_atlas_loss': False, 'use_fview_gate': False, 'use_halo': False, 'use_mixup': False, 'warmup_epochs': 10, 'use_hybrid': False, 'sim_topk_frac': 1.0}
2026-09-03 08:34:09,183 INFO [OUTPOST-v4] epoch 0 cur={'auroc_all': 0.4066533675723061, 'aupr_all': 0.051355035398125935, 'auroc_unknown': 0.5, 'aupr_unknown': 0.0, 'val_auc': 0.3774774774774775} best={'auroc_all': 0.4066533675723061, 'aupr_all': 0.051355035398125935, 'auroc_unknown': 0.5, 'aupr_unknown': 0.0}
2026-09-03 08:34:09,377 INFO [OUTPOST-v4] epoch 1 cur={'auroc_all': 0.4527181314772424, 'aupr_all': 0.056128215718377214, 'auroc_unknown': 0.5, 'aupr_unknown': 0.0, 'val_auc': 0.4198198198198198} best={'auroc_all': 0.4527181314772424, 'aupr_all': 0.056128215718377214, 'auroc_unknown': 0.5, 'aupr_unknown': 0.0}
2026-09-03 08:34:09,560 INFO [OUTPOST-v4] epoch 2 cur={'auroc_all': 0.48693645345781617, 'aupr_all': 0.05811844863268615, 'auroc_unknown': 0.5, 'aupr_unknown': 0.0, 'val_auc': 0.4498498498498498} best={'auroc_all': 0.48693645345781617, 'aupr_all': 0.05811844863268615, 'auroc_unknown': 0.5, 'aupr_unknown': 0.0}
2026-09-03 08:34:09,745 INFO [OUTPOST-v4] epoch 3 cur={'auroc_all': 0.5122152517276948, 'aupr_all': 0.06130142212701095, 'auroc_unknown': 0.5, 'aupr_unknown': 0.0, 'val_auc': 0.4732732732732733} best={'auroc_all': 0.5122152517276948, 'aupr_all': 0.06130142212701095, 'auroc_unknown': 0.5, 'aupr_unknown': 0.0}
2026-09-03 08:34:09,955 INFO [OUTPOST-v4] epoch 4 cur={'auroc_all': 0.5317501035119728, 'aupr_all': 0.06431880311197082, 'auroc_unknown': 0.5, 'aupr_unknown': 0.0, 'val_auc': 0.4891891891891892} best={'auroc_all': 0.5317501035119728, 'aupr_all': 0.06431880311197082, 'auroc_unknown': 0.5, 'aupr_unknown': 0.0}
2026-09-03 08:34:10,149 INFO [OUTPOST-v4] epoch 5 cur={'auroc_all': 0.5495519041556571, 'aupr_all': 0.06758805485892139, 'auroc_unknown': 0.5, 'aupr_unknown': 0.0, 'val_auc': 0.5072072072072072} best={'auroc_all': 0.5495519041556571, 'aupr_all': 0.06758805485892139, 'auroc_unknown': 0.5, 'aupr_unknown': 0.0}
2026-09-03 08:34:10,327 INFO [OUTPOST-v4] epoch 6 cur={'auroc_all': 0.5667994252891365, 'aupr_all': 0.07135576767949423, 'auroc_unknown': 0.5, 'aupr_unknown': 0.0, 'val_auc': 0.524024024024024} best={'auroc_all': 0.5667994252891365, 'aupr_all': 0.07135576767949423, 'auroc_unknown': 0.5, 'aupr_unknown': 0.0}
2026-09-03 08:34:10,506 INFO [OUTPOST-v4] epoch 7 cur={'auroc_all': 0.5837850688754728, 'aupr_all': 0.07580354719825128, 'auroc_unknown': 0.5, 'aupr_unknown': 0.0, 'val_auc': 0.5372372372372373} best={'auroc_all': 0.5837850688754728, 'aupr_all': 0.07580354719825128, 'auroc_unknown': 0.5, 'aupr_unknown': 0.0}
2026-09-03 08:34:10,685 INFO [OUTPOST-v4] epoch 8 cur={'auroc_all': 0.6002451504253542, 'aupr_all': 0.08100822966971223, 'auroc_unknown': 0.5, 'aupr_unknown': 0.0, 'val_auc': 0.5525525525525525} best={'auroc_all': 0.6002451504253542, 'aupr_all': 0.08100822966971223, 'auroc_unknown': 0.5, 'aupr_unknown': 0.0}
