2026-08-21 20:21:14,112 INFO cli={'dataset': 'yelp', 'method': 'outpost', 'seed': 42, 'train_seed': None, 'epochs': None, 'set': ['drop_out=0.4'], 'tag': 'T_drop0.4', 'rotations': None}
2026-08-21 20:21:14,112 INFO config={'alpha_plus': 0.05, 'alpha_r': 0.1, 'atlas_gate_q': 0.9, 'batch_size': 512, 'hidden_dim': 32, 'lambda_halo': 0.2, 'lambda_mixup': 0.2, 'lambda_un': 1.0, 'lr': 0.001, 'margin': 0.1, 'n_layers': 2, 'optimiser': 'adam', 'sampling_sizes': [25, 10], 'tau_minus': 0.05, 'tau_mu': 0.05, 'tau_plus': 0.95, 'use_atlas_gate': True, 'use_conformal': True, 'use_pl': True, 'version': 4, 'weight_decay': 0.0005, 'K_p': 3, 'alpha_f': 0.2, 'drop_out': 0.4, 'input_dim': 32, 'lambda_f': 1.0, 'num_epochs': 400, 'use_atlas_loss': False, 'use_fview_gate': False, 'use_halo': False, 'use_mixup': False, 'warmup_epochs': 10, 'use_hybrid': False, 'sim_topk_frac': 1.0}
2026-08-21 20:21:24,433 INFO [OUTPOST-v4] epoch 0 cur={'auroc_all': 0.49770158349213284, 'aupr_all': 0.15670438106639126, 'auroc_unknown': 0.5, 'aupr_unknown': 0.0, 'val_auc': 0.564795918367347} best={'auroc_all': 0.49770158349213284, 'aupr_all': 0.15670438106639126, 'auroc_unknown': 0.5, 'aupr_unknown': 0.0}
2026-08-21 20:21:25,289 INFO [OUTPOST-v4] epoch 1 cur={'auroc_all': 0.49721159364369083, 'aupr_all': 0.1561353650686378, 'auroc_unknown': 0.5, 'aupr_unknown': 0.0, 'val_auc': 0.5289965986394558} best={'auroc_all': 0.49770158349213284, 'aupr_all': 0.15670438106639126, 'auroc_unknown': 0.5, 'aupr_unknown': 0.0}
2026-08-21 20:21:26,157 INFO [OUTPOST-v4] epoch 2 cur={'auroc_all': 0.4986135778108798, 'aupr_all': 0.15543683765971933, 'auroc_unknown': 0.5, 'aupr_unknown': 0.0, 'val_auc': 0.5085884353741497} best={'auroc_all': 0.4986135778108798, 'aupr_all': 0.15670438106639126, 'auroc_unknown': 0.5, 'aupr_unknown': 0.0}
2026-08-21 20:21:26,992 INFO [OUTPOST-v4] epoch 3 cur={'auroc_all': 0.5020783913635205, 'aupr_all': 0.15617128844156394, 'auroc_unknown': 0.5, 'aupr_unknown': 0.0, 'val_auc': 0.5010204081632653} best={'auroc_all': 0.5020783913635205, 'aupr_all': 0.15670438106639126, 'auroc_unknown': 0.5, 'aupr_unknown': 0.0}
2026-08-21 20:21:27,766 INFO [OUTPOST-v4] epoch 4 cur={'auroc_all': 0.5044050169074805, 'aupr_all': 0.15647578748992735, 'auroc_unknown': 0.5, 'aupr_unknown': 0.0, 'val_auc': 0.4926020408163265} best={'auroc_all': 0.5044050169074805, 'aupr_all': 0.15670438106639126, 'auroc_unknown': 0.5, 'aupr_unknown': 0.0}
2026-08-21 20:21:28,576 INFO [OUTPOST-v4] epoch 5 cur={'auroc_all': 0.5096565368596936, 'aupr_all': 0.15797764415639287, 'auroc_unknown': 0.5, 'aupr_unknown': 0.0, 'val_auc': 0.48469387755102045} best={'auroc_all': 0.5096565368596936, 'aupr_all': 0.15797764415639287, 'auroc_unknown': 0.5, 'aupr_unknown': 0.0}
2026-08-21 20:21:29,344 INFO [OUTPOST-v4] epoch 6 cur={'auroc_all': 0.5093926606435222, 'aupr_all': 0.15731237488026367, 'auroc_unknown': 0.5, 'aupr_unknown': 0.0, 'val_auc': 0.47721088435374154} best={'auroc_all': 0.5096565368596936, 'aupr_all': 0.15797764415639287, 'auroc_unknown': 0.5, 'aupr_unknown': 0.0}
2026-08-21 20:21:30,154 INFO [OUTPOST-v4] epoch 7 cur={'auroc_all': 0.5091677170847906, 'aupr_all': 0.15678024738579266, 'auroc_unknown': 0.5, 'aupr_unknown': 0.0, 'val_auc': 0.473469387755102} best={'auroc_all': 0.5096565368596936, 'aupr_all': 0.15797764415639287, 'auroc_unknown': 0.5, 'aupr_unknown': 0.0}
2026-08-21 20:21:31,083 INFO [OUTPOST-v4] epoch 8 cur={'auroc_all': 0.5088961122249801, 'aupr_all': 0.15624322184082123, 'auroc_unknown': 0.5, 'aupr_unknown': 0.0, 'val_auc': 0.4721938775510204} best={'auroc_all': 0.5096565368596936, 'aupr_all': 0.15797764415639287, 'auroc_unknown': 0.5, 'aupr_unknown': 0.0}
