2026-08-09 20:25:32,360 INFO cli={'dataset': 'yelp', 'method': 'outpost', 'seed': 2, 'train_seed': None, 'epochs': None, 'set': ['use_hybrid=true'], 'tag': 'C_hopmix', 'rotations': None}
2026-08-09 20:25:32,360 INFO config={'alpha_plus': 0.05, 'alpha_r': 0.1, 'atlas_gate_q': 0.9, 'batch_size': 512, 'hidden_dim': 32, 'lambda_halo': 0.2, 'lambda_mixup': 0.2, 'lambda_un': 1.0, 'lr': 0.001, 'margin': 0.1, 'n_layers': 2, 'optimiser': 'adam', 'sampling_sizes': [25, 10], 'tau_minus': 0.05, 'tau_mu': 0.05, 'tau_plus': 0.95, 'use_atlas_gate': True, 'use_conformal': True, 'use_pl': True, 'version': 4, 'weight_decay': 0.0005, 'K_p': 3, 'alpha_f': 0.2, 'drop_out': 0.2, 'input_dim': 32, 'lambda_f': 1.0, 'num_epochs': 400, 'use_atlas_loss': False, 'use_fview_gate': False, 'use_halo': False, 'use_mixup': False, 'warmup_epochs': 10, 'use_hybrid': True, 'sim_topk_frac': 1.0}
2026-08-09 20:25:47,525 INFO [OUTPOST-v4] epoch 0 cur={'auroc_all': 0.5670362945398448, 'aupr_all': 0.1902599974886166, 'auroc_unknown': 0.5, 'aupr_unknown': 0.0, 'val_auc': 0.5698979591836735} best={'auroc_all': 0.5670362945398448, 'aupr_all': 0.1902599974886166, 'auroc_unknown': 0.5, 'aupr_unknown': 0.0}
2026-08-09 20:25:49,120 INFO [OUTPOST-v4] epoch 1 cur={'auroc_all': 0.5697488945001511, 'aupr_all': 0.19324729374165517, 'auroc_unknown': 0.5, 'aupr_unknown': 0.0, 'val_auc': 0.5715136054421769} best={'auroc_all': 0.5697488945001511, 'aupr_all': 0.19324729374165517, 'auroc_unknown': 0.5, 'aupr_unknown': 0.0}
2026-08-09 20:25:50,544 INFO [OUTPOST-v4] epoch 2 cur={'auroc_all': 0.5695234131181437, 'aupr_all': 0.19477628216443116, 'auroc_unknown': 0.5, 'aupr_unknown': 0.0, 'val_auc': 0.5670918367346939} best={'auroc_all': 0.5697488945001511, 'aupr_all': 0.19477628216443116, 'auroc_unknown': 0.5, 'aupr_unknown': 0.0}
2026-08-09 20:25:51,990 INFO [OUTPOST-v4] epoch 3 cur={'auroc_all': 0.5685749740877977, 'aupr_all': 0.1955621864460524, 'auroc_unknown': 0.5, 'aupr_unknown': 0.0, 'val_auc': 0.5625850340136055} best={'auroc_all': 0.5697488945001511, 'aupr_all': 0.1955621864460524, 'auroc_unknown': 0.5, 'aupr_unknown': 0.0}
2026-08-09 20:25:53,506 INFO [OUTPOST-v4] epoch 4 cur={'auroc_all': 0.5673778841666117, 'aupr_all': 0.19561933219906869, 'auroc_unknown': 0.5, 'aupr_unknown': 0.0, 'val_auc': 0.5598639455782313} best={'auroc_all': 0.5697488945001511, 'aupr_all': 0.19561933219906869, 'auroc_unknown': 0.5, 'aupr_unknown': 0.0}
2026-08-09 20:25:55,074 INFO [OUTPOST-v4] epoch 5 cur={'auroc_all': 0.5662591953308203, 'aupr_all': 0.1957705901685745, 'auroc_unknown': 0.5, 'aupr_unknown': 0.0, 'val_auc': 0.5571428571428572} best={'auroc_all': 0.5697488945001511, 'aupr_all': 0.1957705901685745, 'auroc_unknown': 0.5, 'aupr_unknown': 0.0}
2026-08-09 20:25:56,502 INFO [OUTPOST-v4] epoch 6 cur={'auroc_all': 0.5648931467906029, 'aupr_all': 0.1957484204412005, 'auroc_unknown': 0.5, 'aupr_unknown': 0.0, 'val_auc': 0.5541666666666666} best={'auroc_all': 0.5697488945001511, 'aupr_all': 0.1957705901685745, 'auroc_unknown': 0.5, 'aupr_unknown': 0.0}
2026-08-09 20:25:58,088 INFO [OUTPOST-v4] epoch 7 cur={'auroc_all': 0.5636091840410475, 'aupr_all': 0.19569821384344965, 'auroc_unknown': 0.5, 'aupr_unknown': 0.0, 'val_auc': 0.5498299319727891} best={'auroc_all': 0.5697488945001511, 'aupr_all': 0.1957705901685745, 'auroc_unknown': 0.5, 'aupr_unknown': 0.0}
2026-08-09 20:25:59,526 INFO [OUTPOST-v4] epoch 8 cur={'auroc_all': 0.5623148589560102, 'aupr_all': 0.19558426509583782, 'auroc_unknown': 0.5, 'aupr_unknown': 0.0, 'val_auc': 0.547108843537415} best={'auroc_all': 0.5697488945001511, 'aupr_all': 0.1957705901685745, 'auroc_unknown': 0.5, 'aupr_unknown': 0.0}
2026-08-09 20:26:01,088 INFO [OUTPOST-v4] epoch 9 cur={'auroc_all': 0.5610276610557576, 'aupr_all': 0.19549696453030463, 'auroc_unknown': 0.5, 'aupr_unknown': 0.0, 'val_auc': 0.5414115646258504} best={'auroc_all': 0.5697488945001511, 'aupr_all': 0.1957705901685745, 'auroc_unknown': 0.5, 'aupr_unknown': 0.0}
2026-08-09 20:26:08,009 INFO [OUTPOST-v4] epoch 10 cur={'auroc_all': 0.5598794309422475, 'aupr_all': 0.19520447610206193, 'auroc_unknown': 0.5, 'aupr_unknown': 0.0, 'val_auc': 0.5374149659863946} best={'auroc_all': 0.5697488945001511, 'aupr_all': 0.1957705901685745, 'auroc_unknown': 0.5, 'aupr_unknown': 0.0}
2026-08-09 20:26:14,634 INFO [OUTPOST-v4] epoch 11 cur={'auroc_all': 0.5587604855113817, 'aupr_all': 0.19483153132114167, 'auroc_unknown': 0.5, 'aupr_unknown': 0.0, 'val_auc': 0.5351190476190476} best={'auroc_all': 0.5697488945001511, 'aupr_all': 0.1957705901685745, 'auroc_unknown': 0.5, 'aupr_unknown': 0.0}
2026-08-09 20:26:21,210 INFO [OUTPOST-v4] epoch 12 cur={'auroc_all': 0.5577577797019535, 'aupr_all': 0.1944669959157589, 'auroc_unknown': 0.5, 'aupr_unknown': 0.0, 'val_auc': 0.534608843537415} best={'auroc_all': 0.5697488945001511, 'aupr_all': 0.1957705901685745, 'auroc_unknown': 0.5, 'aupr_unknown': 0.0}
2026-08-09 20:26:28,087 INFO [OUTPOST-v4] epoch 13 cur={'auroc_all': 0.5568817990150805, 'aupr_all': 0.1941126134945634, 'auroc_unknown': 0.5, 'aupr_unknown': 0.0, 'val_auc': 0.5329931972789115} best={'auroc_all': 0.5697488945001511, 'aupr_all': 0.1957705901685745, 'auroc_unknown': 0.5, 'aupr_unknown': 0.0}
2026-08-09 20:26:34,682 INFO [OUTPOST-v4] epoch 14 cur={'auroc_all': 0.5561346249500061, 'aupr_all': 0.19379011683328554, 'auroc_unknown': 0.5, 'aupr_unknown': 0.0, 'val_auc': 0.5327380952380952} best={'auroc_all': 0.5697488945001511, 'aupr_all': 0.1957705901685745, 'auroc_unknown': 0.5, 'aupr_unknown': 0.0}
2026-08-09 20:26:41,587 INFO [OUTPOST-v4] epoch 15 cur={'auroc_all': 0.5555310496995756, 'aupr_all': 0.19351644847197322, 'auroc_unknown': 0.5, 'aupr_unknown': 0.0, 'val_auc': 0.5314625850340136} best={'auroc_all': 0.5697488945001511, 'aupr_all': 0.1957705901685745, 'auroc_unknown': 0.5, 'aupr_unknown': 0.0}
2026-08-09 20:26:48,462 INFO [OUTPOST-v4] epoch 16 cur={'auroc_all': 0.5547840234332639, 'aupr_all': 0.19309997331886058, 'auroc_unknown': 0.5, 'aupr_unknown': 0.0, 'val_auc': 0.5299319727891156} best={'auroc_all': 0.5697488945001511, 'aupr_all': 0.1957705901685745, 'auroc_unknown': 0.5, 'aupr_unknown': 0.0}
