2026-08-09 18:58:23,333 INFO cli={'dataset': 'yelp', 'method': 'outpost', 'seed': 0, 'train_seed': None, 'epochs': None, 'set': ['use_hybrid=true'], 'tag': 'C_hopmix', 'rotations': None}
2026-08-09 18:58:23,333 INFO config={'alpha_plus': 0.05, 'alpha_r': 0.1, 'atlas_gate_q': 0.9, 'batch_size': 512, 'hidden_dim': 32, 'lambda_halo': 0.2, 'lambda_mixup': 0.2, 'lambda_un': 1.0, 'lr': 0.001, 'margin': 0.1, 'n_layers': 2, 'optimiser': 'adam', 'sampling_sizes': [25, 10], 'tau_minus': 0.05, 'tau_mu': 0.05, 'tau_plus': 0.95, 'use_atlas_gate': True, 'use_conformal': True, 'use_pl': True, 'version': 4, 'weight_decay': 0.0005, 'K_p': 3, 'alpha_f': 0.2, 'drop_out': 0.2, 'input_dim': 32, 'lambda_f': 1.0, 'num_epochs': 400, 'use_atlas_loss': False, 'use_fview_gate': False, 'use_halo': False, 'use_mixup': False, 'warmup_epochs': 10, 'use_hybrid': True, 'sim_topk_frac': 1.0}
2026-08-09 18:58:37,718 INFO [OUTPOST-v4] epoch 0 cur={'auroc_all': 0.5261627889074763, 'aupr_all': 0.16508818217416965, 'auroc_unknown': 0.5, 'aupr_unknown': 0.0, 'val_auc': 0.5711734693877552} best={'auroc_all': 0.5261627889074763, 'aupr_all': 0.16508818217416965, 'auroc_unknown': 0.5, 'aupr_unknown': 0.0}
2026-08-09 18:58:39,175 INFO [OUTPOST-v4] epoch 1 cur={'auroc_all': 0.5394430989419849, 'aupr_all': 0.17008439016553825, 'auroc_unknown': 0.5, 'aupr_unknown': 0.0, 'val_auc': 0.5738095238095239} best={'auroc_all': 0.5394430989419849, 'aupr_all': 0.17008439016553825, 'auroc_unknown': 0.5, 'aupr_unknown': 0.0}
2026-08-09 18:58:40,681 INFO [OUTPOST-v4] epoch 2 cur={'auroc_all': 0.5483155695231956, 'aupr_all': 0.1736620005655717, 'auroc_unknown': 0.5, 'aupr_unknown': 0.0, 'val_auc': 0.5779761904761905} best={'auroc_all': 0.5483155695231956, 'aupr_all': 0.1736620005655717, 'auroc_unknown': 0.5, 'aupr_unknown': 0.0}
2026-08-09 18:58:42,156 INFO [OUTPOST-v4] epoch 3 cur={'auroc_all': 0.5536281036785659, 'aupr_all': 0.17580633570830784, 'auroc_unknown': 0.5, 'aupr_unknown': 0.0, 'val_auc': 0.5756802721088435} best={'auroc_all': 0.5536281036785659, 'aupr_all': 0.17580633570830784, 'auroc_unknown': 0.5, 'aupr_unknown': 0.0}
2026-08-09 18:58:43,786 INFO [OUTPOST-v4] epoch 4 cur={'auroc_all': 0.5612274008199071, 'aupr_all': 0.17903472828172584, 'auroc_unknown': 0.5, 'aupr_unknown': 0.0, 'val_auc': 0.5798469387755102} best={'auroc_all': 0.5612274008199071, 'aupr_all': 0.17903472828172584, 'auroc_unknown': 0.5, 'aupr_unknown': 0.0}
2026-08-09 18:58:45,265 INFO [OUTPOST-v4] epoch 5 cur={'auroc_all': 0.5670448463404826, 'aupr_all': 0.18175036042934825, 'auroc_unknown': 0.5, 'aupr_unknown': 0.0, 'val_auc': 0.5812074829931974} best={'auroc_all': 0.5670448463404826, 'aupr_all': 0.18175036042934825, 'auroc_unknown': 0.5, 'aupr_unknown': 0.0}
2026-08-09 18:58:46,717 INFO [OUTPOST-v4] epoch 6 cur={'auroc_all': 0.5708353159921538, 'aupr_all': 0.18367422035397013, 'auroc_unknown': 0.5, 'aupr_unknown': 0.0, 'val_auc': 0.5837585034013605} best={'auroc_all': 0.5708353159921538, 'aupr_all': 0.18367422035397013, 'auroc_unknown': 0.5, 'aupr_unknown': 0.0}
2026-08-09 18:58:48,311 INFO [OUTPOST-v4] epoch 7 cur={'auroc_all': 0.5739277608256703, 'aupr_all': 0.18509475855993987, 'auroc_unknown': 0.5, 'aupr_unknown': 0.0, 'val_auc': 0.5837585034013606} best={'auroc_all': 0.5739277608256703, 'aupr_all': 0.18509475855993987, 'auroc_unknown': 0.5, 'aupr_unknown': 0.0}
2026-08-09 18:58:49,902 INFO [OUTPOST-v4] epoch 8 cur={'auroc_all': 0.5767277652793396, 'aupr_all': 0.1862757966460913, 'auroc_unknown': 0.5, 'aupr_unknown': 0.0, 'val_auc': 0.5829931972789115} best={'auroc_all': 0.5767277652793396, 'aupr_all': 0.1862757966460913, 'auroc_unknown': 0.5, 'aupr_unknown': 0.0}
