2026-08-21 20:21:11,380 INFO cli={'dataset': 'yelp', 'method': 'outpost', 'seed': 1, 'train_seed': None, 'epochs': None, 'set': ['drop_out=0.1'], 'tag': 'T_drop0.1', 'rotations': None}
2026-08-21 20:31:46,260 INFO [OUTPOST-v4] epoch 138 cur={'auroc_all': 0.6982965112832819, 'aupr_all': 0.2745785269498505, 'auroc_unknown': 0.5, 'aupr_unknown': 0.0, 'val_auc': 0.6907312925170068} best={'auroc_all': 0.6982965112832819, 'aupr_all': 0.2745785269498505, 'auroc_unknown': 0.5, 'aupr_unknown': 0.0}
2026-08-21 20:31:51,183 INFO [OUTPOST-v4] epoch 139 cur={'auroc_all': 0.6989646068519655, 'aupr_all': 0.2756475867847032, 'auroc_unknown': 0.5, 'aupr_unknown': 0.0, 'val_auc': 0.6916666666666667} best={'auroc_all': 0.6989646068519655, 'aupr_all': 0.2756475867847032, 'auroc_unknown': 0.5, 'aupr_unknown': 0.0}
2026-08-21 20:31:55,810 INFO [OUTPOST-v4] epoch 140 cur={'auroc_all': 0.6995917847437141, 'aupr_all': 0.2766364700471996, 'auroc_unknown': 0.5, 'aupr_unknown': 0.0, 'val_auc': 0.6924319727891156} best={'auroc_all': 0.6995917847437141, 'aupr_all': 0.2766364700471996, 'auroc_unknown': 0.5, 'aupr_unknown': 0.0}
2026-08-21 20:32:00,483 INFO [OUTPOST-v4] epoch 141 cur={'auroc_all': 0.7001386545354755, 'aupr_all': 0.27748453645996796, 'auroc_unknown': 0.5, 'aupr_unknown': 0.0, 'val_auc': 0.6931972789115647} best={'auroc_all': 0.7001386545354755, 'aupr_all': 0.27748453645996796, 'auroc_unknown': 0.5, 'aupr_unknown': 0.0}
2026-08-21 20:32:05,064 INFO [OUTPOST-v4] epoch 142 cur={'auroc_all': 0.7006961494160754, 'aupr_all': 0.2783384632333008, 'auroc_unknown': 0.5, 'aupr_unknown': 0.0, 'val_auc': 0.6933673469387756} best={'auroc_all': 0.7006961494160754, 'aupr_all': 0.2783384632333008, 'auroc_unknown': 0.5, 'aupr_unknown': 0.0}
2026-08-21 20:32:09,730 INFO [OUTPOST-v4] epoch 143 cur={'auroc_all': 0.7012019496266181, 'aupr_all': 0.2791525909215647, 'auroc_unknown': 0.5, 'aupr_unknown': 0.0, 'val_auc': 0.6934523809523809} best={'auroc_all': 0.7012019496266181, 'aupr_all': 0.2791525909215647, 'auroc_unknown': 0.5, 'aupr_unknown': 0.0}
2026-08-21 20:32:14,443 INFO [OUTPOST-v4] epoch 144 cur={'auroc_all': 0.7016713708139007, 'aupr_all': 0.2798770215067449, 'auroc_unknown': 0.5, 'aupr_unknown': 0.0, 'val_auc': 0.6944727891156462} best={'auroc_all': 0.7016713708139007, 'aupr_all': 0.2798770215067449, 'auroc_unknown': 0.5, 'aupr_unknown': 0.0}
2026-08-21 20:32:19,181 INFO [OUTPOST-v4] epoch 145 cur={'auroc_all': 0.7021370108161681, 'aupr_all': 0.28058110870934283, 'auroc_unknown': 0.5, 'aupr_unknown': 0.0, 'val_auc': 0.6944302721088436} best={'auroc_all': 0.7021370108161681, 'aupr_all': 0.28058110870934283, 'auroc_unknown': 0.5, 'aupr_unknown': 0.0}
2026-08-21 20:32:23,799 INFO [OUTPOST-v4] epoch 146 cur={'auroc_all': 0.7026425585371574, 'aupr_all': 0.28136438235882905, 'auroc_unknown': 0.5, 'aupr_unknown': 0.0, 'val_auc': 0.6947278911564626} best={'auroc_all': 0.7026425585371574, 'aupr_all': 0.28136438235882905, 'auroc_unknown': 0.5, 'aupr_unknown': 0.0}
2026-08-21 20:32:28,526 INFO [OUTPOST-v4] epoch 147 cur={'auroc_all': 0.7031645509232713, 'aupr_all': 0.282110198546258, 'auroc_unknown': 0.5, 'aupr_unknown': 0.0, 'val_auc': 0.6946428571428571} best={'auroc_all': 0.7031645509232713, 'aupr_all': 0.282110198546258, 'auroc_unknown': 0.5, 'aupr_unknown': 0.0}
