2026-08-09 11:54:42,767 INFO cli={'dataset': 'yelp', 'method': 'outpost', 'seed': 0, 'train_seed': None, 'epochs': None, 'set': ['use_conformal=false'], 'tag': 'C_noconformal', 'rotations': None}
2026-08-09 11:55:44,927 INFO [OUTPOST-v4] epoch 14 cur={'auroc_all': 0.5679012416385211, 'aupr_all': 0.17228469659744775, 'auroc_unknown': 0.5, 'aupr_unknown': 0.0, 'val_auc': 0.5554421768707483} best={'auroc_all': 0.5908878536078216, 'aupr_all': 0.18612975699571196, 'auroc_unknown': 0.5, 'aupr_unknown': 0.0}
2026-08-09 11:55:51,173 INFO [OUTPOST-v4] epoch 15 cur={'auroc_all': 0.5695800918909248, 'aupr_all': 0.17288883724979198, 'auroc_unknown': 0.5, 'aupr_unknown': 0.0, 'val_auc': 0.5590986394557823} best={'auroc_all': 0.5908878536078216, 'aupr_all': 0.18612975699571196, 'auroc_unknown': 0.5, 'aupr_unknown': 0.0}
2026-08-09 11:55:57,582 INFO [OUTPOST-v4] epoch 16 cur={'auroc_all': 0.571467748951025, 'aupr_all': 0.17353120335537137, 'auroc_unknown': 0.5, 'aupr_unknown': 0.0, 'val_auc': 0.5606292517006803} best={'auroc_all': 0.5908878536078216, 'aupr_all': 0.18612975699571196, 'auroc_unknown': 0.5, 'aupr_unknown': 0.0}
2026-08-09 11:56:04,434 INFO [OUTPOST-v4] epoch 17 cur={'auroc_all': 0.573139400172023, 'aupr_all': 0.1741145458808936, 'auroc_unknown': 0.5, 'aupr_unknown': 0.0, 'val_auc': 0.5632227891156463} best={'auroc_all': 0.5908878536078216, 'aupr_all': 0.18612975699571196, 'auroc_unknown': 0.5, 'aupr_unknown': 0.0}
2026-08-09 11:56:10,800 INFO [OUTPOST-v4] epoch 18 cur={'auroc_all': 0.5746231334771366, 'aupr_all': 0.1746554992278618, 'auroc_unknown': 0.5, 'aupr_unknown': 0.0, 'val_auc': 0.5659863945578232} best={'auroc_all': 0.5908878536078216, 'aupr_all': 0.18612975699571196, 'auroc_unknown': 0.5, 'aupr_unknown': 0.0}
2026-08-09 11:56:17,211 INFO [OUTPOST-v4] epoch 19 cur={'auroc_all': 0.5759426007739383, 'aupr_all': 0.1751479549154332, 'auroc_unknown': 0.5, 'aupr_unknown': 0.0, 'val_auc': 0.567389455782313} best={'auroc_all': 0.5908878536078216, 'aupr_all': 0.18612975699571196, 'auroc_unknown': 0.5, 'aupr_unknown': 0.0}
2026-08-09 11:56:23,473 INFO [OUTPOST-v4] epoch 20 cur={'auroc_all': 0.5771100775707848, 'aupr_all': 0.17558730496527708, 'auroc_unknown': 0.5, 'aupr_unknown': 0.0, 'val_auc': 0.5693027210884354} best={'auroc_all': 0.5908878536078216, 'aupr_all': 0.18612975699571196, 'auroc_unknown': 0.5, 'aupr_unknown': 0.0}
2026-08-09 11:56:29,938 INFO [OUTPOST-v4] epoch 21 cur={'auroc_all': 0.578271623942273, 'aupr_all': 0.17603240355266436, 'auroc_unknown': 0.5, 'aupr_unknown': 0.0, 'val_auc': 0.5718537414965986} best={'auroc_all': 0.5908878536078216, 'aupr_all': 0.18612975699571196, 'auroc_unknown': 0.5, 'aupr_unknown': 0.0}
2026-08-09 11:56:36,494 INFO [OUTPOST-v4] epoch 22 cur={'auroc_all': 0.5794467021116018, 'aupr_all': 0.1764629226369567, 'auroc_unknown': 0.5, 'aupr_unknown': 0.0, 'val_auc': 0.5732142857142858} best={'auroc_all': 0.5908878536078216, 'aupr_all': 0.18612975699571196, 'auroc_unknown': 0.5, 'aupr_unknown': 0.0}
2026-08-09 11:56:43,045 INFO [OUTPOST-v4] epoch 23 cur={'auroc_all': 0.5805819628836744, 'aupr_all': 0.17686574662967208, 'auroc_unknown': 0.5, 'aupr_unknown': 0.0, 'val_auc': 0.573639455782313} best={'auroc_all': 0.5908878536078216, 'aupr_all': 0.18612975699571196, 'auroc_unknown': 0.5, 'aupr_unknown': 0.0}
2026-08-09 11:56:49,399 INFO [OUTPOST-v4] epoch 24 cur={'auroc_all': 0.5817791041238753, 'aupr_all': 0.1772822685444132, 'auroc_unknown': 0.5, 'aupr_unknown': 0.0, 'val_auc': 0.5746598639455782} best={'auroc_all': 0.5908878536078216, 'aupr_all': 0.18612975699571196, 'auroc_unknown': 0.5, 'aupr_unknown': 0.0}
2026-08-09 11:56:55,811 INFO [OUTPOST-v4] epoch 25 cur={'auroc_all': 0.5830271127716138, 'aupr_all': 0.17771870315686109, 'auroc_unknown': 0.5, 'aupr_unknown': 0.0, 'val_auc': 0.5740646258503401} best={'auroc_all': 0.5908878536078216, 'aupr_all': 0.18612975699571196, 'auroc_unknown': 0.5, 'aupr_unknown': 0.0}
2026-08-09 11:57:02,202 INFO [OUTPOST-v4] epoch 26 cur={'auroc_all': 0.5844031603086882, 'aupr_all': 0.17819026835716048, 'auroc_unknown': 0.5, 'aupr_unknown': 0.0, 'val_auc': 0.5749149659863946} best={'auroc_all': 0.5908878536078216, 'aupr_all': 0.18612975699571196, 'auroc_unknown': 0.5, 'aupr_unknown': 0.0}
2026-08-09 11:57:08,511 INFO [OUTPOST-v4] epoch 27 cur={'auroc_all': 0.5859286919250319, 'aupr_all': 0.17871129374844064, 'auroc_unknown': 0.5, 'aupr_unknown': 0.0, 'val_auc': 0.5743197278911565} best={'auroc_all': 0.5908878536078216, 'aupr_all': 0.18612975699571196, 'auroc_unknown': 0.5, 'aupr_unknown': 0.0}
2026-08-09 11:57:15,176 INFO [OUTPOST-v4] epoch 28 cur={'auroc_all': 0.5875916907601231, 'aupr_all': 0.17927692641023607, 'auroc_unknown': 0.5, 'aupr_unknown': 0.0, 'val_auc': 0.5742346938775511} best={'auroc_all': 0.5908878536078216, 'aupr_all': 0.18612975699571196, 'auroc_unknown': 0.5, 'aupr_unknown': 0.0}
2026-08-09 11:57:21,414 INFO [OUTPOST-v4] epoch 29 cur={'auroc_all': 0.5893935321635604, 'aupr_all': 0.17990080950088308, 'auroc_unknown': 0.5, 'aupr_unknown': 0.0, 'val_auc': 0.573469387755102} best={'auroc_all': 0.5908878536078216, 'aupr_all': 0.18612975699571196, 'auroc_unknown': 0.5, 'aupr_unknown': 0.0}
2026-08-09 11:57:27,758 INFO [OUTPOST-v4] epoch 30 cur={'auroc_all': 0.591241242502487, 'aupr_all': 0.18055920219355218, 'auroc_unknown': 0.5, 'aupr_unknown': 0.0, 'val_auc': 0.5721938775510205} best={'auroc_all': 0.591241242502487, 'aupr_all': 0.18612975699571196, 'auroc_unknown': 0.5, 'aupr_unknown': 0.0}
2026-08-09 11:57:34,267 INFO [OUTPOST-v4] epoch 31 cur={'auroc_all': 0.5931159240628678, 'aupr_all': 0.18125798317547442, 'auroc_unknown': 0.5, 'aupr_unknown': 0.0, 'val_auc': 0.5715986394557824} best={'auroc_all': 0.5931159240628678, 'aupr_all': 0.18612975699571196, 'auroc_unknown': 0.5, 'aupr_unknown': 0.0}
2026-08-09 11:57:40,647 INFO [OUTPOST-v4] epoch 32 cur={'auroc_all': 0.594871307388525, 'aupr_all': 0.1819323043829415, 'auroc_unknown': 0.5, 'aupr_unknown': 0.0, 'val_auc': 0.5709183673469388} best={'auroc_all': 0.594871307388525, 'aupr_all': 0.18612975699571196, 'auroc_unknown': 0.5, 'aupr_unknown': 0.0}
2026-08-09 11:57:46,991 INFO [OUTPOST-v4] epoch 33 cur={'auroc_all': 0.596537711753443, 'aupr_all': 0.18257514480031165, 'auroc_unknown': 0.5, 'aupr_unknown': 0.0, 'val_auc': 0.5695578231292517} best={'auroc_all': 0.596537711753443, 'aupr_all': 0.18612975699571196, 'auroc_unknown': 0.5, 'aupr_unknown': 0.0}
2026-08-09 11:57:53,278 INFO [OUTPOST-v4] epoch 34 cur={'auroc_all': 0.5980967649502985, 'aupr_all': 0.18318758684358405, 'auroc_unknown': 0.5, 'aupr_unknown': 0.0, 'val_auc': 0.5694727891156464} best={'auroc_all': 0.5980967649502985, 'aupr_all': 0.18612975699571196, 'auroc_unknown': 0.5, 'aupr_unknown': 0.0}
2026-08-09 11:57:59,560 INFO [OUTPOST-v4] epoch 35 cur={'auroc_all': 0.5996309017390552, 'aupr_all': 0.18382669965559678, 'auroc_unknown': 0.5, 'aupr_unknown': 0.0, 'val_auc': 0.5686224489795919} best={'auroc_all': 0.5996309017390552, 'aupr_all': 0.18612975699571196, 'auroc_unknown': 0.5, 'aupr_unknown': 0.0}
2026-08-09 11:58:06,068 INFO [OUTPOST-v4] epoch 36 cur={'auroc_all': 0.6012050673594093, 'aupr_all': 0.1845083146492119, 'auroc_unknown': 0.5, 'aupr_unknown': 0.0, 'val_auc': 0.56921768707483} best={'auroc_all': 0.6012050673594093, 'aupr_all': 0.18612975699571196, 'auroc_unknown': 0.5, 'aupr_unknown': 0.0}
2026-08-09 11:58:12,457 INFO [OUTPOST-v4] epoch 37 cur={'auroc_all': 0.602917231863505, 'aupr_all': 0.18529152418586672, 'auroc_unknown': 0.5, 'aupr_unknown': 0.0, 'val_auc': 0.5675170068027211} best={'auroc_all': 0.602917231863505, 'aupr_all': 0.18612975699571196, 'auroc_unknown': 0.5, 'aupr_unknown': 0.0}
