2026-08-21 19:40:49,334 INFO cli={'dataset': 'yelp', 'method': 'outpost', 'seed': 42, 'train_seed': None, 'epochs': None, 'set': ['hidden_dim=16'], 'tag': 'T_hidden16', 'rotations': None}
2026-08-21 19:40:49,334 INFO config={'alpha_plus': 0.05, 'alpha_r': 0.1, 'atlas_gate_q': 0.9, 'batch_size': 512, 'hidden_dim': 16, 'lambda_halo': 0.2, 'lambda_mixup': 0.2, 'lambda_un': 1.0, 'lr': 0.001, 'margin': 0.1, 'n_layers': 2, 'optimiser': 'adam', 'sampling_sizes': [25, 10], 'tau_minus': 0.05, 'tau_mu': 0.05, 'tau_plus': 0.95, 'use_atlas_gate': True, 'use_conformal': True, 'use_pl': True, 'version': 4, 'weight_decay': 0.0005, 'K_p': 3, 'alpha_f': 0.2, 'drop_out': 0.2, 'input_dim': 32, 'lambda_f': 1.0, 'num_epochs': 400, 'use_atlas_loss': False, 'use_fview_gate': False, 'use_halo': False, 'use_mixup': False, 'warmup_epochs': 10, 'use_hybrid': False, 'sim_topk_frac': 1.0}
2026-08-21 19:40:59,330 INFO [OUTPOST-v4] epoch 0 cur={'auroc_all': 0.5976434866723328, 'aupr_all': 0.20966911765494872, 'auroc_unknown': 0.5, 'aupr_unknown': 0.0, 'val_auc': 0.6028061224489796} best={'auroc_all': 0.5976434866723328, 'aupr_all': 0.20966911765494872, 'auroc_unknown': 0.5, 'aupr_unknown': 0.0}
2026-08-21 19:41:00,214 INFO [OUTPOST-v4] epoch 1 cur={'auroc_all': 0.6026881909946263, 'aupr_all': 0.21250835562624637, 'auroc_unknown': 0.5, 'aupr_unknown': 0.0, 'val_auc': 0.6232993197278911} best={'auroc_all': 0.6026881909946263, 'aupr_all': 0.21250835562624637, 'auroc_unknown': 0.5, 'aupr_unknown': 0.0}
2026-08-21 19:41:01,234 INFO [OUTPOST-v4] epoch 2 cur={'auroc_all': 0.5999271664118904, 'aupr_all': 0.20830323137361925, 'auroc_unknown': 0.5, 'aupr_unknown': 0.0, 'val_auc': 0.6319302721088434} best={'auroc_all': 0.6026881909946263, 'aupr_all': 0.21250835562624637, 'auroc_unknown': 0.5, 'aupr_unknown': 0.0}
2026-08-21 19:41:02,192 INFO [OUTPOST-v4] epoch 3 cur={'auroc_all': 0.5970222966832389, 'aupr_all': 0.20387377818481262, 'auroc_unknown': 0.5, 'aupr_unknown': 0.0, 'val_auc': 0.6340986394557823} best={'auroc_all': 0.6026881909946263, 'aupr_all': 0.21250835562624637, 'auroc_unknown': 0.5, 'aupr_unknown': 0.0}
2026-08-21 19:41:03,055 INFO [OUTPOST-v4] epoch 4 cur={'auroc_all': 0.5945405522321772, 'aupr_all': 0.2001082726869871, 'auroc_unknown': 0.5, 'aupr_unknown': 0.0, 'val_auc': 0.6325680272108843} best={'auroc_all': 0.6026881909946263, 'aupr_all': 0.21250835562624637, 'auroc_unknown': 0.5, 'aupr_unknown': 0.0}
2026-08-21 19:41:03,981 INFO [OUTPOST-v4] epoch 5 cur={'auroc_all': 0.5930818667118406, 'aupr_all': 0.1971576936137388, 'auroc_unknown': 0.5, 'aupr_unknown': 0.0, 'val_auc': 0.6307823129251701} best={'auroc_all': 0.6026881909946263, 'aupr_all': 0.21250835562624637, 'auroc_unknown': 0.5, 'aupr_unknown': 0.0}
2026-08-21 19:41:04,980 INFO [OUTPOST-v4] epoch 6 cur={'auroc_all': 0.5904336844317577, 'aupr_all': 0.19389855425837374, 'auroc_unknown': 0.5, 'aupr_unknown': 0.0, 'val_auc': 0.617687074829932} best={'auroc_all': 0.6026881909946263, 'aupr_all': 0.21250835562624637, 'auroc_unknown': 0.5, 'aupr_unknown': 0.0}
2026-08-21 19:41:05,865 INFO [OUTPOST-v4] epoch 7 cur={'auroc_all': 0.5862733319540424, 'aupr_all': 0.18856626613040625, 'auroc_unknown': 0.5, 'aupr_unknown': 0.0, 'val_auc': 0.6215136054421769} best={'auroc_all': 0.6026881909946263, 'aupr_all': 0.21250835562624637, 'auroc_unknown': 0.5, 'aupr_unknown': 0.0}
2026-08-21 19:41:06,792 INFO [OUTPOST-v4] epoch 8 cur={'auroc_all': 0.5855335026663759, 'aupr_all': 0.18702438255244996, 'auroc_unknown': 0.5, 'aupr_unknown': 0.0, 'val_auc': 0.6274659863945579} best={'auroc_all': 0.6026881909946263, 'aupr_all': 0.21250835562624637, 'auroc_unknown': 0.5, 'aupr_unknown': 0.0}
2026-08-21 19:41:07,955 INFO [OUTPOST-v4] epoch 9 cur={'auroc_all': 0.5849790479242168, 'aupr_all': 0.1857620809565026, 'auroc_unknown': 0.5, 'aupr_unknown': 0.0, 'val_auc': 0.6308673469387756} best={'auroc_all': 0.6026881909946263, 'aupr_all': 0.21250835562624637, 'auroc_unknown': 0.5, 'aupr_unknown': 0.0}
