2026-08-10 10:03:10,771 INFO cli={'dataset': 'yelp', 'method': 'outpost', 'seed': 42, 'train_seed': None, 'epochs': None, 'set': ['sim_topk_frac=0.75'], 'tag': 'D_sim0.75', 'rotations': None}
2026-08-10 10:03:10,771 INFO config={'alpha_plus': 0.05, 'alpha_r': 0.1, 'atlas_gate_q': 0.9, 'batch_size': 512, 'hidden_dim': 32, 'lambda_halo': 0.2, 'lambda_mixup': 0.2, 'lambda_un': 1.0, 'lr': 0.001, 'margin': 0.1, 'n_layers': 2, 'optimiser': 'adam', 'sampling_sizes': [25, 10], 'tau_minus': 0.05, 'tau_mu': 0.05, 'tau_plus': 0.95, 'use_atlas_gate': True, 'use_conformal': True, 'use_pl': True, 'version': 4, 'weight_decay': 0.0005, 'K_p': 3, 'alpha_f': 0.2, 'drop_out': 0.2, 'input_dim': 32, 'lambda_f': 1.0, 'num_epochs': 400, 'use_atlas_loss': False, 'use_fview_gate': False, 'use_halo': False, 'use_mixup': False, 'warmup_epochs': 10, 'use_hybrid': False, 'sim_topk_frac': 0.75}
2026-08-10 10:03:26,658 INFO [OUTPOST-v4] epoch 0 cur={'auroc_all': 0.4980809849690547, 'aupr_all': 0.15700701993240757, 'auroc_unknown': 0.5, 'aupr_unknown': 0.0, 'val_auc': 0.5553571428571429} best={'auroc_all': 0.4980809849690547, 'aupr_all': 0.15700701993240757, 'auroc_unknown': 0.5, 'aupr_unknown': 0.0}
2026-08-10 10:03:28,306 INFO [OUTPOST-v4] epoch 1 cur={'auroc_all': 0.4982098470153892, 'aupr_all': 0.15699126931930862, 'auroc_unknown': 0.5, 'aupr_unknown': 0.0, 'val_auc': 0.516921768707483} best={'auroc_all': 0.4982098470153892, 'aupr_all': 0.15700701993240757, 'auroc_unknown': 0.5, 'aupr_unknown': 0.0}
2026-08-10 10:03:29,866 INFO [OUTPOST-v4] epoch 2 cur={'auroc_all': 0.49760993388985975, 'aupr_all': 0.15546562488077853, 'auroc_unknown': 0.5, 'aupr_unknown': 0.0, 'val_auc': 0.5037414965986395} best={'auroc_all': 0.4982098470153892, 'aupr_all': 0.15700701993240757, 'auroc_unknown': 0.5, 'aupr_unknown': 0.0}
2026-08-10 10:03:31,539 INFO [OUTPOST-v4] epoch 3 cur={'auroc_all': 0.5014032958812089, 'aupr_all': 0.15636246924152816, 'auroc_unknown': 0.5, 'aupr_unknown': 0.0, 'val_auc': 0.5017857142857143} best={'auroc_all': 0.5014032958812089, 'aupr_all': 0.15700701993240757, 'auroc_unknown': 0.5, 'aupr_unknown': 0.0}
2026-08-10 10:03:33,249 INFO [OUTPOST-v4] epoch 4 cur={'auroc_all': 0.5033866649567992, 'aupr_all': 0.1561903171001593, 'auroc_unknown': 0.5, 'aupr_unknown': 0.0, 'val_auc': 0.4763180272108844} best={'auroc_all': 0.5033866649567992, 'aupr_all': 0.15700701993240757, 'auroc_unknown': 0.5, 'aupr_unknown': 0.0}
2026-08-10 10:03:34,855 INFO [OUTPOST-v4] epoch 5 cur={'auroc_all': 0.5090498824683711, 'aupr_all': 0.1578479269565943, 'auroc_unknown': 0.5, 'aupr_unknown': 0.0, 'val_auc': 0.5074829931972789} best={'auroc_all': 0.5090498824683711, 'aupr_all': 0.1578479269565943, 'auroc_unknown': 0.5, 'aupr_unknown': 0.0}
2026-08-10 10:03:36,558 INFO [OUTPOST-v4] epoch 6 cur={'auroc_all': 0.5083301373903634, 'aupr_all': 0.15706559249055835, 'auroc_unknown': 0.5, 'aupr_unknown': 0.0, 'val_auc': 0.4986394557823129} best={'auroc_all': 0.5090498824683711, 'aupr_all': 0.1578479269565943, 'auroc_unknown': 0.5, 'aupr_unknown': 0.0}
2026-08-10 10:03:38,348 INFO [OUTPOST-v4] epoch 7 cur={'auroc_all': 0.5074562689941424, 'aupr_all': 0.15601285671731283, 'auroc_unknown': 0.5, 'aupr_unknown': 0.0, 'val_auc': 0.483843537414966} best={'auroc_all': 0.5090498824683711, 'aupr_all': 0.1578479269565943, 'auroc_unknown': 0.5, 'aupr_unknown': 0.0}
2026-08-10 10:03:40,348 INFO [OUTPOST-v4] epoch 8 cur={'auroc_all': 0.5081981161454736, 'aupr_all': 0.15635774807154007, 'auroc_unknown': 0.5, 'aupr_unknown': 0.0, 'val_auc': 0.47772108843537414} best={'auroc_all': 0.5090498824683711, 'aupr_all': 0.1578479269565943, 'auroc_unknown': 0.5, 'aupr_unknown': 0.0}
