2026-08-10 15:00:50,720 INFO cli={'dataset': 'photo', 'method': 'outpost', 'seed': 42, 'train_seed': None, 'epochs': None, 'set': ['sim_topk_frac=1.0'], 'tag': 'C_sim', 'rotations': None}
2026-08-10 15:01:09,646 INFO [OUTPOST-v4] epoch 11 cur={'auroc_all': 0.6133411337223654, 'aupr_all': 0.13278759185980576, 'auroc_unknown': 0.37956905870940477, 'aupr_unknown': 0.03508291976624866, 'val_auc': 0.8758454106280193} best={'auroc_all': 0.6133411337223654, 'aupr_all': 0.13278759185980576, 'auroc_unknown': 0.3865555213399212, 'aupr_unknown': 0.03548062332343875}
2026-08-10 15:01:11,421 INFO [OUTPOST-v4] epoch 12 cur={'auroc_all': 0.6159524126899494, 'aupr_all': 0.1429315369227838, 'auroc_unknown': 0.36752561780026766, 'aupr_unknown': 0.0344124838275874, 'val_auc': 0.8893719806763285} best={'auroc_all': 0.6159524126899494, 'aupr_all': 0.1429315369227838, 'auroc_unknown': 0.3865555213399212, 'aupr_unknown': 0.03548062332343875}
2026-08-10 15:01:12,981 INFO [OUTPOST-v4] epoch 13 cur={'auroc_all': 0.6170837159473523, 'aupr_all': 0.14928251105882975, 'auroc_unknown': 0.36205805190974105, 'aupr_unknown': 0.03411895265505952, 'val_auc': 0.8990338164251208} best={'auroc_all': 0.6170837159473523, 'aupr_all': 0.14928251105882975, 'auroc_unknown': 0.3865555213399212, 'aupr_unknown': 0.03548062332343875}
2026-08-10 15:01:14,690 INFO [OUTPOST-v4] epoch 14 cur={'auroc_all': 0.6177016992999398, 'aupr_all': 0.15154503761766502, 'auroc_unknown': 0.36159637203306527, 'aupr_unknown': 0.03409568710232721, 'val_auc': 0.8990338164251207} best={'auroc_all': 0.6177016992999398, 'aupr_all': 0.15154503761766502, 'auroc_unknown': 0.3865555213399212, 'aupr_unknown': 0.03548062332343875}
2026-08-10 15:01:16,587 INFO [OUTPOST-v4] epoch 15 cur={'auroc_all': 0.6188065898476456, 'aupr_all': 0.15071206853960317, 'auroc_unknown': 0.36543152850486, 'aupr_unknown': 0.0343023100999704, 'val_auc': 0.895169082125604} best={'auroc_all': 0.6188065898476456, 'aupr_all': 0.15154503761766502, 'auroc_unknown': 0.3865555213399212, 'aupr_unknown': 0.03548062332343875}
2026-08-10 15:01:18,266 INFO [OUTPOST-v4] epoch 16 cur={'auroc_all': 0.6234448591486714, 'aupr_all': 0.15475642841841192, 'auroc_unknown': 0.37016692605816476, 'aupr_unknown': 0.03455827434121806, 'val_auc': 0.8951690821256039} best={'auroc_all': 0.6234448591486714, 'aupr_all': 0.15475642841841192, 'auroc_unknown': 0.3865555213399212, 'aupr_unknown': 0.03548062332343875}
2026-08-10 15:01:20,022 INFO [OUTPOST-v4] epoch 17 cur={'auroc_all': 0.6248241209751473, 'aupr_all': 0.1565479389796121, 'auroc_unknown': 0.3713931404126406, 'aupr_unknown': 0.034624815638626266, 'val_auc': 0.8971014492753623} best={'auroc_all': 0.6248241209751473, 'aupr_all': 0.1565479389796121, 'auroc_unknown': 0.3865555213399212, 'aupr_unknown': 0.03548062332343875}
2026-08-10 15:01:21,663 INFO [OUTPOST-v4] epoch 18 cur={'auroc_all': 0.6269978622984488, 'aupr_all': 0.15955525862077236, 'auroc_unknown': 0.3731663425428875, 'aupr_unknown': 0.03472082404755949, 'val_auc': 0.9009661835748792} best={'auroc_all': 0.6269978622984488, 'aupr_all': 0.15955525862077236, 'auroc_unknown': 0.3865555213399212, 'aupr_unknown': 0.03548062332343875}
2026-08-10 15:01:23,491 INFO [OUTPOST-v4] epoch 19 cur={'auroc_all': 0.6295610059539678, 'aupr_all': 0.16455803994775173, 'auroc_unknown': 0.3742156990577754, 'aupr_unknown': 0.034778172792377465, 'val_auc': 0.9053140096618357} best={'auroc_all': 0.6295610059539678, 'aupr_all': 0.16455803994775173, 'auroc_unknown': 0.3865555213399212, 'aupr_unknown': 0.03548062332343875}
2026-08-10 15:01:25,350 INFO [OUTPOST-v4] epoch 20 cur={'auroc_all': 0.6327112769928018, 'aupr_all': 0.17159087415611113, 'auroc_unknown': 0.3755484904894407, 'aupr_unknown': 0.03485094663979255, 'val_auc': 0.9115942028985506} best={'auroc_all': 0.6327112769928018, 'aupr_all': 0.17159087415611113, 'auroc_unknown': 0.3865555213399212, 'aupr_unknown': 0.03548062332343875}
