2026-08-10 00:07:18,203 INFO cli={'dataset': 'yelp', 'method': 'outpost', 'seed': 2, 'train_seed': None, 'epochs': None, 'set': ['use_fview_gate=true'], 'tag': 'C_fview', 'rotations': None}
2026-08-10 00:39:43,080 INFO [OUTPOST-v4] epoch 315 cur={'auroc_all': 0.716968312856677, 'aupr_all': 0.33599497094220826, 'auroc_unknown': 0.5, 'aupr_unknown': 0.0, 'val_auc': 0.7835034013605443} best={'auroc_all': 0.716968312856677, 'aupr_all': 0.33599497094220826, 'auroc_unknown': 0.5, 'aupr_unknown': 0.0}
2026-08-10 00:39:49,096 INFO [OUTPOST-v4] epoch 316 cur={'auroc_all': 0.7178367865980548, 'aupr_all': 0.3372647467092052, 'auroc_unknown': 0.5, 'aupr_unknown': 0.0, 'val_auc': 0.7848639455782312} best={'auroc_all': 0.7178367865980548, 'aupr_all': 0.3372647467092052, 'auroc_unknown': 0.5, 'aupr_unknown': 0.0}
2026-08-10 00:39:55,076 INFO [OUTPOST-v4] epoch 317 cur={'auroc_all': 0.7188829657713585, 'aupr_all': 0.33870329063345905, 'auroc_unknown': 0.5, 'aupr_unknown': 0.0, 'val_auc': 0.7856292517006802} best={'auroc_all': 0.7188829657713585, 'aupr_all': 0.33870329063345905, 'auroc_unknown': 0.5, 'aupr_unknown': 0.0}
2026-08-10 00:40:01,058 INFO [OUTPOST-v4] epoch 318 cur={'auroc_all': 0.7201394523203533, 'aupr_all': 0.34036342728919555, 'auroc_unknown': 0.5, 'aupr_unknown': 0.0, 'val_auc': 0.7858843537414967} best={'auroc_all': 0.7201394523203533, 'aupr_all': 0.34036342728919555, 'auroc_unknown': 0.5, 'aupr_unknown': 0.0}
2026-08-10 00:40:07,125 INFO [OUTPOST-v4] epoch 319 cur={'auroc_all': 0.720735149075621, 'aupr_all': 0.3414956801306588, 'auroc_unknown': 0.5, 'aupr_unknown': 0.0, 'val_auc': 0.7853741496598641} best={'auroc_all': 0.720735149075621, 'aupr_all': 0.3414956801306588, 'auroc_unknown': 0.5, 'aupr_unknown': 0.0}
2026-08-10 00:40:13,088 INFO [OUTPOST-v4] epoch 320 cur={'auroc_all': 0.720811932585667, 'aupr_all': 0.3422523960889275, 'auroc_unknown': 0.5, 'aupr_unknown': 0.0, 'val_auc': 0.7863945578231294} best={'auroc_all': 0.720811932585667, 'aupr_all': 0.3422523960889275, 'auroc_unknown': 0.5, 'aupr_unknown': 0.0}
2026-08-10 00:40:19,040 INFO [OUTPOST-v4] epoch 321 cur={'auroc_all': 0.721280308917807, 'aupr_all': 0.34334880192975514, 'auroc_unknown': 0.5, 'aupr_unknown': 0.0, 'val_auc': 0.7868197278911565} best={'auroc_all': 0.721280308917807, 'aupr_all': 0.34334880192975514, 'auroc_unknown': 0.5, 'aupr_unknown': 0.0}
2026-08-10 00:40:25,049 INFO [OUTPOST-v4] epoch 322 cur={'auroc_all': 0.7221480251905255, 'aupr_all': 0.34482689847404957, 'auroc_unknown': 0.5, 'aupr_unknown': 0.0, 'val_auc': 0.7879251700680272} best={'auroc_all': 0.7221480251905255, 'aupr_all': 0.34482689847404957, 'auroc_unknown': 0.5, 'aupr_unknown': 0.0}
2026-08-10 00:40:31,081 INFO [OUTPOST-v4] epoch 323 cur={'auroc_all': 0.7228489567176823, 'aupr_all': 0.34616483019638156, 'auroc_unknown': 0.5, 'aupr_unknown': 0.0, 'val_auc': 0.788265306122449} best={'auroc_all': 0.7228489567176823, 'aupr_all': 0.34616483019638156, 'auroc_unknown': 0.5, 'aupr_unknown': 0.0}
2026-08-10 00:40:37,088 INFO [OUTPOST-v4] epoch 324 cur={'auroc_all': 0.7225477982635895, 'aupr_all': 0.3465930388453425, 'auroc_unknown': 0.5, 'aupr_unknown': 0.0, 'val_auc': 0.7881802721088436} best={'auroc_all': 0.7228489567176823, 'aupr_all': 0.3465930388453425, 'auroc_unknown': 0.5, 'aupr_unknown': 0.0}
2026-08-10 00:40:43,081 INFO [OUTPOST-v4] epoch 325 cur={'auroc_all': 0.7220856130574032, 'aupr_all': 0.3468640229543099, 'auroc_unknown': 0.5, 'aupr_unknown': 0.0, 'val_auc': 0.7885204081632654} best={'auroc_all': 0.7228489567176823, 'aupr_all': 0.3468640229543099, 'auroc_unknown': 0.5, 'aupr_unknown': 0.0}
2026-08-10 00:40:49,115 INFO [OUTPOST-v4] epoch 326 cur={'auroc_all': 0.7228112043975847, 'aupr_all': 0.34822393008060176, 'auroc_unknown': 0.5, 'aupr_unknown': 0.0, 'val_auc': 0.7885204081632653} best={'auroc_all': 0.7228489567176823, 'aupr_all': 0.34822393008060176, 'auroc_unknown': 0.5, 'aupr_unknown': 0.0}
2026-08-10 00:40:55,120 INFO [OUTPOST-v4] epoch 327 cur={'auroc_all': 0.7239000358305256, 'aupr_all': 0.3498495698762718, 'auroc_unknown': 0.5, 'aupr_unknown': 0.0, 'val_auc': 0.789795918367347} best={'auroc_all': 0.7239000358305256, 'aupr_all': 0.3498495698762718, 'auroc_unknown': 0.5, 'aupr_unknown': 0.0}
2026-08-10 00:41:01,142 INFO [OUTPOST-v4] epoch 328 cur={'auroc_all': 0.7242705591178753, 'aupr_all': 0.3508630995603176, 'auroc_unknown': 0.5, 'aupr_unknown': 0.0, 'val_auc': 0.7903061224489796} best={'auroc_all': 0.7242705591178753, 'aupr_all': 0.3508630995603176, 'auroc_unknown': 0.5, 'aupr_unknown': 0.0}
2026-08-10 00:41:07,153 INFO [OUTPOST-v4] epoch 329 cur={'auroc_all': 0.7238948115548121, 'aupr_all': 0.35110951835983095, 'auroc_unknown': 0.5, 'aupr_unknown': 0.0, 'val_auc': 0.7902210884353741} best={'auroc_all': 0.7242705591178753, 'aupr_all': 0.35110951835983095, 'auroc_unknown': 0.5, 'aupr_unknown': 0.0}
2026-08-10 00:41:13,150 INFO [OUTPOST-v4] epoch 330 cur={'auroc_all': 0.7238123008427066, 'aupr_all': 0.35164713994206726, 'auroc_unknown': 0.5, 'aupr_unknown': 0.0, 'val_auc': 0.789625850340136} best={'auroc_all': 0.7242705591178753, 'aupr_all': 0.35164713994206726, 'auroc_unknown': 0.5, 'aupr_unknown': 0.0}
2026-08-10 00:41:19,187 INFO [OUTPOST-v4] epoch 331 cur={'auroc_all': 0.7242969945688142, 'aupr_all': 0.3527366055976668, 'auroc_unknown': 0.5, 'aupr_unknown': 0.0, 'val_auc': 0.7898809523809524} best={'auroc_all': 0.7242969945688142, 'aupr_all': 0.3527366055976668, 'auroc_unknown': 0.5, 'aupr_unknown': 0.0}
2026-08-10 00:41:25,203 INFO [OUTPOST-v4] epoch 332 cur={'auroc_all': 0.7248881711452526, 'aupr_all': 0.35394735529318494, 'auroc_unknown': 0.5, 'aupr_unknown': 0.0, 'val_auc': 0.7903911564625851} best={'auroc_all': 0.7248881711452526, 'aupr_all': 0.35394735529318494, 'auroc_unknown': 0.5, 'aupr_unknown': 0.0}
