2026-08-09 00:55:23,692 INFO cli={'dataset': 'yelp', 'method': 'outpost', 'seed': 1, 'train_seed': None, 'epochs': None, 'set': ['sim_topk_frac=0.0'], 'tag': 'C_nosim', 'rotations': None}
2026-08-09 00:55:23,693 INFO config={'alpha_plus': 0.05, 'alpha_r': 0.1, 'atlas_gate_q': 0.9, 'batch_size': 512, 'hidden_dim': 32, 'lambda_halo': 0.2, 'lambda_mixup': 0.2, 'lambda_un': 1.0, 'lr': 0.001, 'margin': 0.1, 'n_layers': 2, 'optimiser': 'adam', 'sampling_sizes': [25, 10], 'tau_minus': 0.05, 'tau_mu': 0.05, 'tau_plus': 0.95, 'use_atlas_gate': True, 'use_conformal': True, 'use_pl': True, 'version': 4, 'weight_decay': 0.0005, 'K_p': 3, 'alpha_f': 0.2, 'drop_out': 0.2, 'input_dim': 32, 'lambda_f': 1.0, 'num_epochs': 400, 'use_atlas_loss': False, 'use_fview_gate': False, 'use_halo': False, 'use_mixup': False, 'warmup_epochs': 10, 'use_hybrid': False, 'sim_topk_frac': 0.0}
2026-08-09 00:55:29,470 INFO [OUTPOST-v4] epoch 0 cur={'auroc_all': 0.5210890216006825, 'aupr_all': 0.16358286256107568, 'auroc_unknown': 0.5, 'aupr_unknown': 0.0, 'val_auc': 0.44226190476190474} best={'auroc_all': 0.5210890216006825, 'aupr_all': 0.16358286256107568, 'auroc_unknown': 0.5, 'aupr_unknown': 0.0}
2026-08-09 00:55:30,928 INFO [OUTPOST-v4] epoch 1 cur={'auroc_all': 0.5193305180789212, 'aupr_all': 0.16311805908722438, 'auroc_unknown': 0.5, 'aupr_unknown': 0.0, 'val_auc': 0.43801020408163266} best={'auroc_all': 0.5210890216006825, 'aupr_all': 0.16358286256107568, 'auroc_unknown': 0.5, 'aupr_unknown': 0.0}
2026-08-09 00:55:32,397 INFO [OUTPOST-v4] epoch 2 cur={'auroc_all': 0.5241358684631081, 'aupr_all': 0.16513692771643113, 'auroc_unknown': 0.5, 'aupr_unknown': 0.0, 'val_auc': 0.43779761904761905} best={'auroc_all': 0.5241358684631081, 'aupr_all': 0.16513692771643113, 'auroc_unknown': 0.5, 'aupr_unknown': 0.0}
2026-08-09 00:55:33,938 INFO [OUTPOST-v4] epoch 3 cur={'auroc_all': 0.4975438945287665, 'aupr_all': 0.15859734825284494, 'auroc_unknown': 0.5, 'aupr_unknown': 0.0, 'val_auc': 0.405187074829932} best={'auroc_all': 0.5241358684631081, 'aupr_all': 0.16513692771643113, 'auroc_unknown': 0.5, 'aupr_unknown': 0.0}
2026-08-09 00:55:35,448 INFO [OUTPOST-v4] epoch 4 cur={'auroc_all': 0.49887832029202217, 'aupr_all': 0.16119268544729443, 'auroc_unknown': 0.5, 'aupr_unknown': 0.0, 'val_auc': 0.41581632653061223} best={'auroc_all': 0.5241358684631081, 'aupr_all': 0.16513692771643113, 'auroc_unknown': 0.5, 'aupr_unknown': 0.0}
2026-08-09 00:55:36,967 INFO [OUTPOST-v4] epoch 5 cur={'auroc_all': 0.5043486850512399, 'aupr_all': 0.1610136388848771, 'auroc_unknown': 0.5, 'aupr_unknown': 0.0, 'val_auc': 0.4372874149659864} best={'auroc_all': 0.5241358684631081, 'aupr_all': 0.16513692771643113, 'auroc_unknown': 0.5, 'aupr_unknown': 0.0}
2026-08-09 00:55:38,426 INFO [OUTPOST-v4] epoch 6 cur={'auroc_all': 0.5065724057065858, 'aupr_all': 0.16083836378050412, 'auroc_unknown': 0.5, 'aupr_unknown': 0.0, 'val_auc': 0.45051020408163267} best={'auroc_all': 0.5241358684631081, 'aupr_all': 0.16513692771643113, 'auroc_unknown': 0.5, 'aupr_unknown': 0.0}
2026-08-09 00:55:39,897 INFO [OUTPOST-v4] epoch 7 cur={'auroc_all': 0.537498022062529, 'aupr_all': 0.17325586841965523, 'auroc_unknown': 0.5, 'aupr_unknown': 0.0, 'val_auc': 0.5306972789115646} best={'auroc_all': 0.537498022062529, 'aupr_all': 0.17325586841965523, 'auroc_unknown': 0.5, 'aupr_unknown': 0.0}
2026-08-09 00:55:41,535 INFO [OUTPOST-v4] epoch 8 cur={'auroc_all': 0.5337867540728845, 'aupr_all': 0.17125624843710469, 'auroc_unknown': 0.5, 'aupr_unknown': 0.0, 'val_auc': 0.5319727891156463} best={'auroc_all': 0.537498022062529, 'aupr_all': 0.17325586841965523, 'auroc_unknown': 0.5, 'aupr_unknown': 0.0}
