2026-08-09 23:18:35,301 INFO cli={'dataset': 'yelp', 'method': 'outpost', 'seed': 1, 'train_seed': None, 'epochs': None, 'set': ['use_fview_gate=true'], 'tag': 'C_fview', 'rotations': None}
2026-08-09 23:18:35,301 INFO config={'alpha_plus': 0.05, 'alpha_r': 0.1, 'atlas_gate_q': 0.9, 'batch_size': 512, 'hidden_dim': 32, 'lambda_halo': 0.2, 'lambda_mixup': 0.2, 'lambda_un': 1.0, 'lr': 0.001, 'margin': 0.1, 'n_layers': 2, 'optimiser': 'adam', 'sampling_sizes': [25, 10], 'tau_minus': 0.05, 'tau_mu': 0.05, 'tau_plus': 0.95, 'use_atlas_gate': True, 'use_conformal': True, 'use_pl': True, 'version': 4, 'weight_decay': 0.0005, 'K_p': 3, 'alpha_f': 0.2, 'drop_out': 0.2, 'input_dim': 32, 'lambda_f': 1.0, 'num_epochs': 400, 'use_atlas_loss': False, 'use_fview_gate': True, 'use_halo': False, 'use_mixup': False, 'warmup_epochs': 10, 'use_hybrid': False, 'sim_topk_frac': 1.0}
2026-08-09 23:18:51,167 INFO [OUTPOST-v4] epoch 0 cur={'auroc_all': 0.5203525362600248, 'aupr_all': 0.1654117439071061, 'auroc_unknown': 0.5, 'aupr_unknown': 0.0, 'val_auc': 0.47648809523809527} best={'auroc_all': 0.5203525362600248, 'aupr_all': 0.1654117439071061, 'auroc_unknown': 0.5, 'aupr_unknown': 0.0}
2026-08-09 23:18:52,811 INFO [OUTPOST-v4] epoch 1 cur={'auroc_all': 0.5236856672732738, 'aupr_all': 0.16747445261425098, 'auroc_unknown': 0.5, 'aupr_unknown': 0.0, 'val_auc': 0.4761904761904762} best={'auroc_all': 0.5236856672732738, 'aupr_all': 0.16747445261425098, 'auroc_unknown': 0.5, 'aupr_unknown': 0.0}
2026-08-09 23:18:54,378 INFO [OUTPOST-v4] epoch 2 cur={'auroc_all': 0.5373191260294584, 'aupr_all': 0.17355009671304597, 'auroc_unknown': 0.5, 'aupr_unknown': 0.0, 'val_auc': 0.482312925170068} best={'auroc_all': 0.5373191260294584, 'aupr_all': 0.17355009671304597, 'auroc_unknown': 0.5, 'aupr_unknown': 0.0}
2026-08-09 23:18:55,929 INFO [OUTPOST-v4] epoch 3 cur={'auroc_all': 0.5650626904464038, 'aupr_all': 0.19423661279101945, 'auroc_unknown': 0.5, 'aupr_unknown': 0.0, 'val_auc': 0.5081632653061224} best={'auroc_all': 0.5650626904464038, 'aupr_all': 0.19423661279101945, 'auroc_unknown': 0.5, 'aupr_unknown': 0.0}
2026-08-09 23:18:57,381 INFO [OUTPOST-v4] epoch 4 cur={'auroc_all': 0.5739858375284165, 'aupr_all': 0.20390418636184712, 'auroc_unknown': 0.5, 'aupr_unknown': 0.0, 'val_auc': 0.5119897959183674} best={'auroc_all': 0.5739858375284165, 'aupr_all': 0.20390418636184712, 'auroc_unknown': 0.5, 'aupr_unknown': 0.0}
2026-08-09 23:18:58,822 INFO [OUTPOST-v4] epoch 5 cur={'auroc_all': 0.5788153920127759, 'aupr_all': 0.20506446386638724, 'auroc_unknown': 0.5, 'aupr_unknown': 0.0, 'val_auc': 0.516921768707483} best={'auroc_all': 0.5788153920127759, 'aupr_all': 0.20506446386638724, 'auroc_unknown': 0.5, 'aupr_unknown': 0.0}
2026-08-09 23:19:00,307 INFO [OUTPOST-v4] epoch 6 cur={'auroc_all': 0.5850298147464852, 'aupr_all': 0.20598747073424525, 'auroc_unknown': 0.5, 'aupr_unknown': 0.0, 'val_auc': 0.5380952380952381} best={'auroc_all': 0.5850298147464852, 'aupr_all': 0.20598747073424525, 'auroc_unknown': 0.5, 'aupr_unknown': 0.0}
2026-08-09 23:19:01,894 INFO [OUTPOST-v4] epoch 7 cur={'auroc_all': 0.6093198414247367, 'aupr_all': 0.21742788860204088, 'auroc_unknown': 0.5, 'aupr_unknown': 0.0, 'val_auc': 0.600170068027211} best={'auroc_all': 0.6093198414247367, 'aupr_all': 0.21742788860204088, 'auroc_unknown': 0.5, 'aupr_unknown': 0.0}
2026-08-09 23:19:03,474 INFO [OUTPOST-v4] epoch 8 cur={'auroc_all': 0.6156635100710118, 'aupr_all': 0.2193703816079871, 'auroc_unknown': 0.5, 'aupr_unknown': 0.0, 'val_auc': 0.6162414965986395} best={'auroc_all': 0.6156635100710118, 'aupr_all': 0.2193703816079871, 'auroc_unknown': 0.5, 'aupr_unknown': 0.0}
