2026-08-09 03:46:01,752 INFO cli={'dataset': 'yelp', 'method': 'outpost', 'seed': 0, 'train_seed': None, 'epochs': None, 'set': ['sim_shuffle=true'], 'tag': 'C_simplacebo', 'rotations': None}
2026-08-09 03:46:01,752 INFO config={'alpha_plus': 0.05, 'alpha_r': 0.1, 'atlas_gate_q': 0.9, 'batch_size': 512, 'hidden_dim': 32, 'lambda_halo': 0.2, 'lambda_mixup': 0.2, 'lambda_un': 1.0, 'lr': 0.001, 'margin': 0.1, 'n_layers': 2, 'optimiser': 'adam', 'sampling_sizes': [25, 10], 'tau_minus': 0.05, 'tau_mu': 0.05, 'tau_plus': 0.95, 'use_atlas_gate': True, 'use_conformal': True, 'use_pl': True, 'version': 4, 'weight_decay': 0.0005, 'K_p': 3, 'alpha_f': 0.2, 'drop_out': 0.2, 'input_dim': 32, 'lambda_f': 1.0, 'num_epochs': 400, 'use_atlas_loss': False, 'use_fview_gate': False, 'use_halo': False, 'use_mixup': False, 'warmup_epochs': 10, 'use_hybrid': False, 'sim_topk_frac': 1.0, 'sim_shuffle': True}
2026-08-09 03:46:17,328 INFO [OUTPOST-v4] epoch 0 cur={'auroc_all': 0.4913429912763341, 'aupr_all': 0.15095286830505547, 'auroc_unknown': 0.5, 'aupr_unknown': 0.0, 'val_auc': 0.3783163265306123} best={'auroc_all': 0.4913429912763341, 'aupr_all': 0.15095286830505547, 'auroc_unknown': 0.5, 'aupr_unknown': 0.0}
2026-08-09 03:46:18,986 INFO [OUTPOST-v4] epoch 1 cur={'auroc_all': 0.4999738539883049, 'aupr_all': 0.15351088840473623, 'auroc_unknown': 0.5, 'aupr_unknown': 0.0, 'val_auc': 0.37844387755102044} best={'auroc_all': 0.4999738539883049, 'aupr_all': 0.15351088840473623, 'auroc_unknown': 0.5, 'aupr_unknown': 0.0}
2026-08-09 03:46:20,718 INFO [OUTPOST-v4] epoch 2 cur={'auroc_all': 0.5044763072301751, 'aupr_all': 0.15508932738072737, 'auroc_unknown': 0.5, 'aupr_unknown': 0.0, 'val_auc': 0.37878401360544217} best={'auroc_all': 0.5044763072301751, 'aupr_all': 0.15508932738072737, 'auroc_unknown': 0.5, 'aupr_unknown': 0.0}
2026-08-09 03:46:22,301 INFO [OUTPOST-v4] epoch 3 cur={'auroc_all': 0.49424429741259296, 'aupr_all': 0.1515627424216322, 'auroc_unknown': 0.5, 'aupr_unknown': 0.0, 'val_auc': 0.3571428571428571} best={'auroc_all': 0.5044763072301751, 'aupr_all': 0.15508932738072737, 'auroc_unknown': 0.5, 'aupr_unknown': 0.0}
2026-08-09 03:46:23,907 INFO [OUTPOST-v4] epoch 4 cur={'auroc_all': 0.5040175932421544, 'aupr_all': 0.15339975369623818, 'auroc_unknown': 0.5, 'aupr_unknown': 0.0, 'val_auc': 0.35106292517006804} best={'auroc_all': 0.5044763072301751, 'aupr_all': 0.15508932738072737, 'auroc_unknown': 0.5, 'aupr_unknown': 0.0}
2026-08-09 03:46:25,584 INFO [OUTPOST-v4] epoch 5 cur={'auroc_all': 0.5123814451725258, 'aupr_all': 0.15569143751208478, 'auroc_unknown': 0.5, 'aupr_unknown': 0.0, 'val_auc': 0.375765306122449} best={'auroc_all': 0.5123814451725258, 'aupr_all': 0.15569143751208478, 'auroc_unknown': 0.5, 'aupr_unknown': 0.0}
2026-08-09 03:46:27,229 INFO [OUTPOST-v4] epoch 6 cur={'auroc_all': 0.5149573661741527, 'aupr_all': 0.15699392932161382, 'auroc_unknown': 0.5, 'aupr_unknown': 0.0, 'val_auc': 0.40127551020408164} best={'auroc_all': 0.5149573661741527, 'aupr_all': 0.15699392932161382, 'auroc_unknown': 0.5, 'aupr_unknown': 0.0}
2026-08-09 03:46:29,051 INFO [OUTPOST-v4] epoch 7 cur={'auroc_all': 0.5177806263525999, 'aupr_all': 0.157739521157299, 'auroc_unknown': 0.5, 'aupr_unknown': 0.0, 'val_auc': 0.41802721088435374} best={'auroc_all': 0.5177806263525999, 'aupr_all': 0.157739521157299, 'auroc_unknown': 0.5, 'aupr_unknown': 0.0}
2026-08-09 03:46:30,766 INFO [OUTPOST-v4] epoch 8 cur={'auroc_all': 0.520944893173805, 'aupr_all': 0.15845512506635634, 'auroc_unknown': 0.5, 'aupr_unknown': 0.0, 'val_auc': 0.43290816326530607} best={'auroc_all': 0.520944893173805, 'aupr_all': 0.15845512506635634, 'auroc_unknown': 0.5, 'aupr_unknown': 0.0}
2026-08-09 03:46:32,386 INFO [OUTPOST-v4] epoch 9 cur={'auroc_all': 0.5217106057198104, 'aupr_all': 0.15832694208998505, 'auroc_unknown': 0.5, 'aupr_unknown': 0.0, 'val_auc': 0.4490646258503401} best={'auroc_all': 0.5217106057198104, 'aupr_all': 0.15845512506635634, 'auroc_unknown': 0.5, 'aupr_unknown': 0.0}
2026-08-09 03:46:39,975 INFO [OUTPOST-v4] epoch 10 cur={'auroc_all': 0.5239857192894062, 'aupr_all': 0.15891081934365447, 'auroc_unknown': 0.5, 'aupr_unknown': 0.0, 'val_auc': 0.4625850340136054} best={'auroc_all': 0.5239857192894062, 'aupr_all': 0.15891081934365447, 'auroc_unknown': 0.5, 'aupr_unknown': 0.0}
2026-08-09 03:46:47,069 INFO [OUTPOST-v4] epoch 11 cur={'auroc_all': 0.526284714675761, 'aupr_all': 0.1595570952001177, 'auroc_unknown': 0.5, 'aupr_unknown': 0.0, 'val_auc': 0.47712585034013605} best={'auroc_all': 0.526284714675761, 'aupr_all': 0.1595570952001177, 'auroc_unknown': 0.5, 'aupr_unknown': 0.0}
2026-08-09 03:46:53,988 INFO [OUTPOST-v4] epoch 12 cur={'auroc_all': 0.5284613552668668, 'aupr_all': 0.16020962643200992, 'auroc_unknown': 0.5, 'aupr_unknown': 0.0, 'val_auc': 0.48920068027210883} best={'auroc_all': 0.5284613552668668, 'aupr_all': 0.16020962643200992, 'auroc_unknown': 0.5, 'aupr_unknown': 0.0}
2026-08-09 03:47:00,833 INFO [OUTPOST-v4] epoch 13 cur={'auroc_all': 0.5305360598723592, 'aupr_all': 0.1608643028955617, 'auroc_unknown': 0.5, 'aupr_unknown': 0.0, 'val_auc': 0.5004251700680272} best={'auroc_all': 0.5305360598723592, 'aupr_all': 0.1608643028955617, 'auroc_unknown': 0.5, 'aupr_unknown': 0.0}
2026-08-09 03:47:07,356 INFO [OUTPOST-v4] epoch 14 cur={'auroc_all': 0.5317214408471128, 'aupr_all': 0.1611718927289219, 'auroc_unknown': 0.5, 'aupr_unknown': 0.0, 'val_auc': 0.5096513605442177} best={'auroc_all': 0.5317214408471128, 'aupr_all': 0.1611718927289219, 'auroc_unknown': 0.5, 'aupr_unknown': 0.0}
