2026-08-10 09:13:17,428 INFO cli={'dataset': 'yelp', 'method': 'outpost', 'seed': 1, 'train_seed': None, 'epochs': None, 'set': ['sim_topk_frac=0.5'], 'tag': 'D_sim0.5', 'rotations': None}
2026-08-10 09:13:17,428 INFO config={'alpha_plus': 0.05, 'alpha_r': 0.1, 'atlas_gate_q': 0.9, 'batch_size': 512, 'hidden_dim': 32, 'lambda_halo': 0.2, 'lambda_mixup': 0.2, 'lambda_un': 1.0, 'lr': 0.001, 'margin': 0.1, 'n_layers': 2, 'optimiser': 'adam', 'sampling_sizes': [25, 10], 'tau_minus': 0.05, 'tau_mu': 0.05, 'tau_plus': 0.95, 'use_atlas_gate': True, 'use_conformal': True, 'use_pl': True, 'version': 4, 'weight_decay': 0.0005, 'K_p': 3, 'alpha_f': 0.2, 'drop_out': 0.2, 'input_dim': 32, 'lambda_f': 1.0, 'num_epochs': 400, 'use_atlas_loss': False, 'use_fview_gate': False, 'use_halo': False, 'use_mixup': False, 'warmup_epochs': 10, 'use_hybrid': False, 'sim_topk_frac': 0.5}
2026-08-10 09:13:32,582 INFO [OUTPOST-v4] epoch 0 cur={'auroc_all': 0.5211375365445784, 'aupr_all': 0.16442680440850704, 'auroc_unknown': 0.5, 'aupr_unknown': 0.0, 'val_auc': 0.4477465986394558} best={'auroc_all': 0.5211375365445784, 'aupr_all': 0.16442680440850704, 'auroc_unknown': 0.5, 'aupr_unknown': 0.0}
2026-08-10 09:13:34,177 INFO [OUTPOST-v4] epoch 1 cur={'auroc_all': 0.5218443471780786, 'aupr_all': 0.16431076242881926, 'auroc_unknown': 0.5, 'aupr_unknown': 0.0, 'val_auc': 0.446641156462585} best={'auroc_all': 0.5218443471780786, 'aupr_all': 0.16442680440850704, 'auroc_unknown': 0.5, 'aupr_unknown': 0.0}
2026-08-10 09:13:35,757 INFO [OUTPOST-v4] epoch 2 cur={'auroc_all': 0.5321660687919325, 'aupr_all': 0.16889648559769033, 'auroc_unknown': 0.5, 'aupr_unknown': 0.0, 'val_auc': 0.4596938775510204} best={'auroc_all': 0.5321660687919325, 'aupr_all': 0.16889648559769033, 'auroc_unknown': 0.5, 'aupr_unknown': 0.0}
2026-08-10 09:13:37,494 INFO [OUTPOST-v4] epoch 3 cur={'auroc_all': 0.5364328445899211, 'aupr_all': 0.17663069338223245, 'auroc_unknown': 0.5, 'aupr_unknown': 0.0, 'val_auc': 0.4588860544217687} best={'auroc_all': 0.5364328445899211, 'aupr_all': 0.17663069338223245, 'auroc_unknown': 0.5, 'aupr_unknown': 0.0}
2026-08-10 09:13:39,156 INFO [OUTPOST-v4] epoch 4 cur={'auroc_all': 0.543382523060692, 'aupr_all': 0.18352069497022572, 'auroc_unknown': 0.5, 'aupr_unknown': 0.0, 'val_auc': 0.4630952380952381} best={'auroc_all': 0.543382523060692, 'aupr_all': 0.18352069497022572, 'auroc_unknown': 0.5, 'aupr_unknown': 0.0}
2026-08-10 09:13:40,710 INFO [OUTPOST-v4] epoch 5 cur={'auroc_all': 0.5463580775476624, 'aupr_all': 0.18136638341473368, 'auroc_unknown': 0.5, 'aupr_unknown': 0.0, 'val_auc': 0.4846938775510204} best={'auroc_all': 0.5463580775476624, 'aupr_all': 0.18352069497022572, 'auroc_unknown': 0.5, 'aupr_unknown': 0.0}
2026-08-10 09:13:42,529 INFO [OUTPOST-v4] epoch 6 cur={'auroc_all': 0.5514217124281606, 'aupr_all': 0.18320380424157443, 'auroc_unknown': 0.5, 'aupr_unknown': 0.0, 'val_auc': 0.49515306122448977} best={'auroc_all': 0.5514217124281606, 'aupr_all': 0.18352069497022572, 'auroc_unknown': 0.5, 'aupr_unknown': 0.0}
2026-08-10 09:13:44,089 INFO [OUTPOST-v4] epoch 7 cur={'auroc_all': 0.5804067125534201, 'aupr_all': 0.19731177330491037, 'auroc_unknown': 0.5, 'aupr_unknown': 0.0, 'val_auc': 0.5754251700680272} best={'auroc_all': 0.5804067125534201, 'aupr_all': 0.19731177330491037, 'auroc_unknown': 0.5, 'aupr_unknown': 0.0}
2026-08-10 09:13:45,738 INFO [OUTPOST-v4] epoch 8 cur={'auroc_all': 0.5846172591331978, 'aupr_all': 0.19917231010313122, 'auroc_unknown': 0.5, 'aupr_unknown': 0.0, 'val_auc': 0.5846938775510204} best={'auroc_all': 0.5846172591331978, 'aupr_all': 0.19917231010313122, 'auroc_unknown': 0.5, 'aupr_unknown': 0.0}
2026-08-10 09:13:47,444 INFO [OUTPOST-v4] epoch 9 cur={'auroc_all': 0.5837653634863829, 'aupr_all': 0.1963020683063263, 'auroc_unknown': 0.5, 'aupr_unknown': 0.0, 'val_auc': 0.5843537414965986} best={'auroc_all': 0.5846172591331978, 'aupr_all': 0.19917231010313122, 'auroc_unknown': 0.5, 'aupr_unknown': 0.0}
2026-08-10 09:13:55,087 INFO [OUTPOST-v4] epoch 10 cur={'auroc_all': 0.5847813978703529, 'aupr_all': 0.1973524793676861, 'auroc_unknown': 0.5, 'aupr_unknown': 0.0, 'val_auc': 0.5733843537414964} best={'auroc_all': 0.5847813978703529, 'aupr_all': 0.19917231010313122, 'auroc_unknown': 0.5, 'aupr_unknown': 0.0}
2026-08-10 09:14:02,745 INFO [OUTPOST-v4] epoch 11 cur={'auroc_all': 0.5836990798467789, 'aupr_all': 0.19544776298615105, 'auroc_unknown': 0.5, 'aupr_unknown': 0.0, 'val_auc': 0.5753401360544217} best={'auroc_all': 0.5847813978703529, 'aupr_all': 0.19917231010313122, 'auroc_unknown': 0.5, 'aupr_unknown': 0.0}
2026-08-10 09:14:10,693 INFO [OUTPOST-v4] epoch 12 cur={'auroc_all': 0.5861498563515086, 'aupr_all': 0.19644150369092805, 'auroc_unknown': 0.5, 'aupr_unknown': 0.0, 'val_auc': 0.5749149659863946} best={'auroc_all': 0.5861498563515086, 'aupr_all': 0.19917231010313122, 'auroc_unknown': 0.5, 'aupr_unknown': 0.0}
