2026-08-21 21:23:55,905 INFO cli={'dataset': 'yelp', 'method': 'outpost', 'seed': 42, 'train_seed': None, 'epochs': None, 'set': ['lr=0.003'], 'tag': 'T_lr0.003', 'rotations': None}
2026-08-21 21:23:55,906 INFO config={'alpha_plus': 0.05, 'alpha_r': 0.1, 'atlas_gate_q': 0.9, 'batch_size': 512, 'hidden_dim': 32, 'lambda_halo': 0.2, 'lambda_mixup': 0.2, 'lambda_un': 1.0, 'lr': 0.003, 'margin': 0.1, 'n_layers': 2, 'optimiser': 'adam', 'sampling_sizes': [25, 10], 'tau_minus': 0.05, 'tau_mu': 0.05, 'tau_plus': 0.95, 'use_atlas_gate': True, 'use_conformal': True, 'use_pl': True, 'version': 4, 'weight_decay': 0.0005, 'K_p': 3, 'alpha_f': 0.2, 'drop_out': 0.2, 'input_dim': 32, 'lambda_f': 1.0, 'num_epochs': 400, 'use_atlas_loss': False, 'use_fview_gate': False, 'use_halo': False, 'use_mixup': False, 'warmup_epochs': 10, 'use_hybrid': False, 'sim_topk_frac': 1.0}
2026-08-21 21:24:06,361 INFO [OUTPOST-v4] epoch 0 cur={'auroc_all': 0.49850481639628896, 'aupr_all': 0.1553180585720695, 'auroc_unknown': 0.5, 'aupr_unknown': 0.0, 'val_auc': 0.5078231292517007} best={'auroc_all': 0.49850481639628896, 'aupr_all': 0.1553180585720695, 'auroc_unknown': 0.5, 'aupr_unknown': 0.0}
2026-08-21 21:24:07,239 INFO [OUTPOST-v4] epoch 1 cur={'auroc_all': 0.5101285137339168, 'aupr_all': 0.15818548204739005, 'auroc_unknown': 0.5, 'aupr_unknown': 0.0, 'val_auc': 0.4860544217687075} best={'auroc_all': 0.5101285137339168, 'aupr_all': 0.15818548204739005, 'auroc_unknown': 0.5, 'aupr_unknown': 0.0}
2026-08-21 21:24:08,175 INFO [OUTPOST-v4] epoch 2 cur={'auroc_all': 0.5097999201344752, 'aupr_all': 0.15675779935790626, 'auroc_unknown': 0.5, 'aupr_unknown': 0.0, 'val_auc': 0.47372448979591836} best={'auroc_all': 0.5101285137339168, 'aupr_all': 0.15818548204739005, 'auroc_unknown': 0.5, 'aupr_unknown': 0.0}
2026-08-21 21:24:09,051 INFO [OUTPOST-v4] epoch 3 cur={'auroc_all': 0.5103517268154669, 'aupr_all': 0.15656284967566247, 'auroc_unknown': 0.5, 'aupr_unknown': 0.0, 'val_auc': 0.4609693877551021} best={'auroc_all': 0.5103517268154669, 'aupr_all': 0.15818548204739005, 'auroc_unknown': 0.5, 'aupr_unknown': 0.0}
2026-08-21 21:24:09,884 INFO [OUTPOST-v4] epoch 4 cur={'auroc_all': 0.5111362364902385, 'aupr_all': 0.1563562804677733, 'auroc_unknown': 0.5, 'aupr_unknown': 0.0, 'val_auc': 0.4574829931972789} best={'auroc_all': 0.5111362364902385, 'aupr_all': 0.15818548204739005, 'auroc_unknown': 0.5, 'aupr_unknown': 0.0}
2026-08-21 21:24:10,646 INFO [OUTPOST-v4] epoch 5 cur={'auroc_all': 0.512211308268913, 'aupr_all': 0.15625959658872612, 'auroc_unknown': 0.5, 'aupr_unknown': 0.0, 'val_auc': 0.45969387755102037} best={'auroc_all': 0.512211308268913, 'aupr_all': 0.15818548204739005, 'auroc_unknown': 0.5, 'aupr_unknown': 0.0}
2026-08-21 21:24:11,443 INFO [OUTPOST-v4] epoch 6 cur={'auroc_all': 0.514251009200744, 'aupr_all': 0.15680632170197117, 'auroc_unknown': 0.5, 'aupr_unknown': 0.0, 'val_auc': 0.46454081632653066} best={'auroc_all': 0.514251009200744, 'aupr_all': 0.15818548204739005, 'auroc_unknown': 0.5, 'aupr_unknown': 0.0}
2026-08-21 21:24:12,303 INFO [OUTPOST-v4] epoch 7 cur={'auroc_all': 0.5163615652700234, 'aupr_all': 0.15750352827266545, 'auroc_unknown': 0.5, 'aupr_unknown': 0.0, 'val_auc': 0.4701530612244898} best={'auroc_all': 0.5163615652700234, 'aupr_all': 0.15818548204739005, 'auroc_unknown': 0.5, 'aupr_unknown': 0.0}
2026-08-21 21:24:13,092 INFO [OUTPOST-v4] epoch 8 cur={'auroc_all': 0.5179976318861117, 'aupr_all': 0.15822269690360252, 'auroc_unknown': 0.5, 'aupr_unknown': 0.0, 'val_auc': 0.47227891156462587} best={'auroc_all': 0.5179976318861117, 'aupr_all': 0.15822269690360252, 'auroc_unknown': 0.5, 'aupr_unknown': 0.0}
2026-08-21 21:24:14,018 INFO [OUTPOST-v4] epoch 9 cur={'auroc_all': 0.5190717142341794, 'aupr_all': 0.15878584641635538, 'auroc_unknown': 0.5, 'aupr_unknown': 0.0, 'val_auc': 0.47261904761904766} best={'auroc_all': 0.5190717142341794, 'aupr_all': 0.15878584641635538, 'auroc_unknown': 0.5, 'aupr_unknown': 0.0}
2026-08-21 21:24:18,791 INFO [OUTPOST-v4] epoch 10 cur={'auroc_all': 0.5196703874923096, 'aupr_all': 0.15926760141735363, 'auroc_unknown': 0.5, 'aupr_unknown': 0.0, 'val_auc': 0.4712159863945578} best={'auroc_all': 0.5196703874923096, 'aupr_all': 0.15926760141735363, 'auroc_unknown': 0.5, 'aupr_unknown': 0.0}
2026-08-21 21:24:23,257 INFO [OUTPOST-v4] epoch 11 cur={'auroc_all': 0.5198414932989232, 'aupr_all': 0.15965960764568787, 'auroc_unknown': 0.5, 'aupr_unknown': 0.0, 'val_auc': 0.46981292517006806} best={'auroc_all': 0.5198414932989232, 'aupr_all': 0.15965960764568787, 'auroc_unknown': 0.5, 'aupr_unknown': 0.0}
2026-08-21 21:24:28,048 INFO [OUTPOST-v4] epoch 12 cur={'auroc_all': 0.5195511631569674, 'aupr_all': 0.15995088742296662, 'auroc_unknown': 0.5, 'aupr_unknown': 0.0, 'val_auc': 0.4663265306122448} best={'auroc_all': 0.5198414932989232, 'aupr_all': 0.15995088742296662, 'auroc_unknown': 0.5, 'aupr_unknown': 0.0}
2026-08-21 21:24:32,996 INFO [OUTPOST-v4] epoch 13 cur={'auroc_all': 0.5189774104124574, 'aupr_all': 0.16019911014724933, 'auroc_unknown': 0.5, 'aupr_unknown': 0.0, 'val_auc': 0.46326530612244904} best={'auroc_all': 0.5198414932989232, 'aupr_all': 0.16019911014724933, 'auroc_unknown': 0.5, 'aupr_unknown': 0.0}
2026-08-21 21:24:37,714 INFO [OUTPOST-v4] epoch 14 cur={'auroc_all': 0.5184746380237919, 'aupr_all': 0.16050853608607735, 'auroc_unknown': 0.5, 'aupr_unknown': 0.0, 'val_auc': 0.4579931972789116} best={'auroc_all': 0.5198414932989232, 'aupr_all': 0.16050853608607735, 'auroc_unknown': 0.5, 'aupr_unknown': 0.0}
2026-08-21 21:24:42,443 INFO [OUTPOST-v4] epoch 15 cur={'auroc_all': 0.5182338512587901, 'aupr_all': 0.16097289408409315, 'auroc_unknown': 0.5, 'aupr_unknown': 0.0, 'val_auc': 0.45527210884353736} best={'auroc_all': 0.5198414932989232, 'aupr_all': 0.16097289408409315, 'auroc_unknown': 0.5, 'aupr_unknown': 0.0}
2026-08-21 21:24:47,221 INFO [OUTPOST-v4] epoch 16 cur={'auroc_all': 0.5181427969570895, 'aupr_all': 0.1614890279594415, 'auroc_unknown': 0.5, 'aupr_unknown': 0.0, 'val_auc': 0.45119047619047625} best={'auroc_all': 0.5198414932989232, 'aupr_all': 0.1614890279594415, 'auroc_unknown': 0.5, 'aupr_unknown': 0.0}
2026-08-21 21:24:52,185 INFO [OUTPOST-v4] epoch 17 cur={'auroc_all': 0.5181663051714204, 'aupr_all': 0.16204523920518343, 'auroc_unknown': 0.5, 'aupr_unknown': 0.0, 'val_auc': 0.449234693877551} best={'auroc_all': 0.5198414932989232, 'aupr_all': 0.16204523920518343, 'auroc_unknown': 0.5, 'aupr_unknown': 0.0}
2026-08-21 21:24:57,100 INFO [OUTPOST-v4] epoch 18 cur={'auroc_all': 0.5184550977956907, 'aupr_all': 0.1626824192186266, 'auroc_unknown': 0.5, 'aupr_unknown': 0.0, 'val_auc': 0.4485544217687075} best={'auroc_all': 0.5198414932989232, 'aupr_all': 0.1626824192186266, 'auroc_unknown': 0.5, 'aupr_unknown': 0.0}
2026-08-21 21:25:02,033 INFO [OUTPOST-v4] epoch 19 cur={'auroc_all': 0.5190153639030934, 'aupr_all': 0.16340102278410848, 'auroc_unknown': 0.5, 'aupr_unknown': 0.0, 'val_auc': 0.4497448979591837} best={'auroc_all': 0.5198414932989232, 'aupr_all': 0.16340102278410848, 'auroc_unknown': 0.5, 'aupr_unknown': 0.0}
2026-08-21 21:25:06,880 INFO [OUTPOST-v4] epoch 20 cur={'auroc_all': 0.5195394767909016, 'aupr_all': 0.16402705080722652, 'auroc_unknown': 0.5, 'aupr_unknown': 0.0, 'val_auc': 0.45042517006802724} best={'auroc_all': 0.5198414932989232, 'aupr_all': 0.16402705080722652, 'auroc_unknown': 0.5, 'aupr_unknown': 0.0}
2026-08-21 21:25:11,627 INFO [OUTPOST-v4] epoch 21 cur={'auroc_all': 0.5200880709015627, 'aupr_all': 0.16457211156658472, 'auroc_unknown': 0.5, 'aupr_unknown': 0.0, 'val_auc': 0.44974489795918365} best={'auroc_all': 0.5200880709015627, 'aupr_all': 0.16457211156658472, 'auroc_unknown': 0.5, 'aupr_unknown': 0.0}
2026-08-21 21:25:16,429 INFO [OUTPOST-v4] epoch 22 cur={'auroc_all': 0.5206166321215797, 'aupr_all': 0.16493032906566457, 'auroc_unknown': 0.5, 'aupr_unknown': 0.0, 'val_auc': 0.4509353741496599} best={'auroc_all': 0.5206166321215797, 'aupr_all': 0.16493032906566457, 'auroc_unknown': 0.5, 'aupr_unknown': 0.0}
2026-08-21 21:25:21,271 INFO [OUTPOST-v4] epoch 23 cur={'auroc_all': 0.5211947531406355, 'aupr_all': 0.16532510487181176, 'auroc_unknown': 0.5, 'aupr_unknown': 0.0, 'val_auc': 0.45153061224489793} best={'auroc_all': 0.5211947531406355, 'aupr_all': 0.16532510487181176, 'auroc_unknown': 0.5, 'aupr_unknown': 0.0}
2026-08-21 21:25:26,158 INFO [OUTPOST-v4] epoch 24 cur={'auroc_all': 0.5215343905920766, 'aupr_all': 0.1655312298137603, 'auroc_unknown': 0.5, 'aupr_unknown': 0.0, 'val_auc': 0.452125850340136} best={'auroc_all': 0.5215343905920766, 'aupr_all': 0.1655312298137603, 'auroc_unknown': 0.5, 'aupr_unknown': 0.0}
