2026-08-10 07:05:12,814 INFO cli={'dataset': 'yelp', 'method': 'outpost', 'seed': 6, 'train_seed': None, 'epochs': None, 'set': ['use_atlas_gate=false'], 'tag': 'C_nogate', 'rotations': None}
2026-08-10 07:19:09,195 INFO [OUTPOST-v4] epoch 114 cur={'auroc_all': 0.5847435593343101, 'aupr_all': 0.18837423651865925, 'auroc_unknown': 0.5, 'aupr_unknown': 0.0, 'val_auc': 0.568452380952381} best={'auroc_all': 0.5847435593343101, 'aupr_all': 0.18837423651865925, 'auroc_unknown': 0.5, 'aupr_unknown': 0.0}
2026-08-10 07:19:16,915 INFO [OUTPOST-v4] epoch 115 cur={'auroc_all': 0.585668120653418, 'aupr_all': 0.1890703598603983, 'auroc_unknown': 0.5, 'aupr_unknown': 0.0, 'val_auc': 0.5689625850340135} best={'auroc_all': 0.585668120653418, 'aupr_all': 0.1890703598603983, 'auroc_unknown': 0.5, 'aupr_unknown': 0.0}
2026-08-10 07:19:24,340 INFO [OUTPOST-v4] epoch 116 cur={'auroc_all': 0.5865567319762303, 'aupr_all': 0.18969481234754312, 'auroc_unknown': 0.5, 'aupr_unknown': 0.0, 'val_auc': 0.5701530612244897} best={'auroc_all': 0.5865567319762303, 'aupr_all': 0.18969481234754312, 'auroc_unknown': 0.5, 'aupr_unknown': 0.0}
2026-08-10 07:19:31,603 INFO [OUTPOST-v4] epoch 117 cur={'auroc_all': 0.587363087129251, 'aupr_all': 0.1903023629038113, 'auroc_unknown': 0.5, 'aupr_unknown': 0.0, 'val_auc': 0.5702380952380951} best={'auroc_all': 0.587363087129251, 'aupr_all': 0.1903023629038113, 'auroc_unknown': 0.5, 'aupr_unknown': 0.0}
2026-08-10 07:19:39,417 INFO [OUTPOST-v4] epoch 118 cur={'auroc_all': 0.5882676771405326, 'aupr_all': 0.19091462792083744, 'auroc_unknown': 0.5, 'aupr_unknown': 0.0, 'val_auc': 0.5705782312925171} best={'auroc_all': 0.5882676771405326, 'aupr_all': 0.19091462792083744, 'auroc_unknown': 0.5, 'aupr_unknown': 0.0}
2026-08-10 07:19:47,512 INFO [OUTPOST-v4] epoch 119 cur={'auroc_all': 0.5891554283566558, 'aupr_all': 0.191456431119281, 'auroc_unknown': 0.5, 'aupr_unknown': 0.0, 'val_auc': 0.570578231292517} best={'auroc_all': 0.5891554283566558, 'aupr_all': 0.191456431119281, 'auroc_unknown': 0.5, 'aupr_unknown': 0.0}
2026-08-10 07:19:55,240 INFO [OUTPOST-v4] epoch 120 cur={'auroc_all': 0.5899601371956795, 'aupr_all': 0.1919369900836424, 'auroc_unknown': 0.5, 'aupr_unknown': 0.0, 'val_auc': 0.5710034013605443} best={'auroc_all': 0.5899601371956795, 'aupr_all': 0.1919369900836424, 'auroc_unknown': 0.5, 'aupr_unknown': 0.0}
2026-08-10 07:20:03,150 INFO [OUTPOST-v4] epoch 121 cur={'auroc_all': 0.5909433972039939, 'aupr_all': 0.1925428253573792, 'auroc_unknown': 0.5, 'aupr_unknown': 0.0, 'val_auc': 0.5719387755102041} best={'auroc_all': 0.5909433972039939, 'aupr_all': 0.1925428253573792, 'auroc_unknown': 0.5, 'aupr_unknown': 0.0}
2026-08-10 07:20:10,878 INFO [OUTPOST-v4] epoch 122 cur={'auroc_all': 0.5920622133109421, 'aupr_all': 0.19320232395445844, 'auroc_unknown': 0.5, 'aupr_unknown': 0.0, 'val_auc': 0.5727040816326531} best={'auroc_all': 0.5920622133109421, 'aupr_all': 0.19320232395445844, 'auroc_unknown': 0.5, 'aupr_unknown': 0.0}
2026-08-10 07:20:19,083 INFO [OUTPOST-v4] epoch 123 cur={'auroc_all': 0.593255257240996, 'aupr_all': 0.19391766508179134, 'auroc_unknown': 0.5, 'aupr_unknown': 0.0, 'val_auc': 0.5732993197278912} best={'auroc_all': 0.593255257240996, 'aupr_all': 0.19391766508179134, 'auroc_unknown': 0.5, 'aupr_unknown': 0.0}
