2026-08-21 20:51:34,304 INFO cli={'dataset': 'yelp', 'method': 'outpost', 'seed': 1, 'train_seed': None, 'epochs': None, 'set': ['warmup_epochs=5'], 'tag': 'T_warmup5', 'rotations': None}
2026-08-21 20:51:34,304 INFO config={'alpha_plus': 0.05, 'alpha_r': 0.1, 'atlas_gate_q': 0.9, 'batch_size': 512, 'hidden_dim': 32, 'lambda_halo': 0.2, 'lambda_mixup': 0.2, 'lambda_un': 1.0, 'lr': 0.001, 'margin': 0.1, 'n_layers': 2, 'optimiser': 'adam', 'sampling_sizes': [25, 10], 'tau_minus': 0.05, 'tau_mu': 0.05, 'tau_plus': 0.95, 'use_atlas_gate': True, 'use_conformal': True, 'use_pl': True, 'version': 4, 'weight_decay': 0.0005, 'K_p': 3, 'alpha_f': 0.2, 'drop_out': 0.2, 'input_dim': 32, 'lambda_f': 1.0, 'num_epochs': 400, 'use_atlas_loss': False, 'use_fview_gate': False, 'use_halo': False, 'use_mixup': False, 'warmup_epochs': 5, 'use_hybrid': False, 'sim_topk_frac': 1.0}
2026-08-21 20:51:44,584 INFO [OUTPOST-v4] epoch 0 cur={'auroc_all': 0.5203528195409868, 'aupr_all': 0.16541134610186842, 'auroc_unknown': 0.5, 'aupr_unknown': 0.0, 'val_auc': 0.476530612244898} best={'auroc_all': 0.5203528195409868, 'aupr_all': 0.16541134610186842, 'auroc_unknown': 0.5, 'aupr_unknown': 0.0}
2026-08-21 20:51:45,477 INFO [OUTPOST-v4] epoch 1 cur={'auroc_all': 0.5236859197628271, 'aupr_all': 0.16747456149231132, 'auroc_unknown': 0.5, 'aupr_unknown': 0.0, 'val_auc': 0.4762755102040816} best={'auroc_all': 0.5236859197628271, 'aupr_all': 0.16747456149231132, 'auroc_unknown': 0.5, 'aupr_unknown': 0.0}
2026-08-21 20:51:46,356 INFO [OUTPOST-v4] epoch 2 cur={'auroc_all': 0.5373192184036852, 'aupr_all': 0.17354976763953545, 'auroc_unknown': 0.5, 'aupr_unknown': 0.0, 'val_auc': 0.48239795918367345} best={'auroc_all': 0.5373192184036852, 'aupr_all': 0.17354976763953545, 'auroc_unknown': 0.5, 'aupr_unknown': 0.0}
2026-08-21 20:51:47,277 INFO [OUTPOST-v4] epoch 3 cur={'auroc_all': 0.565061980191238, 'aupr_all': 0.19423657164612368, 'auroc_unknown': 0.5, 'aupr_unknown': 0.0, 'val_auc': 0.5081632653061224} best={'auroc_all': 0.565061980191238, 'aupr_all': 0.19423657164612368, 'auroc_unknown': 0.5, 'aupr_unknown': 0.0}
2026-08-21 20:51:48,351 INFO [OUTPOST-v4] epoch 4 cur={'auroc_all': 0.5739849897382908, 'aupr_all': 0.20390439269875954, 'auroc_unknown': 0.5, 'aupr_unknown': 0.0, 'val_auc': 0.5119897959183674} best={'auroc_all': 0.5739849897382908, 'aupr_all': 0.20390439269875954, 'auroc_unknown': 0.5, 'aupr_unknown': 0.0}
2026-08-21 20:51:53,290 INFO [OUTPOST-v4] epoch 5 cur={'auroc_all': 0.5788148644533031, 'aupr_all': 0.20506405070340117, 'auroc_unknown': 0.5, 'aupr_unknown': 0.0, 'val_auc': 0.5168367346938776} best={'auroc_all': 0.5788148644533031, 'aupr_all': 0.20506405070340117, 'auroc_unknown': 0.5, 'aupr_unknown': 0.0}
2026-08-21 20:51:58,032 INFO [OUTPOST-v4] epoch 6 cur={'auroc_all': 0.5850328487266443, 'aupr_all': 0.2059871351865144, 'auroc_unknown': 0.5, 'aupr_unknown': 0.0, 'val_auc': 0.5380952380952381} best={'auroc_all': 0.5850328487266443, 'aupr_all': 0.2059871351865144, 'auroc_unknown': 0.5, 'aupr_unknown': 0.0}
2026-08-21 20:52:02,925 INFO [OUTPOST-v4] epoch 7 cur={'auroc_all': 0.6093304993577445, 'aupr_all': 0.21743127477392107, 'auroc_unknown': 0.5, 'aupr_unknown': 0.0, 'val_auc': 0.6003401360544218} best={'auroc_all': 0.6093304993577445, 'aupr_all': 0.21743127477392107, 'auroc_unknown': 0.5, 'aupr_unknown': 0.0}
2026-08-21 20:52:07,724 INFO [OUTPOST-v4] epoch 8 cur={'auroc_all': 0.6156474123224278, 'aupr_all': 0.2193579077790339, 'auroc_unknown': 0.5, 'aupr_unknown': 0.0, 'val_auc': 0.6162414965986395} best={'auroc_all': 0.6156474123224278, 'aupr_all': 0.2193579077790339, 'auroc_unknown': 0.5, 'aupr_unknown': 0.0}
