2026-08-08 06:50:41,314 INFO cli={'dataset': 'yelp', 'method': 'outpost', 'seed': 8, 'train_seed': None, 'epochs': None, 'set': [], 'tag': 'A_main', 'rotations': None}
2026-08-08 06:50:41,314 INFO config={'alpha_plus': 0.05, 'alpha_r': 0.1, 'atlas_gate_q': 0.9, 'batch_size': 512, 'hidden_dim': 32, 'lambda_halo': 0.2, 'lambda_mixup': 0.2, 'lambda_un': 1.0, 'lr': 0.001, 'margin': 0.1, 'n_layers': 2, 'optimiser': 'adam', 'sampling_sizes': [25, 10], 'tau_minus': 0.05, 'tau_mu': 0.05, 'tau_plus': 0.95, 'use_atlas_gate': True, 'use_conformal': True, 'use_pl': True, 'version': 4, 'weight_decay': 0.0005, 'K_p': 3, 'alpha_f': 0.2, 'drop_out': 0.2, 'input_dim': 32, 'lambda_f': 1.0, 'num_epochs': 400, 'use_atlas_loss': False, 'use_fview_gate': False, 'use_halo': False, 'use_mixup': False, 'warmup_epochs': 10, 'use_hybrid': False, 'sim_topk_frac': 1.0}
2026-08-08 06:50:57,458 INFO [OUTPOST-v4] epoch 0 cur={'auroc_all': 0.49616504497348035, 'aupr_all': 0.15201745178919093, 'auroc_unknown': 0.5, 'aupr_unknown': 0.0, 'val_auc': 0.45697278911564626} best={'auroc_all': 0.49616504497348035, 'aupr_all': 0.15201745178919093, 'auroc_unknown': 0.5, 'aupr_unknown': 0.0}
2026-08-08 06:50:59,139 INFO [OUTPOST-v4] epoch 1 cur={'auroc_all': 0.49989162860992215, 'aupr_all': 0.15830020599610517, 'auroc_unknown': 0.5, 'aupr_unknown': 0.0, 'val_auc': 0.46641156462585037} best={'auroc_all': 0.49989162860992215, 'aupr_all': 0.15830020599610517, 'auroc_unknown': 0.5, 'aupr_unknown': 0.0}
2026-08-08 06:51:00,777 INFO [OUTPOST-v4] epoch 2 cur={'auroc_all': 0.500759753381999, 'aupr_all': 0.1583822181036616, 'auroc_unknown': 0.5, 'aupr_unknown': 0.0, 'val_auc': 0.4784438775510204} best={'auroc_all': 0.500759753381999, 'aupr_all': 0.1583822181036616, 'auroc_unknown': 0.5, 'aupr_unknown': 0.0}
2026-08-08 06:51:02,342 INFO [OUTPOST-v4] epoch 3 cur={'auroc_all': 0.4819474814011063, 'aupr_all': 0.14543520696271567, 'auroc_unknown': 0.5, 'aupr_unknown': 0.0, 'val_auc': 0.4349914965986394} best={'auroc_all': 0.500759753381999, 'aupr_all': 0.1583822181036616, 'auroc_unknown': 0.5, 'aupr_unknown': 0.0}
2026-08-08 06:51:04,158 INFO [OUTPOST-v4] epoch 4 cur={'auroc_all': 0.4286781571665276, 'aupr_all': 0.12766696055547497, 'auroc_unknown': 0.5, 'aupr_unknown': 0.0, 'val_auc': 0.4490646258503402} best={'auroc_all': 0.500759753381999, 'aupr_all': 0.1583822181036616, 'auroc_unknown': 0.5, 'aupr_unknown': 0.0}
2026-08-08 06:51:05,954 INFO [OUTPOST-v4] epoch 5 cur={'auroc_all': 0.42282494023982836, 'aupr_all': 0.1253370038681127, 'auroc_unknown': 0.5, 'aupr_unknown': 0.0, 'val_auc': 0.44421768707482995} best={'auroc_all': 0.500759753381999, 'aupr_all': 0.1583822181036616, 'auroc_unknown': 0.5, 'aupr_unknown': 0.0}
2026-08-08 06:51:07,677 INFO [OUTPOST-v4] epoch 6 cur={'auroc_all': 0.4461961820672854, 'aupr_all': 0.1317213478855161, 'auroc_unknown': 0.5, 'aupr_unknown': 0.0, 'val_auc': 0.47104591836734694} best={'auroc_all': 0.500759753381999, 'aupr_all': 0.1583822181036616, 'auroc_unknown': 0.5, 'aupr_unknown': 0.0}
2026-08-08 06:51:09,440 INFO [OUTPOST-v4] epoch 7 cur={'auroc_all': 0.46464408493709153, 'aupr_all': 0.1372272436994562, 'auroc_unknown': 0.5, 'aupr_unknown': 0.0, 'val_auc': 0.489030612244898} best={'auroc_all': 0.500759753381999, 'aupr_all': 0.1583822181036616, 'auroc_unknown': 0.5, 'aupr_unknown': 0.0}
2026-08-08 06:51:11,163 INFO [OUTPOST-v4] epoch 8 cur={'auroc_all': 0.48525075090598385, 'aupr_all': 0.1442954926014415, 'auroc_unknown': 0.5, 'aupr_unknown': 0.0, 'val_auc': 0.502295918367347} best={'auroc_all': 0.500759753381999, 'aupr_all': 0.1583822181036616, 'auroc_unknown': 0.5, 'aupr_unknown': 0.0}
2026-08-08 06:51:12,787 INFO [OUTPOST-v4] epoch 9 cur={'auroc_all': 0.4941596559349903, 'aupr_all': 0.14785490242873997, 'auroc_unknown': 0.5, 'aupr_unknown': 0.0, 'val_auc': 0.5099489795918368} best={'auroc_all': 0.500759753381999, 'aupr_all': 0.1583822181036616, 'auroc_unknown': 0.5, 'aupr_unknown': 0.0}
2026-08-08 06:51:21,340 INFO [OUTPOST-v4] epoch 10 cur={'auroc_all': 0.5013500924321146, 'aupr_all': 0.15074631815013606, 'auroc_unknown': 0.5, 'aupr_unknown': 0.0, 'val_auc': 0.511437074829932} best={'auroc_all': 0.5013500924321146, 'aupr_all': 0.1583822181036616, 'auroc_unknown': 0.5, 'aupr_unknown': 0.0}
2026-08-08 06:51:29,258 INFO [OUTPOST-v4] epoch 11 cur={'auroc_all': 0.5073850094628568, 'aupr_all': 0.15319947743334583, 'auroc_unknown': 0.5, 'aupr_unknown': 0.0, 'val_auc': 0.5171768707482993} best={'auroc_all': 0.5073850094628568, 'aupr_all': 0.1583822181036616, 'auroc_unknown': 0.5, 'aupr_unknown': 0.0}
2026-08-08 06:51:37,028 INFO [OUTPOST-v4] epoch 12 cur={'auroc_all': 0.5119698769370844, 'aupr_all': 0.15514361747535166, 'auroc_unknown': 0.5, 'aupr_unknown': 0.0, 'val_auc': 0.5203231292517007} best={'auroc_all': 0.5119698769370844, 'aupr_all': 0.1583822181036616, 'auroc_unknown': 0.5, 'aupr_unknown': 0.0}
2026-08-08 06:51:44,913 INFO [OUTPOST-v4] epoch 13 cur={'auroc_all': 0.5156894647654194, 'aupr_all': 0.1566999938471084, 'auroc_unknown': 0.5, 'aupr_unknown': 0.0, 'val_auc': 0.5258503401360545} best={'auroc_all': 0.5156894647654194, 'aupr_all': 0.1583822181036616, 'auroc_unknown': 0.5, 'aupr_unknown': 0.0}
2026-08-08 06:51:52,555 INFO [OUTPOST-v4] epoch 14 cur={'auroc_all': 0.5169564450265745, 'aupr_all': 0.15576504559021603, 'auroc_unknown': 0.5, 'aupr_unknown': 0.0, 'val_auc': 0.5231292517006803} best={'auroc_all': 0.5169564450265745, 'aupr_all': 0.1583822181036616, 'auroc_unknown': 0.5, 'aupr_unknown': 0.0}
2026-08-08 06:51:59,910 INFO [OUTPOST-v4] epoch 15 cur={'auroc_all': 0.5197691232241557, 'aupr_all': 0.15704743345920563, 'auroc_unknown': 0.5, 'aupr_unknown': 0.0, 'val_auc': 0.5264455782312926} best={'auroc_all': 0.5197691232241557, 'aupr_all': 0.1583822181036616, 'auroc_unknown': 0.5, 'aupr_unknown': 0.0}
2026-08-08 06:52:07,713 INFO [OUTPOST-v4] epoch 16 cur={'auroc_all': 0.5222374754650975, 'aupr_all': 0.15817980516500718, 'auroc_unknown': 0.5, 'aupr_unknown': 0.0, 'val_auc': 0.5308673469387755} best={'auroc_all': 0.5222374754650975, 'aupr_all': 0.1583822181036616, 'auroc_unknown': 0.5, 'aupr_unknown': 0.0}
2026-08-08 06:52:15,260 INFO [OUTPOST-v4] epoch 17 cur={'auroc_all': 0.5242003107764586, 'aupr_all': 0.1589723485493709, 'auroc_unknown': 0.5, 'aupr_unknown': 0.0, 'val_auc': 0.5346938775510204} best={'auroc_all': 0.5242003107764586, 'aupr_all': 0.1589723485493709, 'auroc_unknown': 0.5, 'aupr_unknown': 0.0}
2026-08-08 06:52:23,140 INFO [OUTPOST-v4] epoch 18 cur={'auroc_all': 0.5263004306108744, 'aupr_all': 0.1597818651811653, 'auroc_unknown': 0.5, 'aupr_unknown': 0.0, 'val_auc': 0.536734693877551} best={'auroc_all': 0.5263004306108744, 'aupr_all': 0.1597818651811653, 'auroc_unknown': 0.5, 'aupr_unknown': 0.0}
2026-08-08 06:52:30,899 INFO [OUTPOST-v4] epoch 19 cur={'auroc_all': 0.5281906659382815, 'aupr_all': 0.16051553628290216, 'auroc_unknown': 0.5, 'aupr_unknown': 0.0, 'val_auc': 0.5399659863945578} best={'auroc_all': 0.5281906659382815, 'aupr_all': 0.16051553628290216, 'auroc_unknown': 0.5, 'aupr_unknown': 0.0}
2026-08-08 06:52:38,789 INFO [OUTPOST-v4] epoch 20 cur={'auroc_all': 0.5299174645726571, 'aupr_all': 0.16113298780604357, 'auroc_unknown': 0.5, 'aupr_unknown': 0.0, 'val_auc': 0.5431972789115647} best={'auroc_all': 0.5299174645726571, 'aupr_all': 0.16113298780604357, 'auroc_unknown': 0.5, 'aupr_unknown': 0.0}
2026-08-08 06:52:46,402 INFO [OUTPOST-v4] epoch 21 cur={'auroc_all': 0.5313410129898937, 'aupr_all': 0.16163183130133923, 'auroc_unknown': 0.5, 'aupr_unknown': 0.0, 'val_auc': 0.5470238095238096} best={'auroc_all': 0.5313410129898937, 'aupr_all': 0.16163183130133923, 'auroc_unknown': 0.5, 'aupr_unknown': 0.0}
2026-08-08 06:52:54,236 INFO [OUTPOST-v4] epoch 22 cur={'auroc_all': 0.5325374357638865, 'aupr_all': 0.1619782504961791, 'auroc_unknown': 0.5, 'aupr_unknown': 0.0, 'val_auc': 0.549404761904762} best={'auroc_all': 0.5325374357638865, 'aupr_all': 0.1619782504961791, 'auroc_unknown': 0.5, 'aupr_unknown': 0.0}
2026-08-08 06:53:01,882 INFO [OUTPOST-v4] epoch 23 cur={'auroc_all': 0.533663559698552, 'aupr_all': 0.1622756152510199, 'auroc_unknown': 0.5, 'aupr_unknown': 0.0, 'val_auc': 0.5513605442176871} best={'auroc_all': 0.533663559698552, 'aupr_all': 0.1622756152510199, 'auroc_unknown': 0.5, 'aupr_unknown': 0.0}
2026-08-08 06:53:09,602 INFO [OUTPOST-v4] epoch 24 cur={'auroc_all': 0.534711590461912, 'aupr_all': 0.16251513987622193, 'auroc_unknown': 0.5, 'aupr_unknown': 0.0, 'val_auc': 0.5525510204081633} best={'auroc_all': 0.534711590461912, 'aupr_all': 0.16251513987622193, 'auroc_unknown': 0.5, 'aupr_unknown': 0.0}
2026-08-08 06:53:17,574 INFO [OUTPOST-v4] epoch 25 cur={'auroc_all': 0.5357048289394772, 'aupr_all': 0.16271394777031084, 'auroc_unknown': 0.5, 'aupr_unknown': 0.0, 'val_auc': 0.5543367346938776} best={'auroc_all': 0.5357048289394772, 'aupr_all': 0.16271394777031084, 'auroc_unknown': 0.5, 'aupr_unknown': 0.0}
2026-08-08 06:53:25,771 INFO [OUTPOST-v4] epoch 26 cur={'auroc_all': 0.5366183012458524, 'aupr_all': 0.1629200031873611, 'auroc_unknown': 0.5, 'aupr_unknown': 0.0, 'val_auc': 0.5557823129251701} best={'auroc_all': 0.5366183012458524, 'aupr_all': 0.1629200031873611, 'auroc_unknown': 0.5, 'aupr_unknown': 0.0}
2026-08-08 06:53:33,389 INFO [OUTPOST-v4] epoch 27 cur={'auroc_all': 0.5374921552727492, 'aupr_all': 0.16310294831648847, 'auroc_unknown': 0.5, 'aupr_unknown': 0.0, 'val_auc': 0.5556972789115646} best={'auroc_all': 0.5374921552727492, 'aupr_all': 0.16310294831648847, 'auroc_unknown': 0.5, 'aupr_unknown': 0.0}
2026-08-08 06:53:40,962 INFO [OUTPOST-v4] epoch 28 cur={'auroc_all': 0.5383328859546893, 'aupr_all': 0.1632748717575557, 'auroc_unknown': 0.5, 'aupr_unknown': 0.0, 'val_auc': 0.5584183673469387} best={'auroc_all': 0.5383328859546893, 'aupr_all': 0.1632748717575557, 'auroc_unknown': 0.5, 'aupr_unknown': 0.0}
2026-08-08 06:53:48,253 INFO [OUTPOST-v4] epoch 29 cur={'auroc_all': 0.5388537103200248, 'aupr_all': 0.1633033293209931, 'auroc_unknown': 0.5, 'aupr_unknown': 0.0, 'val_auc': 0.5614795918367348} best={'auroc_all': 0.5388537103200248, 'aupr_all': 0.1633033293209931, 'auroc_unknown': 0.5, 'aupr_unknown': 0.0}
2026-08-08 06:53:55,894 INFO [OUTPOST-v4] epoch 30 cur={'auroc_all': 0.5395444663129136, 'aupr_all': 0.1634094763865401, 'auroc_unknown': 0.5, 'aupr_unknown': 0.0, 'val_auc': 0.5630952380952381} best={'auroc_all': 0.5395444663129136, 'aupr_all': 0.1634094763865401, 'auroc_unknown': 0.5, 'aupr_unknown': 0.0}
2026-08-08 06:54:03,485 INFO [OUTPOST-v4] epoch 31 cur={'auroc_all': 0.5401783957342583, 'aupr_all': 0.16349732563527197, 'auroc_unknown': 0.5, 'aupr_unknown': 0.0, 'val_auc': 0.565391156462585} best={'auroc_all': 0.5401783957342583, 'aupr_all': 0.16349732563527197, 'auroc_unknown': 0.5, 'aupr_unknown': 0.0}
2026-08-08 06:54:10,991 INFO [OUTPOST-v4] epoch 32 cur={'auroc_all': 0.5407814085282858, 'aupr_all': 0.1635857650234332, 'auroc_unknown': 0.5, 'aupr_unknown': 0.0, 'val_auc': 0.5675170068027211} best={'auroc_all': 0.5407814085282858, 'aupr_all': 0.1635857650234332, 'auroc_unknown': 0.5, 'aupr_unknown': 0.0}
2026-08-08 06:54:19,086 INFO [OUTPOST-v4] epoch 33 cur={'auroc_all': 0.5413502469639322, 'aupr_all': 0.1636829262377532, 'auroc_unknown': 0.5, 'aupr_unknown': 0.0, 'val_auc': 0.5691326530612244} best={'auroc_all': 0.5413502469639322, 'aupr_all': 0.1636829262377532, 'auroc_unknown': 0.5, 'aupr_unknown': 0.0}
2026-08-08 06:54:26,523 INFO [OUTPOST-v4] epoch 34 cur={'auroc_all': 0.5419092342014844, 'aupr_all': 0.16379710131364203, 'auroc_unknown': 0.5, 'aupr_unknown': 0.0, 'val_auc': 0.5696428571428571} best={'auroc_all': 0.5419092342014844, 'aupr_all': 0.16379710131364203, 'auroc_unknown': 0.5, 'aupr_unknown': 0.0}
2026-08-08 06:54:34,433 INFO [OUTPOST-v4] epoch 35 cur={'auroc_all': 0.5424673018022902, 'aupr_all': 0.16393968994880387, 'auroc_unknown': 0.5, 'aupr_unknown': 0.0, 'val_auc': 0.5702380952380952} best={'auroc_all': 0.5424673018022902, 'aupr_all': 0.16393968994880387, 'auroc_unknown': 0.5, 'aupr_unknown': 0.0}
2026-08-08 06:54:42,114 INFO [OUTPOST-v4] epoch 36 cur={'auroc_all': 0.5430329830921418, 'aupr_all': 0.16412825462358746, 'auroc_unknown': 0.5, 'aupr_unknown': 0.0, 'val_auc': 0.5714285714285714} best={'auroc_all': 0.5430329830921418, 'aupr_all': 0.16412825462358746, 'auroc_unknown': 0.5, 'aupr_unknown': 0.0}
2026-08-08 06:54:49,774 INFO [OUTPOST-v4] epoch 37 cur={'auroc_all': 0.5436579973742236, 'aupr_all': 0.16439326776458035, 'auroc_unknown': 0.5, 'aupr_unknown': 0.0, 'val_auc': 0.5721938775510204} best={'auroc_all': 0.5436579973742236, 'aupr_all': 0.16439326776458035, 'auroc_unknown': 0.5, 'aupr_unknown': 0.0}
2026-08-08 06:54:57,491 INFO [OUTPOST-v4] epoch 38 cur={'auroc_all': 0.5444270394979138, 'aupr_all': 0.16472520928986464, 'auroc_unknown': 0.5, 'aupr_unknown': 0.0, 'val_auc': 0.573469387755102} best={'auroc_all': 0.5444270394979138, 'aupr_all': 0.16472520928986464, 'auroc_unknown': 0.5, 'aupr_unknown': 0.0}
2026-08-08 06:55:05,074 INFO [OUTPOST-v4] epoch 39 cur={'auroc_all': 0.5451395054868525, 'aupr_all': 0.16502855326809487, 'auroc_unknown': 0.5, 'aupr_unknown': 0.0, 'val_auc': 0.5738945578231293} best={'auroc_all': 0.5451395054868525, 'aupr_all': 0.16502855326809487, 'auroc_unknown': 0.5, 'aupr_unknown': 0.0}
2026-08-08 06:55:12,764 INFO [OUTPOST-v4] epoch 40 cur={'auroc_all': 0.5458548781847934, 'aupr_all': 0.165365909832853, 'auroc_unknown': 0.5, 'aupr_unknown': 0.0, 'val_auc': 0.5752551020408163} best={'auroc_all': 0.5458548781847934, 'aupr_all': 0.165365909832853, 'auroc_unknown': 0.5, 'aupr_unknown': 0.0}
2026-08-08 06:55:20,349 INFO [OUTPOST-v4] epoch 41 cur={'auroc_all': 0.5466436062825871, 'aupr_all': 0.1657483560787704, 'auroc_unknown': 0.5, 'aupr_unknown': 0.0, 'val_auc': 0.5756802721088435} best={'auroc_all': 0.5466436062825871, 'aupr_all': 0.1657483560787704, 'auroc_unknown': 0.5, 'aupr_unknown': 0.0}
2026-08-08 06:55:28,031 INFO [OUTPOST-v4] epoch 42 cur={'auroc_all': 0.5474731124695953, 'aupr_all': 0.16616497425756535, 'auroc_unknown': 0.5, 'aupr_unknown': 0.0, 'val_auc': 0.5766156462585034} best={'auroc_all': 0.5474731124695953, 'aupr_all': 0.16616497425756535, 'auroc_unknown': 0.5, 'aupr_unknown': 0.0}
2026-08-08 06:55:35,587 INFO [OUTPOST-v4] epoch 43 cur={'auroc_all': 0.5482499756111514, 'aupr_all': 0.16657814330645768, 'auroc_unknown': 0.5, 'aupr_unknown': 0.0, 'val_auc': 0.5765306122448979} best={'auroc_all': 0.5482499756111514, 'aupr_all': 0.16657814330645768, 'auroc_unknown': 0.5, 'aupr_unknown': 0.0}
2026-08-08 06:55:43,042 INFO [OUTPOST-v4] epoch 44 cur={'auroc_all': 0.5488733148405879, 'aupr_all': 0.1669539071259305, 'auroc_unknown': 0.5, 'aupr_unknown': 0.0, 'val_auc': 0.5761904761904761} best={'auroc_all': 0.5488733148405879, 'aupr_all': 0.1669539071259305, 'auroc_unknown': 0.5, 'aupr_unknown': 0.0}
