2026-08-21 21:13:04,517 INFO cli={'dataset': 'yelp', 'method': 'outpost', 'seed': 0, 'train_seed': None, 'epochs': None, 'set': ['alpha_plus=0.01'], 'tag': 'T_alpha0.01', 'rotations': None}
2026-08-21 21:36:58,082 INFO [OUTPOST-v4] epoch 305 cur={'auroc_all': 0.7686427611692612, 'aupr_all': 0.41941376808226266, 'auroc_unknown': 0.5, 'aupr_unknown': 0.0, 'val_auc': 0.6739795918367346} best={'auroc_all': 0.7686427611692612, 'aupr_all': 0.41941376808226266, 'auroc_unknown': 0.5, 'aupr_unknown': 0.0}
2026-08-21 21:37:02,984 INFO [OUTPOST-v4] epoch 306 cur={'auroc_all': 0.7686362806040636, 'aupr_all': 0.41988009116099945, 'auroc_unknown': 0.5, 'aupr_unknown': 0.0, 'val_auc': 0.6736394557823129} best={'auroc_all': 0.7686427611692612, 'aupr_all': 0.41988009116099945, 'auroc_unknown': 0.5, 'aupr_unknown': 0.0}
2026-08-21 21:37:07,904 INFO [OUTPOST-v4] epoch 307 cur={'auroc_all': 0.7684160850805878, 'aupr_all': 0.42017327968237794, 'auroc_unknown': 0.5, 'aupr_unknown': 0.0, 'val_auc': 0.6732993197278911} best={'auroc_all': 0.7686427611692612, 'aupr_all': 0.42017327968237794, 'auroc_unknown': 0.5, 'aupr_unknown': 0.0}
2026-08-21 21:37:12,698 INFO [OUTPOST-v4] epoch 308 cur={'auroc_all': 0.7683827769871776, 'aupr_all': 0.42051867034968154, 'auroc_unknown': 0.5, 'aupr_unknown': 0.0, 'val_auc': 0.6724489795918368} best={'auroc_all': 0.7686427611692612, 'aupr_all': 0.42051867034968154, 'auroc_unknown': 0.5, 'aupr_unknown': 0.0}
2026-08-21 21:37:17,653 INFO [OUTPOST-v4] epoch 309 cur={'auroc_all': 0.7684005025749132, 'aupr_all': 0.4207804617150317, 'auroc_unknown': 0.5, 'aupr_unknown': 0.0, 'val_auc': 0.671513605442177} best={'auroc_all': 0.7686427611692612, 'aupr_all': 0.4207804617150317, 'auroc_unknown': 0.5, 'aupr_unknown': 0.0}
2026-08-21 21:37:22,564 INFO [OUTPOST-v4] epoch 310 cur={'auroc_all': 0.7683753357300216, 'aupr_all': 0.4210833173877924, 'auroc_unknown': 0.5, 'aupr_unknown': 0.0, 'val_auc': 0.671173469387755} best={'auroc_all': 0.7686427611692612, 'aupr_all': 0.4210833173877924, 'auroc_unknown': 0.5, 'aupr_unknown': 0.0}
2026-08-21 21:37:27,449 INFO [OUTPOST-v4] epoch 311 cur={'auroc_all': 0.768083966891205, 'aupr_all': 0.42114089141414957, 'auroc_unknown': 0.5, 'aupr_unknown': 0.0, 'val_auc': 0.6698979591836737} best={'auroc_all': 0.7686427611692612, 'aupr_all': 0.42114089141414957, 'auroc_unknown': 0.5, 'aupr_unknown': 0.0}
2026-08-21 21:37:32,512 INFO [OUTPOST-v4] epoch 312 cur={'auroc_all': 0.7678074949360243, 'aupr_all': 0.4209137470141494, 'auroc_unknown': 0.5, 'aupr_unknown': 0.0, 'val_auc': 0.668452380952381} best={'auroc_all': 0.7686427611692612, 'aupr_all': 0.42114089141414957, 'auroc_unknown': 0.5, 'aupr_unknown': 0.0}
2026-08-21 21:37:37,535 INFO [OUTPOST-v4] epoch 313 cur={'auroc_all': 0.7681466417776834, 'aupr_all': 0.4212020780012229, 'auroc_unknown': 0.5, 'aupr_unknown': 0.0, 'val_auc': 0.6689625850340136} best={'auroc_all': 0.7686427611692612, 'aupr_all': 0.4212020780012229, 'auroc_unknown': 0.5, 'aupr_unknown': 0.0}
2026-08-21 21:37:42,476 INFO [OUTPOST-v4] epoch 314 cur={'auroc_all': 0.7684323798941888, 'aupr_all': 0.4215994831909471, 'auroc_unknown': 0.5, 'aupr_unknown': 0.0, 'val_auc': 0.670578231292517} best={'auroc_all': 0.7686427611692612, 'aupr_all': 0.4215994831909471, 'auroc_unknown': 0.5, 'aupr_unknown': 0.0}
