2026-08-21 20:19:18,525 INFO cli={'dataset': 'yelp', 'method': 'outpost', 'seed': 42, 'train_seed': None, 'epochs': None, 'set': ['drop_out=0.1'], 'tag': 'T_drop0.1', 'rotations': None}
2026-08-21 20:19:18,525 INFO config={'alpha_plus': 0.05, 'alpha_r': 0.1, 'atlas_gate_q': 0.9, 'batch_size': 512, 'hidden_dim': 32, 'lambda_halo': 0.2, 'lambda_mixup': 0.2, 'lambda_un': 1.0, 'lr': 0.001, 'margin': 0.1, 'n_layers': 2, 'optimiser': 'adam', 'sampling_sizes': [25, 10], 'tau_minus': 0.05, 'tau_mu': 0.05, 'tau_plus': 0.95, 'use_atlas_gate': True, 'use_conformal': True, 'use_pl': True, 'version': 4, 'weight_decay': 0.0005, 'K_p': 3, 'alpha_f': 0.2, 'drop_out': 0.1, 'input_dim': 32, 'lambda_f': 1.0, 'num_epochs': 400, 'use_atlas_loss': False, 'use_fview_gate': False, 'use_halo': False, 'use_mixup': False, 'warmup_epochs': 10, 'use_hybrid': False, 'sim_topk_frac': 1.0}
2026-08-21 20:19:29,393 INFO [OUTPOST-v4] epoch 0 cur={'auroc_all': 0.4975701226508855, 'aupr_all': 0.1565958477760561, 'auroc_unknown': 0.5, 'aupr_unknown': 0.0, 'val_auc': 0.5639455782312925} best={'auroc_all': 0.4975701226508855, 'aupr_all': 0.1565958477760561, 'auroc_unknown': 0.5, 'aupr_unknown': 0.0}
2026-08-21 20:19:30,304 INFO [OUTPOST-v4] epoch 1 cur={'auroc_all': 0.49721212736144543, 'aupr_all': 0.1561652873739988, 'auroc_unknown': 0.5, 'aupr_unknown': 0.0, 'val_auc': 0.5289115646258503} best={'auroc_all': 0.4975701226508855, 'aupr_all': 0.1565958477760561, 'auroc_unknown': 0.5, 'aupr_unknown': 0.0}
2026-08-21 20:19:31,256 INFO [OUTPOST-v4] epoch 2 cur={'auroc_all': 0.4987107452336315, 'aupr_all': 0.15542373498668893, 'auroc_unknown': 0.5, 'aupr_unknown': 0.0, 'val_auc': 0.508673469387755} best={'auroc_all': 0.4987107452336315, 'aupr_all': 0.1565958477760561, 'auroc_unknown': 0.5, 'aupr_unknown': 0.0}
2026-08-21 20:19:32,256 INFO [OUTPOST-v4] epoch 3 cur={'auroc_all': 0.5020225336949772, 'aupr_all': 0.15614487242781702, 'auroc_unknown': 0.5, 'aupr_unknown': 0.0, 'val_auc': 0.5011054421768708} best={'auroc_all': 0.5020225336949772, 'aupr_all': 0.1565958477760561, 'auroc_unknown': 0.5, 'aupr_unknown': 0.0}
2026-08-21 20:19:33,196 INFO [OUTPOST-v4] epoch 4 cur={'auroc_all': 0.5043702102988362, 'aupr_all': 0.15648196023882022, 'auroc_unknown': 0.5, 'aupr_unknown': 0.0, 'val_auc': 0.4933673469387755} best={'auroc_all': 0.5043702102988362, 'aupr_all': 0.1565958477760561, 'auroc_unknown': 0.5, 'aupr_unknown': 0.0}
2026-08-21 20:19:34,170 INFO [OUTPOST-v4] epoch 5 cur={'auroc_all': 0.5096559312953182, 'aupr_all': 0.1580092385550499, 'auroc_unknown': 0.5, 'aupr_unknown': 0.0, 'val_auc': 0.483843537414966} best={'auroc_all': 0.5096559312953182, 'aupr_all': 0.1580092385550499, 'auroc_unknown': 0.5, 'aupr_unknown': 0.0}
2026-08-21 20:19:35,143 INFO [OUTPOST-v4] epoch 6 cur={'auroc_all': 0.50940179953369, 'aupr_all': 0.15738155977344176, 'auroc_unknown': 0.5, 'aupr_unknown': 0.0, 'val_auc': 0.4767006802721088} best={'auroc_all': 0.5096559312953182, 'aupr_all': 0.1580092385550499, 'auroc_unknown': 0.5, 'aupr_unknown': 0.0}
2026-08-21 20:19:36,080 INFO [OUTPOST-v4] epoch 7 cur={'auroc_all': 0.5092075878538221, 'aupr_all': 0.15686817242029827, 'auroc_unknown': 0.5, 'aupr_unknown': 0.0, 'val_auc': 0.4727040816326531} best={'auroc_all': 0.5096559312953182, 'aupr_all': 0.1580092385550499, 'auroc_unknown': 0.5, 'aupr_unknown': 0.0}
2026-08-21 20:19:37,043 INFO [OUTPOST-v4] epoch 8 cur={'auroc_all': 0.5089739303263658, 'aupr_all': 0.15638131096414606, 'auroc_unknown': 0.5, 'aupr_unknown': 0.0, 'val_auc': 0.47151360544217685} best={'auroc_all': 0.5096559312953182, 'aupr_all': 0.1580092385550499, 'auroc_unknown': 0.5, 'aupr_unknown': 0.0}
2026-08-21 20:19:38,158 INFO [OUTPOST-v4] epoch 9 cur={'auroc_all': 0.5088539608389278, 'aupr_all': 0.1559739136927378, 'auroc_unknown': 0.5, 'aupr_unknown': 0.0, 'val_auc': 0.4677721088435375} best={'auroc_all': 0.5096559312953182, 'aupr_all': 0.1580092385550499, 'auroc_unknown': 0.5, 'aupr_unknown': 0.0}
