2026-08-21 21:39:54,079 INFO cli={'dataset': 'yelp', 'method': 'outpost', 'seed': 1, 'train_seed': None, 'epochs': None, 'set': ['lr=0.003'], 'tag': 'T_lr0.003', 'rotations': None}
2026-08-21 21:39:54,079 INFO config={'alpha_plus': 0.05, 'alpha_r': 0.1, 'atlas_gate_q': 0.9, 'batch_size': 512, 'hidden_dim': 32, 'lambda_halo': 0.2, 'lambda_mixup': 0.2, 'lambda_un': 1.0, 'lr': 0.003, 'margin': 0.1, 'n_layers': 2, 'optimiser': 'adam', 'sampling_sizes': [25, 10], 'tau_minus': 0.05, 'tau_mu': 0.05, 'tau_plus': 0.95, 'use_atlas_gate': True, 'use_conformal': True, 'use_pl': True, 'version': 4, 'weight_decay': 0.0005, 'K_p': 3, 'alpha_f': 0.2, 'drop_out': 0.2, 'input_dim': 32, 'lambda_f': 1.0, 'num_epochs': 400, 'use_atlas_loss': False, 'use_fview_gate': False, 'use_halo': False, 'use_mixup': False, 'warmup_epochs': 10, 'use_hybrid': False, 'sim_topk_frac': 1.0}
2026-08-21 21:40:05,015 INFO [OUTPOST-v4] epoch 0 cur={'auroc_all': 0.5365821418679761, 'aupr_all': 0.17276859433958175, 'auroc_unknown': 0.5, 'aupr_unknown': 0.0, 'val_auc': 0.47908163265306125} best={'auroc_all': 0.5365821418679761, 'aupr_all': 0.17276859433958175, 'auroc_unknown': 0.5, 'aupr_unknown': 0.0}
2026-08-21 21:40:05,963 INFO [OUTPOST-v4] epoch 1 cur={'auroc_all': 0.5738517306787625, 'aupr_all': 0.20527703099181682, 'auroc_unknown': 0.5, 'aupr_unknown': 0.0, 'val_auc': 0.5019557823129251} best={'auroc_all': 0.5738517306787625, 'aupr_all': 0.20527703099181682, 'auroc_unknown': 0.5, 'aupr_unknown': 0.0}
2026-08-21 21:40:06,877 INFO [OUTPOST-v4] epoch 2 cur={'auroc_all': 0.6223872534996837, 'aupr_all': 0.2252868435980374, 'auroc_unknown': 0.5, 'aupr_unknown': 0.0, 'val_auc': 0.6287840136054421} best={'auroc_all': 0.6223872534996837, 'aupr_all': 0.2252868435980374, 'auroc_unknown': 0.5, 'aupr_unknown': 0.0}
2026-08-21 21:40:07,783 INFO [OUTPOST-v4] epoch 3 cur={'auroc_all': 0.6169833078622692, 'aupr_all': 0.219682401056851, 'auroc_unknown': 0.5, 'aupr_unknown': 0.0, 'val_auc': 0.6238520408163266} best={'auroc_all': 0.6223872534996837, 'aupr_all': 0.2252868435980374, 'auroc_unknown': 0.5, 'aupr_unknown': 0.0}
2026-08-21 21:40:08,688 INFO [OUTPOST-v4] epoch 4 cur={'auroc_all': 0.6140949874895326, 'aupr_all': 0.21649303081095067, 'auroc_unknown': 0.5, 'aupr_unknown': 0.0, 'val_auc': 0.6130102040816326} best={'auroc_all': 0.6223872534996837, 'aupr_all': 0.2252868435980374, 'auroc_unknown': 0.5, 'aupr_unknown': 0.0}
2026-08-21 21:40:09,630 INFO [OUTPOST-v4] epoch 5 cur={'auroc_all': 0.6100772279737701, 'aupr_all': 0.21123754058218688, 'auroc_unknown': 0.5, 'aupr_unknown': 0.0, 'val_auc': 0.6046768707482993} best={'auroc_all': 0.6223872534996837, 'aupr_all': 0.2252868435980374, 'auroc_unknown': 0.5, 'aupr_unknown': 0.0}
2026-08-21 21:40:10,470 INFO [OUTPOST-v4] epoch 6 cur={'auroc_all': 0.6082701253449284, 'aupr_all': 0.20757691351140853, 'auroc_unknown': 0.5, 'aupr_unknown': 0.0, 'val_auc': 0.6016156462585034} best={'auroc_all': 0.6223872534996837, 'aupr_all': 0.2252868435980374, 'auroc_unknown': 0.5, 'aupr_unknown': 0.0}
2026-08-21 21:40:11,271 INFO [OUTPOST-v4] epoch 7 cur={'auroc_all': 0.6065718067110443, 'aupr_all': 0.20446680065192896, 'auroc_unknown': 0.5, 'aupr_unknown': 0.0, 'val_auc': 0.6023809523809524} best={'auroc_all': 0.6223872534996837, 'aupr_all': 0.2252868435980374, 'auroc_unknown': 0.5, 'aupr_unknown': 0.0}
2026-08-21 21:40:12,140 INFO [OUTPOST-v4] epoch 8 cur={'auroc_all': 0.6050332893311783, 'aupr_all': 0.20199003843591132, 'auroc_unknown': 0.5, 'aupr_unknown': 0.0, 'val_auc': 0.6020408163265306} best={'auroc_all': 0.6223872534996837, 'aupr_all': 0.2252868435980374, 'auroc_unknown': 0.5, 'aupr_unknown': 0.0}
