2026-08-21 20:20:35,513 INFO cli={'dataset': 'yelp', 'method': 'outpost', 'seed': 0, 'train_seed': None, 'epochs': None, 'set': ['drop_out=0.1'], 'tag': 'T_drop0.1', 'rotations': None}
2026-08-21 20:20:35,513 INFO config={'alpha_plus': 0.05, 'alpha_r': 0.1, 'atlas_gate_q': 0.9, 'batch_size': 512, 'hidden_dim': 32, 'lambda_halo': 0.2, 'lambda_mixup': 0.2, 'lambda_un': 1.0, 'lr': 0.001, 'margin': 0.1, 'n_layers': 2, 'optimiser': 'adam', 'sampling_sizes': [25, 10], 'tau_minus': 0.05, 'tau_mu': 0.05, 'tau_plus': 0.95, 'use_atlas_gate': True, 'use_conformal': True, 'use_pl': True, 'version': 4, 'weight_decay': 0.0005, 'K_p': 3, 'alpha_f': 0.2, 'drop_out': 0.1, 'input_dim': 32, 'lambda_f': 1.0, 'num_epochs': 400, 'use_atlas_loss': False, 'use_fview_gate': False, 'use_halo': False, 'use_mixup': False, 'warmup_epochs': 10, 'use_hybrid': False, 'sim_topk_frac': 1.0}
2026-08-21 20:20:45,785 INFO [OUTPOST-v4] epoch 0 cur={'auroc_all': 0.5610969273565057, 'aupr_all': 0.1800114557900724, 'auroc_unknown': 0.5, 'aupr_unknown': 0.0, 'val_auc': 0.4810374149659864} best={'auroc_all': 0.5610969273565057, 'aupr_all': 0.1800114557900724, 'auroc_unknown': 0.5, 'aupr_unknown': 0.0}
2026-08-21 20:20:46,662 INFO [OUTPOST-v4] epoch 1 cur={'auroc_all': 0.5728030820344634, 'aupr_all': 0.1802377047364617, 'auroc_unknown': 0.5, 'aupr_unknown': 0.0, 'val_auc': 0.4923044217687075} best={'auroc_all': 0.5728030820344634, 'aupr_all': 0.1802377047364617, 'auroc_unknown': 0.5, 'aupr_unknown': 0.0}
2026-08-21 20:20:47,505 INFO [OUTPOST-v4] epoch 2 cur={'auroc_all': 0.5851404934394715, 'aupr_all': 0.1816141436658833, 'auroc_unknown': 0.5, 'aupr_unknown': 0.0, 'val_auc': 0.5085034013605443} best={'auroc_all': 0.5851404934394715, 'aupr_all': 0.1816141436658833, 'auroc_unknown': 0.5, 'aupr_unknown': 0.0}
2026-08-21 20:20:48,336 INFO [OUTPOST-v4] epoch 3 cur={'auroc_all': 0.5955489749798618, 'aupr_all': 0.1847601256690152, 'auroc_unknown': 0.5, 'aupr_unknown': 0.0, 'val_auc': 0.5046768707482994} best={'auroc_all': 0.5955489749798618, 'aupr_all': 0.1847601256690152, 'auroc_unknown': 0.5, 'aupr_unknown': 0.0}
2026-08-21 20:20:49,274 INFO [OUTPOST-v4] epoch 4 cur={'auroc_all': 0.5938182884169197, 'aupr_all': 0.1839893241910122, 'auroc_unknown': 0.5, 'aupr_unknown': 0.0, 'val_auc': 0.5101190476190476} best={'auroc_all': 0.5955489749798618, 'aupr_all': 0.1847601256690152, 'auroc_unknown': 0.5, 'aupr_unknown': 0.0}
2026-08-21 20:20:50,052 INFO [OUTPOST-v4] epoch 5 cur={'auroc_all': 0.5884566789140112, 'aupr_all': 0.1830149281826014, 'auroc_unknown': 0.5, 'aupr_unknown': 0.0, 'val_auc': 0.5142857142857143} best={'auroc_all': 0.5955489749798618, 'aupr_all': 0.1847601256690152, 'auroc_unknown': 0.5, 'aupr_unknown': 0.0}
2026-08-21 20:20:50,758 INFO [OUTPOST-v4] epoch 6 cur={'auroc_all': 0.5727897555126824, 'aupr_all': 0.17727092319820095, 'auroc_unknown': 0.5, 'aupr_unknown': 0.0, 'val_auc': 0.5170068027210885} best={'auroc_all': 0.5955489749798618, 'aupr_all': 0.1847601256690152, 'auroc_unknown': 0.5, 'aupr_unknown': 0.0}
2026-08-21 20:20:51,468 INFO [OUTPOST-v4] epoch 7 cur={'auroc_all': 0.5640269967742182, 'aupr_all': 0.17345545269458684, 'auroc_unknown': 0.5, 'aupr_unknown': 0.0, 'val_auc': 0.5211734693877551} best={'auroc_all': 0.5955489749798618, 'aupr_all': 0.1847601256690152, 'auroc_unknown': 0.5, 'aupr_unknown': 0.0}
2026-08-21 20:20:52,182 INFO [OUTPOST-v4] epoch 8 cur={'auroc_all': 0.5630762935489363, 'aupr_all': 0.17239388039148304, 'auroc_unknown': 0.5, 'aupr_unknown': 0.0, 'val_auc': 0.5306122448979592} best={'auroc_all': 0.5955489749798618, 'aupr_all': 0.1847601256690152, 'auroc_unknown': 0.5, 'aupr_unknown': 0.0}
2026-08-21 20:20:53,017 INFO [OUTPOST-v4] epoch 9 cur={'auroc_all': 0.5625201226989199, 'aupr_all': 0.17170035853399823, 'auroc_unknown': 0.5, 'aupr_unknown': 0.0, 'val_auc': 0.5357142857142857} best={'auroc_all': 0.5955489749798618, 'aupr_all': 0.1847601256690152, 'auroc_unknown': 0.5, 'aupr_unknown': 0.0}
2026-08-21 20:20:56,621 INFO [OUTPOST-v4] epoch 10 cur={'auroc_all': 0.5627674146622466, 'aupr_all': 0.17144672660618557, 'auroc_unknown': 0.5, 'aupr_unknown': 0.0, 'val_auc': 0.541921768707483} best={'auroc_all': 0.5955489749798618, 'aupr_all': 0.1847601256690152, 'auroc_unknown': 0.5, 'aupr_unknown': 0.0}
2026-08-21 20:21:00,266 INFO [OUTPOST-v4] epoch 11 cur={'auroc_all': 0.5636498020149356, 'aupr_all': 0.17150595979161334, 'auroc_unknown': 0.5, 'aupr_unknown': 0.0, 'val_auc': 0.5462585034013605} best={'auroc_all': 0.5955489749798618, 'aupr_all': 0.1847601256690152, 'auroc_unknown': 0.5, 'aupr_unknown': 0.0}
