2026-08-09 02:19:19,542 INFO cli={'dataset': 'yelp', 'method': 'outpost', 'seed': 3, 'train_seed': None, 'epochs': None, 'set': ['sim_topk_frac=0.0'], 'tag': 'C_nosim', 'rotations': None}
2026-08-09 02:19:19,543 INFO config={'alpha_plus': 0.05, 'alpha_r': 0.1, 'atlas_gate_q': 0.9, 'batch_size': 512, 'hidden_dim': 32, 'lambda_halo': 0.2, 'lambda_mixup': 0.2, 'lambda_un': 1.0, 'lr': 0.001, 'margin': 0.1, 'n_layers': 2, 'optimiser': 'adam', 'sampling_sizes': [25, 10], 'tau_minus': 0.05, 'tau_mu': 0.05, 'tau_plus': 0.95, 'use_atlas_gate': True, 'use_conformal': True, 'use_pl': True, 'version': 4, 'weight_decay': 0.0005, 'K_p': 3, 'alpha_f': 0.2, 'drop_out': 0.2, 'input_dim': 32, 'lambda_f': 1.0, 'num_epochs': 400, 'use_atlas_loss': False, 'use_fview_gate': False, 'use_halo': False, 'use_mixup': False, 'warmup_epochs': 10, 'use_hybrid': False, 'sim_topk_frac': 0.0}
2026-08-09 02:19:24,801 INFO [OUTPOST-v4] epoch 0 cur={'auroc_all': 0.5302876039937755, 'aupr_all': 0.1702753911843049, 'auroc_unknown': 0.5, 'aupr_unknown': 0.0, 'val_auc': 0.5720238095238095} best={'auroc_all': 0.5302876039937755, 'aupr_all': 0.1702753911843049, 'auroc_unknown': 0.5, 'aupr_unknown': 0.0}
2026-08-09 02:19:26,248 INFO [OUTPOST-v4] epoch 1 cur={'auroc_all': 0.5205952156702949, 'aupr_all': 0.16592561612289694, 'auroc_unknown': 0.5, 'aupr_unknown': 0.0, 'val_auc': 0.5840986394557823} best={'auroc_all': 0.5302876039937755, 'aupr_all': 0.1702753911843049, 'auroc_unknown': 0.5, 'aupr_unknown': 0.0}
2026-08-09 02:19:27,734 INFO [OUTPOST-v4] epoch 2 cur={'auroc_all': 0.5344863307780487, 'aupr_all': 0.171261123734488, 'auroc_unknown': 0.5, 'aupr_unknown': 0.0, 'val_auc': 0.5428146258503401} best={'auroc_all': 0.5344863307780487, 'aupr_all': 0.171261123734488, 'auroc_unknown': 0.5, 'aupr_unknown': 0.0}
2026-08-09 02:19:29,281 INFO [OUTPOST-v4] epoch 3 cur={'auroc_all': 0.5359707579162433, 'aupr_all': 0.17022048213970098, 'auroc_unknown': 0.5, 'aupr_unknown': 0.0, 'val_auc': 0.5789965986394557} best={'auroc_all': 0.5359707579162433, 'aupr_all': 0.171261123734488, 'auroc_unknown': 0.5, 'aupr_unknown': 0.0}
2026-08-09 02:19:30,776 INFO [OUTPOST-v4] epoch 4 cur={'auroc_all': 0.5352131352997417, 'aupr_all': 0.17005314661474846, 'auroc_unknown': 0.5, 'aupr_unknown': 0.0, 'val_auc': 0.5995748299319728} best={'auroc_all': 0.5359707579162433, 'aupr_all': 0.171261123734488, 'auroc_unknown': 0.5, 'aupr_unknown': 0.0}
2026-08-09 02:19:32,355 INFO [OUTPOST-v4] epoch 5 cur={'auroc_all': 0.5331192189078431, 'aupr_all': 0.16949086975121638, 'auroc_unknown': 0.5, 'aupr_unknown': 0.0, 'val_auc': 0.5510204081632654} best={'auroc_all': 0.5359707579162433, 'aupr_all': 0.171261123734488, 'auroc_unknown': 0.5, 'aupr_unknown': 0.0}
2026-08-09 02:19:33,994 INFO [OUTPOST-v4] epoch 6 cur={'auroc_all': 0.5323337198024649, 'aupr_all': 0.1694784669341017, 'auroc_unknown': 0.5, 'aupr_unknown': 0.0, 'val_auc': 0.5783163265306122} best={'auroc_all': 0.5359707579162433, 'aupr_all': 0.171261123734488, 'auroc_unknown': 0.5, 'aupr_unknown': 0.0}
2026-08-09 02:19:35,681 INFO [OUTPOST-v4] epoch 7 cur={'auroc_all': 0.5339242787689287, 'aupr_all': 0.17146122631267985, 'auroc_unknown': 0.5, 'aupr_unknown': 0.0, 'val_auc': 0.5712585034013606} best={'auroc_all': 0.5359707579162433, 'aupr_all': 0.17146122631267985, 'auroc_unknown': 0.5, 'aupr_unknown': 0.0}
2026-08-09 02:19:37,287 INFO [OUTPOST-v4] epoch 8 cur={'auroc_all': 0.5340654163236196, 'aupr_all': 0.1712426095727047, 'auroc_unknown': 0.5, 'aupr_unknown': 0.0, 'val_auc': 0.589030612244898} best={'auroc_all': 0.5359707579162433, 'aupr_all': 0.17146122631267985, 'auroc_unknown': 0.5, 'aupr_unknown': 0.0}
