2026-08-21 20:05:13,990 INFO cli={'dataset': 'yelp', 'method': 'outpost', 'seed': 1, 'train_seed': None, 'epochs': None, 'set': ['K_p=2'], 'tag': 'T_Kp2', 'rotations': None}
2026-08-21 20:05:13,991 INFO config={'alpha_plus': 0.05, 'alpha_r': 0.1, 'atlas_gate_q': 0.9, 'batch_size': 512, 'hidden_dim': 32, 'lambda_halo': 0.2, 'lambda_mixup': 0.2, 'lambda_un': 1.0, 'lr': 0.001, 'margin': 0.1, 'n_layers': 2, 'optimiser': 'adam', 'sampling_sizes': [25, 10], 'tau_minus': 0.05, 'tau_mu': 0.05, 'tau_plus': 0.95, 'use_atlas_gate': True, 'use_conformal': True, 'use_pl': True, 'version': 4, 'weight_decay': 0.0005, 'K_p': 2, 'alpha_f': 0.2, 'drop_out': 0.2, 'input_dim': 32, 'lambda_f': 1.0, 'num_epochs': 400, 'use_atlas_loss': False, 'use_fview_gate': False, 'use_halo': False, 'use_mixup': False, 'warmup_epochs': 10, 'use_hybrid': False, 'sim_topk_frac': 1.0}
2026-08-21 20:05:24,529 INFO [OUTPOST-v4] epoch 0 cur={'auroc_all': 0.5203528195409868, 'aupr_all': 0.16541134610186842, 'auroc_unknown': 0.5, 'aupr_unknown': 0.0, 'val_auc': 0.476530612244898} best={'auroc_all': 0.5203528195409868, 'aupr_all': 0.16541134610186842, 'auroc_unknown': 0.5, 'aupr_unknown': 0.0}
2026-08-21 20:05:25,275 INFO [OUTPOST-v4] epoch 1 cur={'auroc_all': 0.5236859197628271, 'aupr_all': 0.16747456149231132, 'auroc_unknown': 0.5, 'aupr_unknown': 0.0, 'val_auc': 0.4762755102040816} best={'auroc_all': 0.5236859197628271, 'aupr_all': 0.16747456149231132, 'auroc_unknown': 0.5, 'aupr_unknown': 0.0}
2026-08-21 20:05:26,043 INFO [OUTPOST-v4] epoch 2 cur={'auroc_all': 0.5373192184036852, 'aupr_all': 0.17354976763953545, 'auroc_unknown': 0.5, 'aupr_unknown': 0.0, 'val_auc': 0.48239795918367345} best={'auroc_all': 0.5373192184036852, 'aupr_all': 0.17354976763953545, 'auroc_unknown': 0.5, 'aupr_unknown': 0.0}
2026-08-21 20:05:26,792 INFO [OUTPOST-v4] epoch 3 cur={'auroc_all': 0.565061980191238, 'aupr_all': 0.19423657164612368, 'auroc_unknown': 0.5, 'aupr_unknown': 0.0, 'val_auc': 0.5081632653061224} best={'auroc_all': 0.565061980191238, 'aupr_all': 0.19423657164612368, 'auroc_unknown': 0.5, 'aupr_unknown': 0.0}
2026-08-21 20:05:27,517 INFO [OUTPOST-v4] epoch 4 cur={'auroc_all': 0.5739849897382908, 'aupr_all': 0.20390439269875954, 'auroc_unknown': 0.5, 'aupr_unknown': 0.0, 'val_auc': 0.5119897959183674} best={'auroc_all': 0.5739849897382908, 'aupr_all': 0.20390439269875954, 'auroc_unknown': 0.5, 'aupr_unknown': 0.0}
2026-08-21 20:05:28,311 INFO [OUTPOST-v4] epoch 5 cur={'auroc_all': 0.5788148644533031, 'aupr_all': 0.20506405070340117, 'auroc_unknown': 0.5, 'aupr_unknown': 0.0, 'val_auc': 0.5168367346938776} best={'auroc_all': 0.5788148644533031, 'aupr_all': 0.20506405070340117, 'auroc_unknown': 0.5, 'aupr_unknown': 0.0}
2026-08-21 20:05:29,098 INFO [OUTPOST-v4] epoch 6 cur={'auroc_all': 0.5850287534692578, 'aupr_all': 0.20598549322157395, 'auroc_unknown': 0.5, 'aupr_unknown': 0.0, 'val_auc': 0.5380952380952382} best={'auroc_all': 0.5850287534692578, 'aupr_all': 0.20598549322157395, 'auroc_unknown': 0.5, 'aupr_unknown': 0.0}
2026-08-21 20:05:29,896 INFO [OUTPOST-v4] epoch 7 cur={'auroc_all': 0.6093190572701895, 'aupr_all': 0.2174270325574361, 'auroc_unknown': 0.5, 'aupr_unknown': 0.0, 'val_auc': 0.6001700680272108} best={'auroc_all': 0.6093190572701895, 'aupr_all': 0.2174270325574361, 'auroc_unknown': 0.5, 'aupr_unknown': 0.0}
2026-08-21 20:05:30,727 INFO [OUTPOST-v4] epoch 8 cur={'auroc_all': 0.61566239952753, 'aupr_all': 0.21937023977671005, 'auroc_unknown': 0.5, 'aupr_unknown': 0.0, 'val_auc': 0.6162414965986395} best={'auroc_all': 0.61566239952753, 'aupr_all': 0.21937023977671005, 'auroc_unknown': 0.5, 'aupr_unknown': 0.0}
2026-08-21 20:05:31,527 INFO [OUTPOST-v4] epoch 9 cur={'auroc_all': 0.614421854717314, 'aupr_all': 0.2164972995456904, 'auroc_unknown': 0.5, 'aupr_unknown': 0.0, 'val_auc': 0.6160714285714286} best={'auroc_all': 0.61566239952753, 'aupr_all': 0.21937023977671005, 'auroc_unknown': 0.5, 'aupr_unknown': 0.0}
