2026-08-21 20:45:23,818 INFO cli={'dataset': 'yelp', 'method': 'outpost', 'seed': 0, 'train_seed': None, 'epochs': None, 'set': ['warmup_epochs=5'], 'tag': 'T_warmup5', 'rotations': None}
2026-08-21 20:58:10,226 INFO [OUTPOST-v4] epoch 159 cur={'auroc_all': 0.6690705396445671, 'aupr_all': 0.28132800580332484, 'auroc_unknown': 0.5, 'aupr_unknown': 0.0, 'val_auc': 0.5832482993197279} best={'auroc_all': 0.6690705396445671, 'aupr_all': 0.28132800580332484, 'auroc_unknown': 0.5, 'aupr_unknown': 0.0}
2026-08-21 20:58:15,275 INFO [OUTPOST-v4] epoch 160 cur={'auroc_all': 0.6695154590813911, 'aupr_all': 0.28176300044160835, 'auroc_unknown': 0.5, 'aupr_unknown': 0.0, 'val_auc': 0.5840986394557823} best={'auroc_all': 0.6695154590813911, 'aupr_all': 0.28176300044160835, 'auroc_unknown': 0.5, 'aupr_unknown': 0.0}
2026-08-21 20:58:20,195 INFO [OUTPOST-v4] epoch 161 cur={'auroc_all': 0.6699829301461089, 'aupr_all': 0.2822326547823578, 'auroc_unknown': 0.5, 'aupr_unknown': 0.0, 'val_auc': 0.5842687074829931} best={'auroc_all': 0.6699829301461089, 'aupr_all': 0.2822326547823578, 'auroc_unknown': 0.5, 'aupr_unknown': 0.0}
2026-08-21 20:58:25,039 INFO [OUTPOST-v4] epoch 162 cur={'auroc_all': 0.670484959435439, 'aupr_all': 0.28268020480502154, 'auroc_unknown': 0.5, 'aupr_unknown': 0.0, 'val_auc': 0.5846938775510204} best={'auroc_all': 0.670484959435439, 'aupr_all': 0.28268020480502154, 'auroc_unknown': 0.5, 'aupr_unknown': 0.0}
2026-08-21 20:58:29,789 INFO [OUTPOST-v4] epoch 163 cur={'auroc_all': 0.6710414977296015, 'aupr_all': 0.28315662725128793, 'auroc_unknown': 0.5, 'aupr_unknown': 0.0, 'val_auc': 0.5855442176870749} best={'auroc_all': 0.6710414977296015, 'aupr_all': 0.28315662725128793, 'auroc_unknown': 0.5, 'aupr_unknown': 0.0}
2026-08-21 20:58:34,601 INFO [OUTPOST-v4] epoch 164 cur={'auroc_all': 0.6716552813584696, 'aupr_all': 0.28367290759670916, 'auroc_unknown': 0.5, 'aupr_unknown': 0.0, 'val_auc': 0.585969387755102} best={'auroc_all': 0.6716552813584696, 'aupr_all': 0.28367290759670916, 'auroc_unknown': 0.5, 'aupr_unknown': 0.0}
2026-08-21 20:58:39,462 INFO [OUTPOST-v4] epoch 165 cur={'auroc_all': 0.6723126368837216, 'aupr_all': 0.284232713325912, 'auroc_unknown': 0.5, 'aupr_unknown': 0.0, 'val_auc': 0.5868197278911564} best={'auroc_all': 0.6723126368837216, 'aupr_all': 0.284232713325912, 'auroc_unknown': 0.5, 'aupr_unknown': 0.0}
2026-08-21 20:58:44,233 INFO [OUTPOST-v4] epoch 166 cur={'auroc_all': 0.6730706638940605, 'aupr_all': 0.2848408612283272, 'auroc_unknown': 0.5, 'aupr_unknown': 0.0, 'val_auc': 0.5875} best={'auroc_all': 0.6730706638940605, 'aupr_all': 0.2848408612283272, 'auroc_unknown': 0.5, 'aupr_unknown': 0.0}
2026-08-21 20:58:49,027 INFO [OUTPOST-v4] epoch 167 cur={'auroc_all': 0.6739784315787428, 'aupr_all': 0.28552834934441057, 'auroc_unknown': 0.5, 'aupr_unknown': 0.0, 'val_auc': 0.5888605442176871} best={'auroc_all': 0.6739784315787428, 'aupr_all': 0.28552834934441057, 'auroc_unknown': 0.5, 'aupr_unknown': 0.0}
2026-08-21 20:58:53,630 INFO [OUTPOST-v4] epoch 168 cur={'auroc_all': 0.6748227628027661, 'aupr_all': 0.286184593371025, 'auroc_unknown': 0.5, 'aupr_unknown': 0.0, 'val_auc': 0.5893707482993198} best={'auroc_all': 0.6748227628027661, 'aupr_all': 0.286184593371025, 'auroc_unknown': 0.5, 'aupr_unknown': 0.0}
