# gpu=7 cmd=/usr/bin/python3 -u main.py --dataset yelp --seed 1 --method outpost --tag C_hopmix --set use_hybrid=true
/nas/home/jahin/.local/lib/python3.10/site-packages/torch_geometric/__init__.py:4: UserWarning: An issue occurred while importing 'torch-scatter'. Disabling its usage. Stacktrace: /nas/home/jahin/.local/lib/python3.10/site-packages/torch_scatter/_version_cuda.so: undefined symbol: _ZN5torch3jit17parseSchemaOrNameERKSsb
  import torch_geometric.typing
/nas/home/jahin/.local/lib/python3.10/site-packages/torch_geometric/__init__.py:4: UserWarning: An issue occurred while importing 'torch-sparse'. Disabling its usage. Stacktrace: /nas/home/jahin/.local/lib/python3.10/site-packages/torch_sparse/_version_cuda.so: undefined symbol: _ZN5torch3jit17parseSchemaOrNameERKSsb
  import torch_geometric.typing
/nas/home/jahin/.local/lib/python3.10/site-packages/requests/__init__.py:113: RequestsDependencyWarning: urllib3 (1.26.5) or chardet (7.2.0)/charset_normalizer (3.4.4) doesn't match a supported version!
  warnings.warn(
Disabling PyTorch because PyTorch >= 2.1 is required but found 2.0.1
None of PyTorch, TensorFlow >= 2.0, or Flax have been found. Models won't be available and only tokenizers, configuration and file/data utilities can be used.
/nas/home/jahin/.local/lib/python3.10/site-packages/outdated/__init__.py:36: UserWarning: pkg_resources is deprecated as an API. See https://setuptools.pypa.io/en/latest/pkg_resources.html. The pkg_resources package is slated for removal as early as 2025-11-30. Refrain from using this package or pin to Setuptools<81.
  from pkg_resources import parse_version
[utils] PPR/dgl path unavailable (libcudart.so.12: cannot open shared object file: No such file or directory); OUTPOST path unaffected.
[yelp] anomaly classes (rotations): [1]
Normal classes: [0] in yelp
Building multi-layer GraphSage
/nas/home/jahin/.local/lib/python3.10/site-packages/torch_geometric/data/data.py:187: UserWarning: Unable to accurately infer 'num_nodes' from the attribute set '{'edge_index', 'y', 'x'}'. Please explicitly set 'num_nodes' as an attribute of 'data' to suppress this warning
  return sum([v.num_nodes for v in self.node_stores])
[OUTPOST-v4] epoch 11: test-all ROC 0.6006 PR 0.1958 | unseen ROC 0.5000 PR 0.0000 | valAUC 0.6080 | tau+ 0.500 | w 0.241 (a 0.235 / n 0.242)
[OUTPOST-v4] epoch 12: test-all ROC 0.5979 PR 0.1931 | unseen ROC 0.5000 PR 0.0000 | valAUC 0.5992 | tau+ 0.500 | w 0.241 (a 0.235 / n 0.242)
[OUTPOST-v4] epoch 13: test-all ROC 0.5957 PR 0.1908 | unseen ROC 0.5000 PR 0.0000 | valAUC 0.5903 | tau+ 0.500 | w 0.241 (a 0.235 / n 0.242)
[OUTPOST-v4] epoch 14: test-all ROC 0.5933 PR 0.1885 | unseen ROC 0.5000 PR 0.0000 | valAUC 0.5816 | tau+ 0.500 | w 0.241 (a 0.235 / n 0.242)
[OUTPOST-v4] epoch 15: test-all ROC 0.5909 PR 0.1863 | unseen ROC 0.5000 PR 0.0000 | valAUC 0.5740 | tau+ 0.500 | w 0.241 (a 0.235 / n 0.242)
[OUTPOST-v4] epoch 16: test-all ROC 0.5884 PR 0.1841 | unseen ROC 0.5000 PR 0.0000 | valAUC 0.5691 | tau+ 0.500 | w 0.241 (a 0.235 / n 0.242)
[OUTPOST-v4] epoch 17: test-all ROC 0.5860 PR 0.1821 | unseen ROC 0.5000 PR 0.0000 | valAUC 0.5636 | tau+ 0.500 | w 0.241 (a 0.235 / n 0.242)
[OUTPOST-v4] epoch 18: test-all ROC 0.5838 PR 0.1803 | unseen ROC 0.5000 PR 0.0000 | valAUC 0.5582 | tau+ 0.500 | w 0.240 (a 0.234 / n 0.241)
[OUTPOST-v4] epoch 19: test-all ROC 0.5817 PR 0.1788 | unseen ROC 0.5000 PR 0.0000 | valAUC 0.5537 | tau+ 0.500 | w 0.240 (a 0.234 / n 0.241)
[OUTPOST-v4] epoch 20: test-all ROC 0.5798 PR 0.1775 | unseen ROC 0.5000 PR 0.0000 | valAUC 0.5514 | tau+ 0.500 | w 0.240 (a 0.233 / n 0.241)
[OUTPOST-v4] epoch 21: test-all ROC 0.5781 PR 0.1764 | unseen ROC 0.5000 PR 0.0000 | valAUC 0.5484 | tau+ 0.500 | w 0.239 (a 0.233 / n 0.240)
[OUTPOST-v4] epoch 22: test-all ROC 0.5766 PR 0.1755 | unseen ROC 0.5000 PR 0.0000 | valAUC 0.5452 | tau+ 0.500 | w 0.239 (a 0.232 / n 0.240)
[OUTPOST-v4] epoch 23: test-all ROC 0.5752 PR 0.1748 | unseen ROC 0.5000 PR 0.0000 | valAUC 0.5436 | tau+ 0.500 | w 0.238 (a 0.232 / n 0.239)
[OUTPOST-v4] epoch 24: test-all ROC 0.5741 PR 0.1741 | unseen ROC 0.5000 PR 0.0000 | valAUC 0.5406 | tau+ 0.500 | w 0.238 (a 0.231 / n 0.239)
[OUTPOST-v4] epoch 25: test-all ROC 0.5731 PR 0.1736 | unseen ROC 0.5000 PR 0.0000 | valAUC 0.5367 | tau+ 0.500 | w 0.237 (a 0.231 / n 0.238)
[OUTPOST-v4] epoch 26: test-all ROC 0.5722 PR 0.1732 | unseen ROC 0.5000 PR 0.0000 | valAUC 0.5351 | tau+ 0.500 | w 0.237 (a 0.230 / n 0.238)
[OUTPOST-v4] epoch 27: test-all ROC 0.5715 PR 0.1729 | unseen ROC 0.5000 PR 0.0000 | valAUC 0.5339 | tau+ 0.500 | w 0.236 (a 0.230 / n 0.237)
[OUTPOST-v4] epoch 28: test-all ROC 0.5709 PR 0.1725 | unseen ROC 0.5000 PR 0.0000 | valAUC 0.5326 | tau+ 0.500 | w 0.235 (a 0.229 / n 0.236)
[OUTPOST-v4] epoch 29: test-all ROC 0.5703 PR 0.1723 | unseen ROC 0.5000 PR 0.0000 | valAUC 0.5319 | tau+ 0.500 | w 0.235 (a 0.229 / n 0.236)
[OUTPOST-v4] epoch 30: test-all ROC 0.5699 PR 0.1721 | unseen ROC 0.5000 PR 0.0000 | valAUC 0.5313 | tau+ 0.500 | w 0.234 (a 0.228 / n 0.235)
