# gpu=7 cmd=/usr/bin/python3 -u main.py --dataset yelp --seed 3 --method outpost --tag C_hopmix --set use_hybrid=true
/nas/home/jahin/.local/lib/python3.10/site-packages/torch_geometric/__init__.py:4: UserWarning: An issue occurred while importing 'torch-scatter'. Disabling its usage. Stacktrace: /nas/home/jahin/.local/lib/python3.10/site-packages/torch_scatter/_version_cuda.so: undefined symbol: _ZN5torch3jit17parseSchemaOrNameERKSsb
  import torch_geometric.typing
/nas/home/jahin/.local/lib/python3.10/site-packages/torch_geometric/__init__.py:4: UserWarning: An issue occurred while importing 'torch-sparse'. Disabling its usage. Stacktrace: /nas/home/jahin/.local/lib/python3.10/site-packages/torch_sparse/_version_cuda.so: undefined symbol: _ZN5torch3jit17parseSchemaOrNameERKSsb
  import torch_geometric.typing
/nas/home/jahin/.local/lib/python3.10/site-packages/requests/__init__.py:113: RequestsDependencyWarning: urllib3 (1.26.5) or chardet (7.2.0)/charset_normalizer (3.4.4) doesn't match a supported version!
  warnings.warn(
Disabling PyTorch because PyTorch >= 2.1 is required but found 2.0.1
None of PyTorch, TensorFlow >= 2.0, or Flax have been found. Models won't be available and only tokenizers, configuration and file/data utilities can be used.
/nas/home/jahin/.local/lib/python3.10/site-packages/outdated/__init__.py:36: UserWarning: pkg_resources is deprecated as an API. See https://setuptools.pypa.io/en/latest/pkg_resources.html. The pkg_resources package is slated for removal as early as 2025-11-30. Refrain from using this package or pin to Setuptools<81.
  from pkg_resources import parse_version
[utils] PPR/dgl path unavailable (libcudart.so.12: cannot open shared object file: No such file or directory); OUTPOST path unaffected.
[yelp] anomaly classes (rotations): [1]
Normal classes: [0] in yelp
Building multi-layer GraphSage
/nas/home/jahin/.local/lib/python3.10/site-packages/torch_geometric/data/data.py:187: UserWarning: Unable to accurately infer 'num_nodes' from the attribute set '{'x', 'y', 'edge_index'}'. Please explicitly set 'num_nodes' as an attribute of 'data' to suppress this warning
  return sum([v.num_nodes for v in self.node_stores])
[OUTPOST-v4] epoch 39: test-all ROC 0.5417 PR 0.1675 | unseen ROC 0.5000 PR 0.0000 | valAUC 0.5704 | tau+ 0.500 | w 0.263 (a 0.261 / n 0.263)
[OUTPOST-v4] epoch 40: test-all ROC 0.5430 PR 0.1683 | unseen ROC 0.5000 PR 0.0000 | valAUC 0.5701 | tau+ 0.500 | w 0.263 (a 0.262 / n 0.264)
[OUTPOST-v4] epoch 41: test-all ROC 0.5443 PR 0.1691 | unseen ROC 0.5000 PR 0.0000 | valAUC 0.5708 | tau+ 0.500 | w 0.264 (a 0.262 / n 0.264)
[OUTPOST-v4] epoch 42: test-all ROC 0.5456 PR 0.1700 | unseen ROC 0.5000 PR 0.0000 | valAUC 0.5707 | tau+ 0.500 | w 0.264 (a 0.263 / n 0.264)
[OUTPOST-v4] epoch 43: test-all ROC 0.5469 PR 0.1708 | unseen ROC 0.5000 PR 0.0000 | valAUC 0.5712 | tau+ 0.500 | w 0.265 (a 0.263 / n 0.265)
[OUTPOST-v4] epoch 44: test-all ROC 0.5482 PR 0.1717 | unseen ROC 0.5000 PR 0.0000 | valAUC 0.5713 | tau+ 0.500 | w 0.265 (a 0.264 / n 0.265)
[OUTPOST-v4] epoch 45: test-all ROC 0.5495 PR 0.1725 | unseen ROC 0.5000 PR 0.0000 | valAUC 0.5720 | tau+ 0.500 | w 0.265 (a 0.264 / n 0.266)
[OUTPOST-v4] epoch 46: test-all ROC 0.5508 PR 0.1733 | unseen ROC 0.5000 PR 0.0000 | valAUC 0.5724 | tau+ 0.500 | w 0.266 (a 0.264 / n 0.266)
[OUTPOST-v4] epoch 47: test-all ROC 0.5520 PR 0.1740 | unseen ROC 0.5000 PR 0.0000 | valAUC 0.5730 | tau+ 0.500 | w 0.266 (a 0.265 / n 0.266)
[OUTPOST-v4] epoch 48: test-all ROC 0.5531 PR 0.1747 | unseen ROC 0.5000 PR 0.0000 | valAUC 0.5732 | tau+ 0.500 | w 0.266 (a 0.265 / n 0.266)
[OUTPOST-v4] epoch 49: test-all ROC 0.5541 PR 0.1754 | unseen ROC 0.5000 PR 0.0000 | valAUC 0.5729 | tau+ 0.500 | w 0.266 (a 0.265 / n 0.266)
[OUTPOST-v4] epoch 50: test-all ROC 0.5551 PR 0.1760 | unseen ROC 0.5000 PR 0.0000 | valAUC 0.5736 | tau+ 0.500 | w 0.266 (a 0.265 / n 0.266)
[OUTPOST-v4] epoch 51: test-all ROC 0.5560 PR 0.1766 | unseen ROC 0.5000 PR 0.0000 | valAUC 0.5742 | tau+ 0.500 | w 0.266 (a 0.265 / n 0.266)
[OUTPOST-v4] epoch 52: test-all ROC 0.5569 PR 0.1771 | unseen ROC 0.5000 PR 0.0000 | valAUC 0.5753 | tau+ 0.500 | w 0.266 (a 0.265 / n 0.266)
[OUTPOST-v4] epoch 53: test-all ROC 0.5577 PR 0.1776 | unseen ROC 0.5000 PR 0.0000 | valAUC 0.5758 | tau+ 0.500 | w 0.266 (a 0.265 / n 0.266)
[OUTPOST-v4] epoch 54: test-all ROC 0.5584 PR 0.1781 | unseen ROC 0.5000 PR 0.0000 | valAUC 0.5756 | tau+ 0.500 | w 0.266 (a 0.265 / n 0.266)
[OUTPOST-v4] epoch 55: test-all ROC 0.5592 PR 0.1785 | unseen ROC 0.5000 PR 0.0000 | valAUC 0.5758 | tau+ 0.500 | w 0.266 (a 0.265 / n 0.266)
[OUTPOST-v4] epoch 56: test-all ROC 0.5599 PR 0.1790 | unseen ROC 0.5000 PR 0.0000 | valAUC 0.5767 | tau+ 0.500 | w 0.266 (a 0.265 / n 0.266)
[OUTPOST-v4] epoch 57: test-all ROC 0.5606 PR 0.1795 | unseen ROC 0.5000 PR 0.0000 | valAUC 0.5776 | tau+ 0.500 | w 0.266 (a 0.265 / n 0.266)
[OUTPOST-v4] epoch 58: test-all ROC 0.5614 PR 0.1799 | unseen ROC 0.5000 PR 0.0000 | valAUC 0.5778 | tau+ 0.500 | w 0.265 (a 0.265 / n 0.266)
[OUTPOST-v4] epoch 59: test-all ROC 0.5621 PR 0.1804 | unseen ROC 0.5000 PR 0.0000 | valAUC 0.5796 | tau+ 0.500 | w 0.265 (a 0.265 / n 0.265)
