timestamp,dataset,method,seed,train_seed,tag,best_auroc,best_aupr,best_auroc_unseen,best_aupr_unseen,valsel_auroc,valsel_aupr,sim_topk_frac,use_mixup,use_halo,use_fview_gate,use_hybrid,hidden_dim,num_epochs,config_sha8
2026-08-08 02:09:10,yelp,outpost,0,,A_main,0.7701,0.4358,0.5000,0.0000,0.7666,0.4072,1.0,False,False,False,False,32,400,bb3beb04
2026-08-08 02:10:33,yelp,outpost,42,,A_main,0.7513,0.3977,0.5000,0.0000,0.7500,0.3740,1.0,False,False,False,False,32,400,bb3beb04
2026-08-08 02:10:51,yelp,outpost,1,,A_main,0.7526,0.3751,0.5000,0.0000,0.7508,0.3730,1.0,False,False,False,False,32,400,bb3beb04
2026-08-08 03:03:51,yelp,outpost,2,,A_main,0.7286,0.3829,0.5000,0.0000,0.7224,0.3504,1.0,False,False,False,False,32,400,bb3beb04
2026-08-08 03:07:43,yelp,outpost,3,,A_main,0.7163,0.3438,0.5000,0.0000,0.7106,0.3182,1.0,False,False,False,False,32,400,bb3beb04
2026-08-08 03:09:59,yelp,demo,42,,B_demo,0.7309,0.3535,0.0000,0.0000,0.7294,0.3408,0.0,,,False,False,64,400,86172e68
2026-08-08 03:55:04,yelp,demo,0,,B_demo,0.7562,0.3988,0.0000,0.0000,0.7542,0.3925,0.0,,,False,False,64,400,86172e68
2026-08-08 03:58:44,yelp,demo,1,,B_demo,0.7367,0.3427,0.0000,0.0000,0.7364,0.3389,0.0,,,False,False,64,400,86172e68
2026-08-08 04:00:17,yelp,demo,2,,B_demo,0.7176,0.3569,0.0000,0.0000,0.7174,0.3550,0.0,,,False,False,64,400,86172e68
2026-08-08 04:20:04,photo,outpost,0,,A_main,0.8153,0.5126,0.7742,0.1242,0.7030,0.4394,0.0,True,True,False,False,64,200,067c5ecd
2026-08-08 04:32:50,photo,outpost,1,,A_main,0.8221,0.5215,0.7991,0.1357,0.7889,0.5044,0.0,True,True,False,False,64,200,067c5ecd
2026-08-08 04:46:22,photo,outpost,2,,A_main,0.8432,0.5242,0.7699,0.1181,0.7769,0.4881,0.0,True,True,False,False,64,200,067c5ecd
2026-08-08 04:59:22,photo,outpost,3,,A_main,0.8191,0.5084,0.7579,0.1184,0.7391,0.4732,0.0,True,True,False,False,64,200,067c5ecd
2026-08-08 05:08:54,yelp,demo,3,,B_demo,0.7231,0.3231,0.0000,0.0000,0.7142,0.3065,0.0,,,False,False,64,400,86172e68
